Gene	Chi^2-statistic of rep3	pvalue of rep3	BH-corrected P-value of rep3	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2	Chi^2-statistic of rep1	pvalue of rep1	BH-corrected P-value of rep1	Average Chi^2-statistic	Number of detected	combined_pvalue	BH-corrected combined pvalue
TNF	183.18168490403687	1.812739262924237e-39	9.147654764693468e-37	257.062833024906	1.9415763044116592e-55	1.2756156319984597e-52				220.12225896447143	2	6.17108316044232e-92	4.0540587984572465e-89
LGALS1	161.06507841548472	1.0796303434112156e-34	4.3131232219278067e-32	138.03848769382964	1.0008663744938792e-29	2.4110870961557548e-27	137.21299205333023	1.5078087120041582e-29	5.088351800110033e-27	145.43885272088153	3	2.4105230257853492e-88	1.2956561263596252e-85
PRTN3	130.66535026219037	3.887642834106754e-28	9.09139499839404e-26	167.17074276562974	5.193135200230761e-36	1.975304636424616e-33	126.57158568258457	2.9636642904463334e-27	8.334482576799634e-25	141.46922623680157	3	8.437695428586986e-86	4.1573228517933805e-83
HPGD	124.45054761849941	8.487777640325403e-27	1.849563909441817e-24	177.32538082342498	3.334548713327925e-38	1.4175755030129951e-35	104.08596408204792	2.0548028220489376e-22	4.0005430327737404e-20	135.28729750799076	3	7.687806757884019e-82	3.496473650460713e-79
HPGDS	136.5206857612762	2.1261601407193228e-29	5.995771596828489e-27	150.1178651113904	2.4850817537120763e-32	7.183874333630873e-30	90.32167555247648	1.868376081951517e-19	2.6641464019263608e-17	125.653408808381	3	1.1220405532355272e-75	4.14629048187816e-73
VIM	119.12220836360778	1.1925552300837975e-25	2.5409376768985448e-23	122.66623249094536	2.0566802519277772e-26	4.644883806463141e-24	115.21275150450079	8.284777171756744e-25	1.7845762571673457e-22	119.00039745301795	3	2.003649439181834e-71	7.179743823734904e-69
ANXA1	112.99807796088676	2.483409524385604e-24	4.4926283999639935e-22	115.76510544329756	6.3002781692648845e-25	1.3009174379793522e-22	116.7091782137465	3.9453996907816647e-25	9.289122434761299e-23	115.15745387264359	3	5.697244395183283e-69	1.9248547135154951e-66
S100A11	92.12605939047809	7.653346308072076e-20	1.019170616691598e-17	79.10708826570239	4.770361171948776e-17	5.3039077214882794e-15	114.1862125058108	1.378099377287276e-24	2.906641269928413e-22	95.13978672066378	3	3.218273033699366e-56	7.611215724699001e-54
COL6A1	118.892737252049	1.3362744986571268e-25	2.725999977260539e-23	40.63876422053762	7.800677940004221e-09	3.33582837114855e-07	122.87725380351952	1.852300229800444e-26	4.5738262259755366e-24	94.13625175870204	3	1.3975382751261691e-55	3.2403706085033243e-53
CORO1A	80.21357343587401	2.762003787965216e-17	2.7022543182663765e-15	77.85771984351756	8.840487396918963e-17	9.535851107094533e-15	91.40823947342285	1.0915943208792956e-19	1.6494478962062672e-17	83.15984425093814	3	1.284810055237091e-48	2.3738873286216566e-46
ACSM1	117.51532445657305	2.645504010219153e-25	5.2843942604127575e-23	28.84020750144711	2.4194209261207483e-06	6.856923542382213e-05	98.50400914656609	3.259393935361519e-21	5.409525278950822e-19	81.61984703486208	3	1.2130464032162676e-47	2.1409363758257268e-45
COTL1	95.39454285483777	1.5188788771988458e-20	2.2404631807050048e-18	67.17100601760552	1.7213108534818243e-14	1.3977430941700161e-12	76.98032140506143	1.3633304050276643e-16	1.4528796863684288e-14	79.8486234258349	3	1.6019757446799072e-46	2.785788703064692e-44
ANXA6	76.97043283607324	1.3700019911109319e-16	1.2050989991533593e-14	72.00431656581385	1.5885147585521365e-15	1.5105521263231964e-13	77.98605412692804	8.297696822045291e-17	9.0328906049878e-15	75.65360117627172	3	7.180400842677732e-44	1.0747878476539769e-41
SAMHD1	90.27857786253564	1.908628602603757e-19	2.407885663390109e-17	53.51761106683801	1.4219545394199053e-11	8.563721213656381e-10	80.16830650817072	2.82445220159649e-17	3.28675334355895e-15	74.6548318125148	3	3.0673926625425593e-43	4.5339897793207204e-41
HLA-DRA	35.85074203968175	8.052726380926718e-08	2.5566073026597805e-06	110.09354619990098	1.0476194995264908e-23	1.892786530769488e-21	75.90585402819882	2.3170927148056004e-16	2.3695198631001917e-14	73.95004742259384	3	8.542958241944006e-43	1.1884762495410342e-40
ARHGDIB	61.86063617007811	2.3530897890962686e-13	1.4941340991956968e-11	80.8973434873939	1.970355289102216e-17	2.3732929457236184e-15	78.37423365733636	6.850417662468641e-17	7.538437871177448e-15	73.7107377716028	3	1.2095468937459521e-42	1.6631269789006843e-40
S100B	92.60379250907566	6.042442288395475e-20	8.276419523019402e-18	38.54954175794517	2.1621213141726933e-08	8.828051264139013e-07	80.05255218785199	2.9906373434045284e-17	3.4405923255258457e-15	70.40196215162428	3	1.4755065911049945e-40	1.960434319080513e-38
LCP1	73.58450524804856	7.285294017793208e-16	6.127315705491337e-14	82.34062637732471	9.658035287393203e-18	1.1830274749489947e-15	54.846419638598796	7.40419541360991e-12	4.358143858568996e-10	70.25718375465736	3	1.8203580803720947e-40	2.391748255600002e-38
HLA-DRB1	86.30123164421512	1.3640234689177343e-18	1.5386184729392043e-16	28.848534111210547	2.4096949417765947e-06	6.856246198511593e-05	92.41474650382055	6.634815910719755e-20	1.017740549698891e-17	69.18817075308208	3	8.579784514481369e-40	1.0909242138036791e-37
HLA-DPA1	72.97227656297953	9.854264489180056e-16	8.145059303642968e-14	52.22489768923932	2.6821039453819237e-11	1.550685217062013e-09	81.5134346230191	1.453350514571964e-17	1.7727374228345255e-15	68.90353629174598	3	1.2962665899526913e-39	1.6135107817042711e-37
C4orf48	83.05470771381134	6.786709451600672e-18	7.072931545863831e-16	62.74331363776373	1.5238764084890848e-13	1.1013054804150618e-11	56.81167306533267	2.8191159257603105e-12	1.7297411898422655e-10	67.53656480563592	3	9.398090826908887e-39	1.1456950930742022e-36
CYBB	54.27681521145475	9.794399098830484e-12	5.335721509067425e-10	45.0090748310935	9.211703790942719e-10	4.2950311804608416e-08	99.47438973521595	2.0160825676807926e-21	3.401803319200057e-19	66.25342659258807	3	6.026526706436813e-38	7.055809733031221e-36
ANXA5	65.36050187989471	4.199944213258518e-14	2.8970550443685376e-12	74.4076883945425	4.853422096053183e-16	4.8048878750926516e-14	58.38901936083194	1.2982156871242999e-12	8.425086933619496e-11	66.05240321175638	3	8.062139669702866e-38	9.346549175905527e-36
CPA3	61.02762315892942	3.545458970800793e-13	2.2073935462362337e-11	59.689390385470645	6.848626758582139e-13	4.6257033256330034e-11	74.98585202131449	3.6487061880404963e-16	3.518047756925904e-14	65.23428852190484	3	2.634239221081597e-37	2.9666551227895127e-35
CES1	51.46389148473168	3.8963225445566505e-11	1.9977508319363192e-09	91.05879548256156	1.2975616593473693e-19	1.913771043286416e-17	51.443769704374134	3.934979685952956e-11	2.130360125165119e-09	64.65548555722246	3	6.085634153576029e-37	6.788926779814769e-35
CD48	81.50343452424214	1.4605480596088878e-17	1.4897590208010651e-15	50.53416332706068	6.147957461715753e-11	3.391701418001507e-09	60.36452409706934	4.913204245151333e-13	3.316085318527473e-11	64.13404064945739	3	1.2936520139234514e-36	1.4164291726522971e-34
