	mean_A_value	variance	intercept
0	10.797980554383184	0.27183789097605093	0.4060637757954444
1	11.434933113643213	0.24761586605010286	0.3122896222042747
2	11.802586589098734	0.20606708248414618	0.2747439831791468
3	12.102343583070779	0.18627100247846748	0.22142869209516028
4	12.359637022412487	0.18135586219659258	0.20144211180075514
5	12.582525038858881	0.14681186989483166	0.15660215943042397
6	12.78118974849969	0.15370467919736502	0.13369137277495238
7	12.9590918232786	0.15952242702939665	0.08650955909544052
8	13.116443328405825	0.15462325299166463	0.08823443387095911
9	13.263871019297506	0.1778366539006227	0.09121045264048055
10	13.403079742715276	0.20352903398990513	0.0608956756350774
11	13.540563500589435	0.2005241394483611	0.07687275487084042
12	13.66795996976931	0.1833710961394554	0.04692051007947641
13	13.788239530074263	0.16371675243378256	0.03590784003159903
14	13.901835069462136	0.12579702306573512	0.04186643081130555
15	14.005868067983393	0.13996034674074684	0.03238356478343331
16	14.10398873244609	0.13940612791497498	0.048813940093047375
17	14.200123499602604	0.16042010338163973	0.07659642607639437
18	14.291261831027061	0.19036509607742141	0.07483900990098778
19	14.381672697245175	0.1723052427195082	0.06767576805982943
20	14.477827345539863	0.18253545566981638	0.0454886918206308
21	14.574323394311122	0.14861639587049216	0.01872922508528372
22	14.66872208555386	0.14974750244106438	0.02668967994471001
23	14.762216919364489	0.15447651722081263	0.0400826102230313
24	14.851215615915788	0.1357687580935544	0.05285781051812678
25	14.93517610214909	0.13114941498064284	0.038868982522665844
26	15.019021103674758	0.12189872439724082	0.027957621960328253
27	15.096811448340823	0.10489090238905896	0.02218495008262295
28	15.172648187241025	0.1138400504934625	0.013092909387697325
29	15.248676716651794	0.12877540288200456	0.02139619837138022
30	15.32346598379384	0.14109485605045388	0.023676134519075197
31	15.400166813941027	0.1275848198765084	0.023057128202820142
32	15.47564067258409	0.13642797113094993	0.018801091753609032
33	15.5495808661016	0.12071206662623968	0.023671352317645937
34	15.62233202643293	0.11462819741483572	0.04195506371758314
35	15.694018958137576	0.1477297789193894	0.03964270077852682
36	15.761009705111926	0.15635681940844684	0.06448284289364899
37	15.825245657636978	0.15559934005512815	0.04512436828793814
38	15.885266457248154	0.15012627487281022	0.036140057790338624
39	15.942603404982306	0.13993889264353893	0.03712166694494329
40	15.999928194975801	0.12661241276116755	0.023068237875568026
41	16.05678274832741	0.13145981728051934	0.028496347978101477
42	16.115448493021745	0.1321884721860803	0.013522756675125345
43	16.174657976244475	0.13430214307245084	0.01918480628988685
44	16.234832808556064	0.13801084817277762	0.01501915676787437
45	16.296436013947517	0.13752252796078837	0.026512725060057408
46	16.357819719282276	0.12468358756284535	0.037992604320263135
47	16.419458686542125	0.12250571167253518	0.021264653706330013
48	16.479369088347976	0.11941683221186049	0.011545035151037938
49	16.53954121285011	0.11974649851480587	-0.01700827898801604
50	16.598772925905774	0.14864628525943813	-0.019290857987460577
51	16.657683874111225	0.15431536255335945	-0.004513533274076555
52	16.717419630859435	0.15435280876312868	-0.005626118379373677
53	16.775307559427564	0.15551801182779237	0.014409822811734339
54	16.832698869327235	0.12875725220644293	0.001478929844909947
55	16.890927284420194	0.11944451450357677	-0.003051921747213521
56	16.9485180752399	0.120446629532787	0.001864422028817246
57	17.007239125721135	0.11689788850194252	0.009251585663503528
58	17.065406715482982	0.11631498637974905	0.016658083490607864
59	17.123539776966012	0.11761802693767011	0.013775611456727939
60	17.184394134159565	0.11138619501847513	-0.0010673583938867405
61	17.246032048106382	0.12707212614656554	-0.009741929280954664
62	17.309453842169876	0.1366052568339889	-0.008049326805413858
63	17.374116792253893	0.16226211496435697	-0.0035905762779309455
64	17.439574050458763	0.15014771513246147	0.027123068978067946
65	17.506175151953954	0.12750392947061098	0.024599877175642135
66	17.575663972081692	0.14161518477634116	0.020684136669813745
67	17.649713400329926	0.13616306320751131	0.01873744944417674
68	17.72561818377804	0.1500817077674449	1.4166974214053241e-05
69	17.803820910894924	0.15638889856252125	0.005776992620742029
70	17.88317346301544	0.15112184658125968	0.019621333303748177
71	17.96780008751671	0.1475627995897983	0.01615562013382414
72	18.056399959475023	0.1426016962142458	0.041578530985968414
73	18.150743682788047	0.1365417744958928	0.041077774315130926
74	18.25557206952072	0.12938523014192474	0.03693062882386819
75	18.361409688542313	0.1401685306519894	0.03905303856654136
76	18.474064073244108	0.15962842853203071	0.038096721264793285
77	18.594393989750905	0.19257234399552306	0.055954451780747774
78	18.727249037725755	0.17428687102099677	0.046083665971753986
79	18.892959881650828	0.17646007784525555	0.06342961739194279
80	19.09681284340668	0.19898503496885026	0.05681477104464072
81	19.372455321201777	0.2120978634793336	0.043795526178504345
82	19.736912473681716	0.2712664688774146	0.043972962540153884
83	19.94295880666576	0.2778000527042818	0.031612141176180726
84	20.232905120973143	0.28693194791084253	0.018612672637484715
