Gene	T113	Set1_MIX	M value	A value	estimated variance	adjust mvalue	pvalue	z statistic
43160	17.013439721586682	17.910834862197536	-0.897395140610854	17.910834862197536	0.1481738654991679	-0.9361111454866742	0.015020806015928732	-2.431877030087311
43161	18.403003162005252	18.350059112987253	0.05294404901799865	18.350059112987253	0.1550842150184656	0.029491453037587823	0.9403038051000635	0.07488802420474366
43164	15.498618019836337	14.907495736214129	0.5911222836222088	14.907495736214129	0.16633450963349428	0.5403007465801043	0.18524349911188465	1.3247819020249871
43165	14.687340784585222	14.58054780250669	0.10679298207853272	14.58054780250669	0.1747895646523695	0.05213686406726037	0.9007563512677962	0.12470594430425187
43344	15.215667492594038	15.596215926869519	-0.3805484342754806	15.596215926869519	0.15044959997356616	-0.43623991799382056	0.26072365840523837	-1.1246823621561564
43345	17.732367545145426	18.009469918803035	-0.27710237365760904	18.009469918803035	0.1496614649814374	-0.31250314493990494	0.4192104935104054	-0.8077917181761619
43346	14.136649705595644	13.319224180763147	0.8174255248324975	13.319224180763147	0.20862222176536988	0.7038823553296003	0.12330197011981282	1.5410608783343827
43347	16.81635951486319	17.414794549043375	-0.5984350341801843	17.414794549043375	0.14178706389723106	-0.6519081560411176	0.08340126978383777	-1.7312831806354925
43348	16.63253118202349	16.30180986436812	0.33072131765537094	16.30180986436812	0.13993352023606587	0.2659086316294337	0.4771836974785213	0.7108395042943288
43349	16.394458855134058	16.544770585442105	-0.15031173030804723	16.544770585442105	0.13834109138184553	-0.21609380183900928	0.5612489476671584	-0.5809873969076855
43350	17.860490960606203	18.320211117692644	-0.45972015708644065	18.320211117692644	0.15459855020122965	-0.48423810975793025	0.2181127675927108	-1.23156193467628
43351	15.071039371543101	15.89092259268844	-0.8198832211453393	15.89092259268844	0.14513407267616796	-0.879866559107965	0.02091168003313616	-2.3095752702373273
43352	19.126586893708897	19.060676649550995	0.06591024415790159	19.060676649550995	0.16667714005039325	0.06787451843025138	0.8679580775626206	0.16625271308793121
43353	16.034963757550024	16.536782933403888	-0.5018191758538642	16.536782933403888	0.1383737477417008	-0.5676017332785849	0.1270428325616089	-1.5258676344018716
43354	17.764792004573945	18.107766757409586	-0.34297475283564083	18.107766757409586	0.15118999343786005	-0.3749911002391826	0.33484293512367436	-0.9644049627022417
43358	15.110716436135762	14.857488391203258	0.25322804493250395	14.857488391203258	0.1676079807932399	0.20216104939034607	0.6214481955687264	0.4937989205693859
A1BG	17.94407429590374	17.538052535433764	0.40602176046997585	17.538052535433764	0.14316196694572259	0.35584431750890566	0.34697513189182305	0.9404727286584154
A1CF	18.739634571891017	18.669977064535068	0.06965750735594867	18.669977064535068	0.16030292838208832	0.05764683382070723	0.88551559205118	0.14398084936191244
A2M	19.747036132066107	19.79088908707487	-0.04385295500876296	19.79088908707487	0.17859045866683437	-0.01576968523649591	0.9702331294640569	-0.03731589810807903
AAAS	16.56255323564269	16.77025829655954	-0.20770506091685093	16.77025829655954	0.13796707913609602	-0.2725145890783097	0.46314858795564684	-0.7336721305582828
AACS	17.728926172099268	16.889610091313656	0.8393160807856113	16.889610091313656	0.13816950051676563	0.7757220541148783	0.03689786746293943	2.08689234010971
AADAC	17.234278727424485	16.860538746870482	0.3737399805540029	16.860538746870482	0.1380962560593743	0.30980798900624695	0.40445886692468225	0.8336843720278302
AADAT	16.040948761808142	16.536782933403888	-0.49583417159574594	16.536782933403888	0.1383737477417008	-0.5616167290204667	0.13109999951850695	-1.5097783172736985
AAGAB	14.82687271481665	14.222727043800955	0.6041456710156954	14.222727043800955	0.18423705147110453	0.5389512742098288	0.2092508495204195	1.2556280694657804
AAK1	16.162667756590693	16.32040488050917	-0.15773712391847639	16.32040488050917	0.13976947592505057	-0.22268844676890853	0.5514087263744034	-0.5956505096934248
AAMDC	17.707264561645715	17.243963466184137	0.4633010954615777	17.243963466184137	0.14017783039789256	0.40577890103418834	0.2784527680864549	1.0838016170779436
AAMP	16.2942645146614	15.974315536898029	0.31994897776337083	15.974315536898029	0.14385174391577832	0.2587908211006985	0.49503344941364147	0.6823250299350729
AAR2	15.797012879650254	15.395024015314824	0.40198886433542924	15.395024015314824	0.15467613822138732	0.34887195694036743	0.3750450531863476	0.8870628696085177
AARS	19.837168417509073	19.046244986247213	0.7909234312618594	19.046244986247213	0.16644168938663007	0.7923714988393935	0.05211081586640679	1.942217165757223
AARS2	17.499269049502377	17.19562608340924	0.3036429660931361	17.19562608340924	0.13979195263035982	0.24509663606009036	0.5121229897320285	0.6555355746968422
AARSD1	17.38977243962061	17.321148836031945	0.06862360358866582	17.321148836031945	0.14085927070250098	0.0128509825197064	0.9726851500051403	0.03424077730452312
AASDHPPT	17.267012919328025	16.39195908699522	0.875053832332803	16.39195908699522	0.13920164936419027	0.8096604712257145	0.029998892973563427	2.1701049937899306
AASS	19.04590988318043	19.733991843814724	-0.688081960634296	19.733991843814724	0.17766218772467718	-0.6620338504461474	0.11626121694788033	-1.5706618421740803
AATF	17.145274019090532	16.45999246137704	0.6852815577134912	16.45999246137704	0.13875783875683745	0.6196150272089684	0.09623508901669685	1.6633865233513225
ABAT	19.25073519305457	19.60627066876991	-0.35553547571533883	19.60627066876991	0.17557843377283427	-0.334055828928816	0.425317640803461	-0.7972296986970735
ABCA1	17.31195902050065	16.848791357200128	0.46316766330052417	16.848791357200128	0.13807096017842208	0.39910663200272267	0.2827855616084989	1.0740828248531233
ABCA10	13.662992635843162	13.86825888518755	-0.20526624934438864	13.86825888518755	0.1937302205812667	-0.28640353173532906	0.5152412506346327	-0.6506983157490689
