Gene	T125	Set1_MIX	M value	A value	estimated variance	adjust mvalue	pvalue	z statistic
43160	17.46163610383818	17.99940119821249	-0.5377650943743078	17.99940119821249	0.3775873718080986	-0.46996817556926374	0.4443782296326694	-0.7648208513379509
43161	17.837584322892184	18.438625494748567	-0.6010411718563837	18.438625494748567	0.44266703289202847	-0.48751692876470987	0.46371577598783176	-0.7327420431579338
43164	15.189292708517105	14.996060848950242	0.19323185956686295	14.996060848950242	0.308780727789871	0.06503548515180135	0.9068302825763632	0.11703756863934109
43165	14.255835540421101	14.66911255976063	-0.41327701933952987	14.66911255976063	0.32813404476007735	-0.5559764179787728	0.33175815151807153	-0.9705786307187464
43344	14.449563349823604	15.684781570118322	-1.2352182202947173	15.684781570118322	0.2649015520305237	-1.3358396990188324	0.009446808682910033	-2.5954465793504955
43345	18.29818861509047	18.098036266335903	0.20015234875456756	18.098036266335903	0.39181857311077944	0.27809640676082426	0.6568430396911886	0.44427601535797456
43346	14.381650990301793	13.407786488724845	0.9738645015769478	13.407786488724845	0.367287933038816	0.7582531588187331	0.21087816123246306	1.251154372851112
43347	17.03347155393896	17.503360813539608	-0.46988925960064876	17.503360813539608	0.31260541272406456	-0.45103261885733414	0.41984186211801056	-0.8066956305653727
43348	16.45676810483142	16.390375843003937	0.06639226182748104	16.390375843003937	0.24217671870745572	-0.0006516265889360273	0.9989434926172074	-0.0013241360259746324
43349	16.37913531047669	16.63333664648204	-0.2542013360053481	16.63333664648204	0.24548927099477375	-0.3063150057486179	0.5364219181709837	-0.6182327598985445
43350	18.44422559716372	18.408777496766756	0.035448100396962445	18.408777496766756	0.43814928981644174	0.14583469007271055	0.8256235790360456	0.22031790182259792
43351	15.024440042822029	15.979488396136706	-0.9550483533146767	15.979488396136706	0.2508023482014825	-1.042970307245918	0.037287576184948504	-2.082601348706402
43352	19.951640022321524	19.149243081309223	0.8023969410123009	19.149243081309223	0.5503867931255524	0.9906734242955308	0.18176041298037215	1.33535430455063
43353	16.77328806251014	16.6253489919495	0.14793907056063915	16.6253489919495	0.24526205387912525	0.09529724505768788	0.8474080374386327	0.19242662617381112
43354	18.378575886138986	18.19633311566358	0.18224277047540482	18.19633311566358	0.40627670499656293	0.270386660977167	0.6714173697274731	0.42420355318913877
43358	14.602116461098433	14.946053454646734	-0.34393699354830076	14.946053454646734	0.31196286919103755	-0.47423536766038266	0.39584344065456745	-0.8490680263158525
A1BG	17.74877334465137	17.626618820058994	0.12215452459237497	17.626618820058994	0.3274734756518032	0.15276624194484034	0.7895032073010544	0.2669557812596042
A1CF	17.850500290396955	18.758543471862218	-0.9080431814652634	18.758543471862218	0.49116030227450047	-0.7608662849536934	0.27762626361904763	-1.0856671853890183
A2M	19.565576289911263	19.87945555003165	-0.31387926012038747	19.87945555003165	0.6610803312105427	-0.04878818579499167	0.952151640235937	-0.06000501532821094
AAAS	16.753941495426	16.858824422605867	-0.10488292717986525	16.858824422605867	0.2552194024929585	-0.14103488458047764	0.7801138931338439	-0.27917061523654674
AACS	18.81987560957583	16.97817624786986	1.8416993617059703	16.97817624786986	0.2627924188004611	1.814764766741666	0.00039999530213772895	3.5400868987215612
AADAC	15.970123914351156	16.94910489622604	-0.9789809818748836	16.94910489622604	0.26080297792117924	-1.0082066672927041	0.0483578979717968	-1.9742097486259254
AADAT	14.718731116099466	16.6253489919495	-1.906617875850035	16.6253489919495	0.24526205387912525	-1.9592597013529862	7.615551542236426e-05	-3.9561871269357245
AAGAB	14.787008144273228	14.311291307589764	0.4757168366834641	14.311291307589764	0.3443220949600617	0.3147399565340142	0.5916986318757994	0.5363761201255539
AAK1	17.247960833255682	16.40897086595377	0.838989967301913	16.40897086595377	0.2421811448527968	0.7730108122125923	0.11623372426385688	1.5707801504244538
