Gene	N125	Set1_MIX	M value	A value	estimated variance	adjust mvalue	pvalue	z statistic
43160	18.02325184561189	17.949547377992563	0.07370446761932925	17.949547377992563	0.07613637286376385	0.09295654119591124	0.736202312667197	0.33688669877565514
43161	18.406148155586337	18.38877164912401	0.017376506462326802	18.38877164912401	0.0746285305839639	0.03871193880232959	0.8873111431233714	0.1417073828527952
43164	15.093927049673967	14.946207708062063	0.1477193416119036	14.946207708062063	0.12512267046321485	0.09671271946838078	0.7845374869157793	0.27341075425508027
43165	14.661969232064308	14.619259616284829	0.04270961577947929	14.619259616284829	0.1339498251068541	-0.028290914230106212	0.9383853988411244	-0.07729936149644658
43344	17.162271725073886	15.634928134616896	1.52734359045699	15.634928134616896	0.10723537966123792	1.5076566213416658	4.144930429799525e-06	4.603979620151735
43345	18.3173649589449	18.048182439719657	0.26918251922524306	18.048182439719657	0.07575817388290845	0.28894572323151846	0.29381568498249633	1.0497878013455406
43346	14.618421463513	13.357934905432055	1.2604865580809452	13.357934905432055	0.16747408057116253	1.084502663467785	0.008047585670468626	2.65006680336505
43347	17.985275325658687	17.45350703303665	0.5317682926220364	17.45350703303665	0.07870193411896143	0.547724438889702	0.050890403754411596	1.952402775789404
43348	16.079780036734	16.34052222124977	-0.26074218451577025	16.34052222124977	0.09195789050758418	-0.26042184264001533	0.3904608281542905	-0.858781949255112
43349	16.595079125447565	16.583482978965836	0.011596146481728908	16.583482978965836	0.08786908187897624	0.016669121751136995	0.955155839688402	0.05623344294205138
43350	18.603196327145643	18.3589236526345	0.24427267451114432	18.3589236526345	0.07472094704441129	0.2654775172528627	0.33145104325133135	0.9711952812354954
43351	16.315944947326617	15.929634871670624	0.3863100756559934	15.929634871670624	0.10033477487741427	0.3762476536168333	0.23490710678860915	1.1878129612912838
43352	18.93536594305967	19.099389207919547	-0.16402326485987828	19.099389207919547	0.07245125001142322	-0.13960387030489563	0.6040047225139229	-0.518650161184762
43353	16.764661836849527	16.575495325818487	0.18916651103103987	16.575495325818487	0.08799182278586859	0.19409739508083512	0.5128975554755348	0.6543325872829531
43354	18.49558380124985	18.146479283093502	0.3491045181563486	18.146479283093502	0.07540945505883934	0.3693462898522022	0.17862667947137523	1.3449955257317088
43358	15.011453861567713	14.896200341132575	0.1152535204351377	14.896200341132575	0.12647117367135197	0.061421215072195334	0.8628777746778388	0.17271204609292337
A1BG	17.89231194468627	17.576765028377668	0.31554691630860177	17.576765028377668	0.07793626261405018	0.3324621641194836	0.23369591889549246	1.1908921697168833
A1CF	18.478070943662185	18.708689612040015	-0.2306186683778293	18.708689612040015	0.07364796455136569	-0.20789445094844106	0.44364087811236763	-0.7660595361543067
A2M	20.148507428778746	19.829601659316275	0.3189057694624715	19.829601659316275	0.07021460613707697	0.34649342796624394	0.19100252089862868	1.3076191423223174
AAAS	16.94171481763848	16.808970718989226	0.13274409864925474	16.808970718989226	0.08473261245666075	0.14146918051742796	0.6269669515487103	0.4860003023849126
AACS	16.635371256894945	16.928322527309966	-0.29295127041502056	16.928322527309966	0.08331260645175953	-0.28255563517264437	0.3276179379601669	-0.9789231798875703
AADAC	17.25935717474323	16.899251179664926	0.3601059950783032	16.899251179664926	0.08364412250436892	0.37011042553361695	0.2006450310430784	1.279716012396881
AADAT	17.104258689858682	16.575495325818487	0.528763364040195	16.575495325818487	0.08799182278586859	0.5336942480899902	0.07199234103168298	1.799166537115646
AAGAB	14.385492270998329	14.261438638153408	0.12405363284492132	14.261438638153408	0.1435451742379023	0.027136915264759365	0.9429001412348578	0.0716252548381089
AAK1	16.396628280736973	16.359117240418435	0.037511040318538136	16.359117240418435	0.09162007520345328	0.03822825444208178	0.899497726021458	0.1262958691464885
AAMDC	16.910743345825882	17.28267593643726	-0.3719325906113795	17.28267593643726	0.07994163836252571	-0.3575008733379905	0.20608012433224032	-1.2644177525486997
AAMP	15.674283254760219	16.013027833533577	-0.3387445787733583	16.013027833533577	0.09850489396742301	-0.3464327056467946	0.2696803547604426	-1.1037989631022547
AAR2	15.537905221753688	15.433736165365627	0.10416905638806107	15.433736165365627	0.11226470469647826	0.07670057579211376	0.8189338536536661	0.2289164514424929
AARS	19.154531727512392	19.08495754426462	0.06957418324777365	19.08495754426462	0.07249545425917153	0.09393096134148982	0.7271930875810932	0.34886176959792076
AARS2	17.09794312596732	17.234338549469964	-0.13639542350264477	17.234338549469964	0.0803342153829597	-0.12244074296672114	0.6657472465173273	-0.431991973944716
AARSD1	17.332791472293046	17.359861312694992	-0.027069840401946266	17.359861312694992	0.07935403338749686	-0.011919311970916668	0.9662497361409536	-0.04231230494908204
AASDHPPT	16.607639591598303	16.430671458197565	0.17696813340073803	16.430671458197565	0.09035742005087671	0.17915949209959003	0.5511645444415032	0.596015990425531
AASS	19.82776872060053	19.772704415209162	0.05506430539136886	19.772704415209162	0.07038888264010823	0.08240509671704088	0.7561044083073134	0.3106004194085194
AATF	16.46411321877365	16.4987048428096	-0.03459162403595073	16.4987048428096	0.0892135840398055	-0.031073971893816	0.9171412304089633	-0.10403543205464731
ABAT	20.042381993243215	19.64498323813695	0.3973987551062663	19.64498323813695	0.07078009315394762	0.42418538661168226	0.11084412868297266	1.5944104709851383
ABCA1	17.168806466110436	16.887503788682324	0.281302677428112	16.887503788682324	0.08378066557323294	0.29114620471049024	0.31448103457642496	1.0058639191588992
ABCA10	13.655920409209033	13.9069702013198	-0.2510497921107664	13.9069702013198	0.15297485522072407	-0.37708747457812364	0.334984665471153	-0.964122196682781
