Gene	N123	Set1_MIX	M value	A value	estimated variance	adjust mvalue	pvalue	z statistic
43160	17.527805332561215	17.85344485453505	-0.3256395219738337	17.85344485453505	0.09296257433380584	-0.30028729477141836	0.3246834993908321	-0.9848790210027826
43161	19.0698329794645	18.292669074146414	0.777163905318087	18.292669074146414	0.08952152616166364	0.8103417865434293	0.006761904133945689	2.7083481811523997
43164	15.187721285741787	14.850106562274709	0.33761472346707855	14.850106562274709	0.11438801372434126	0.3061733535914193	0.365323465879151	0.90526792252832
43165	14.703123988648423	14.523158870845156	0.17996511780326685	14.523158870845156	0.12210781118603686	0.13306340330051358	0.7033581893452321	0.3807912003367304
43344	15.676398317203365	15.53882639136046	0.137571925842904	15.53882639136046	0.10552315452191363	0.12665684784426468	0.6966094599596622	0.3899013982006719
43345	17.83506326689302	17.952079903290528	-0.11701663639750848	17.952079903290528	0.09220349189193444	-0.08992192665843413	0.7671258509241966	-0.2961364862776925
43346	13.818804638420326	13.26183691840722	0.5569677200131071	13.26183691840722	0.17309700730142552	0.4163130072551844	0.31700384749944677	1.0006338733472808
43347	18.149271665015196	17.35740459012435	0.7918670748908454	17.35740459012435	0.09655627969967251	0.8087002675347603	0.009253616281509287	2.602539470050315
43348	15.801796030129546	16.244420100276745	-0.4426240701471986	16.244420100276745	0.10216410536885767	-0.44224881513080727	0.16647417848917612	-1.383622162658513
43349	16.02118105021982	16.487380765188355	-0.4661997149685355	16.487380765188355	0.10130296726690735	-0.46261117442130884	0.1460942657809263	-1.453466531128705
43350	18.18132571967183	18.262821080683256	-0.08149536101142729	18.262821080683256	0.0897589072391779	-0.0488531420663727	0.8704693356377359	-0.16306235976528544
43351	15.75690556065689	15.833532947995785	-0.0766273873388954	15.833532947995785	0.10374561088667089	-0.08213528465200648	0.7987209587023643	-0.25500277141256183
43352	18.795289783523515	19.003286576634835	-0.20799679311132024	19.003286576634835	0.08385964424924108	-0.16205465110084383	0.5757458993701345	-0.5596093889067203
43353	16.627137771386185	16.47939311485014	0.14774465653604452	16.47939311485014	0.10133376136514871	0.15122552997523342	0.6347445439568746	0.4750595286528388
43354	18.074803564397577	18.050376734590117	0.024426829807460138	18.050376734590117	0.09143737550543751	0.05326855549523968	0.8601676894788889	0.1761607067176564
43358	15.423778604516903	14.800099250859104	0.6236793536577991	14.800099250859104	0.1153943626154782	0.5901546682832415	0.08233512721656862	1.7372949231608494
A1BG	17.930384090826895	17.480662562795857	0.4497215280310378	17.480662562795857	0.0957063049839143	0.468624670882706	0.12982343398281196	1.5147985256018814
A1CF	18.6077184333043	18.61258700826987	-0.00486857496557036	18.61258700826987	0.08697277256016811	0.03405551126835249	0.9080669962271425	0.11547706765342544
A2M	19.691205691183775	19.733498992895385	-0.04229330171160939	19.733498992895385	0.07804124789020606	0.01676549534789773	0.9521442958768269	0.060014236706180606
AAAS	16.587107360259953	16.712868432000803	-0.12576107174085038	16.712868432000803	0.10032543577296071	-0.1190153968520542	0.7071036422239314	-0.37574881677756167
AACS	16.235560802050063	16.83222020596097	-0.5966594039109054	16.83222020596097	0.09972833598436115	-0.5881557494521312	0.06254063033406093	-1.8624433017962219
AADAC	17.453704677801788	16.80314886642538	0.6505558113764067	16.80314886642538	0.09987854584440847	0.6586260610381733	0.03715794505370406	2.084024430867631
AADAT	17.861529336408726	16.47939311485014	1.3821362215585857	16.47939311485014	0.10133376136514871	1.3856170949977746	1.3442550704320668e-05	4.352774324221326
AAGAB	13.916385847518733	14.165338448459048	-0.24895260094031535	14.165338448459048	0.1336357147061874	-0.31772837812312593	0.3847650903652211	-0.8691500020399808
