Gene	number_of_undetected_samples	chi^2	pvalue	BH-corrected P-value	Bonferroni-corrected P-value
CTTN	0	33.73979187674912	0.02793972512564664	0.10667788861727875	1.0
LDHB	0	33.739744518786196	0.027940065621086484	0.10663460899180228	1.0
BRD7	0	33.72049899709716	0.028078749287045623	0.10711913836198317	1.0
ENAH	0	33.69475092114197	0.028265266092334054	0.10778566815085049	1.0
CEP290	0	33.688881987386075	0.02830793692286969	0.10790333385499536	1.0
TSPO	0	33.678070146231114	0.028386698608538954	0.10815841401409523	1.0
KLHDC10	10	20.09274247522915	0.02838760297244576	0.10811675477370607	1.0
RMDN1	0	33.63264170014443	0.02871980780585601	0.10933639211791703	1.0
CRTAC1	10	20.043683626062517	0.028842211270009115	0.10975663147041385	1.0
TACC3	0	33.609105443446296	0.0288937784097366	0.10990707131033918	1.0
RPS15A	0	33.60416891565179	0.028930388061013942	0.11000051380567874	1.0
IDUA	0	33.60369933190172	0.02893387271461154	0.10996798148254149	1.0
HHEX	10	20.02416391495751	0.029024964690647803	0.11026830387674141	1.0
SLC25A17	0	33.588742213991935	0.029045064397898192	0.11029878301289155	1.0
ARHGAP25	0	33.57971254736632	0.029112378294921987	0.11050845842374168	1.0
LSAMP	10	19.997834114581444	0.029273180368230654	0.11107268645743687	1.0
ATP6V1C1	0	33.55132868953251	0.029324893200607702	0.11122269501708892	1.0
HMHA1	0	33.544010954695246	0.02937990945521626	0.11138510296990041	1.0
AGXT	0	33.54369660722893	0.02938227487531144	0.1113478491436595	1.0
GPX4	0	33.543467770265046	0.029383996949365134	0.1113081891906063	1.0
LIMD2	0	33.541836237856515	0.029396277418263114	0.11130854131882131	1.0
GSKIP	0	33.53603041294635	0.029440015260333404	0.11142795664012639	1.0
MXRA8	0	33.532598307486325	0.029465898503045936	0.11147972287834239	1.0
PCBD1	0	33.501678043189834	0.02970001352713271	0.11231893314422486	1.0
GNPTG	0	33.49538884548423	0.029747838014614388	0.11245323037560977	1.0
NUDT15	0	33.492570155687744	0.029769294560759243	0.11248778122607124	1.0
LIMK2	0	33.48997697169416	0.02978904686024811	0.11251586640804218	1.0
GPHN	0	33.4891365928433	0.029795450573380816	0.11249353042029227	1.0
REXO2	0	33.482209953222615	0.02984827920951876	0.11264641901674992	1.0
GNE	0	33.477371431667166	0.029885232246905553	0.1127392920739316	1.0
SPARC	0	33.47328239685308	0.029916493500935074	0.1128106255755739	1.0
ACAD10	0	33.466622338195	0.029967473889161076	0.11295622741630544	1.0
MAGEC1	10	19.92440077015059	0.029975892883286732	0.11294134888740005	1.0
SLC43A3	0	33.44000807121264	0.030171981495795915	0.1136332812375687	1.0
ATAD2B	0	33.429823655727375	0.03025057299704872	0.11388230963810633	1.0
SLC9B2	0	33.42310219060334	0.030302542744851186	0.11403095298258174	1.0
TMEM175	0	33.415177614658404	0.030363918448538203	0.11421485469130949	1.0
LYZ	0	33.39593504136231	0.030513419570582442	0.11472995510009446	1.0
SCO1	0	33.39312988506821	0.030535269085584543	0.1147648611352443	1.0
RTTN	0	33.38621444203222	0.030589194223656482	0.11492024304592952	1.0
PDF	0	33.38058738863846	0.030633136229040406	0.1150380070640732	1.0
LIG1	0	33.367392547022064	0.030736399213388912	0.1153783534796058	1.0
SLC9A3R2	0	33.341794484160985	0.030937626819378658	0.11608600893236865	1.0
BCAS1	10	19.815568999375316	0.03104615259427025	0.11644538465850933	1.0
ARFGAP1	0	33.3105125669979	0.031185149837223546	0.11691870831829336	1.0
DGKA	0	33.30997750688127	0.03118939908672923	0.11688665648711452	1.0
PEF1	0	33.30751631653836	0.03120895168054278	0.11691195885906366	1.0
HACD3	0	33.29749794750993	0.03128865546556321	0.11716248067527216	1.0
PARD6B	0	33.29468791314368	0.0313110443991889	0.1171982657777837	1.0
AMBP	0	33.26498164769601	0.031548614581940866	0.11803912207163701	1.0
MAN1C1	0	33.24705322292758	0.03169277934545312	0.11852995649550507	1.0
EMG1	0	33.23898858846548	0.03175782163552794	0.11872459475942558	1.0
MCFD2	0	33.23892905511271	0.03175830222677305	0.11867781269931188	1.0
SYNJ1	0	33.22082522482516	0.03190475251319077	0.11917632094191055	1.0
CTSZ	0	33.21007299674285	0.03199202022743281	0.11945344265623216	1.0
MMP12	10	19.720502824865015	0.032009886728246284	0.1194713099669282	1.0
P2RX7	0	33.20391727901096	0.03204207835154626	0.11954260685648366	1.0
TM9SF4	0	33.18876656214263	0.03216558444387791	0.11995438249323682	1.0
PCM1	0	33.16744163280118	0.03234014869058724	0.1205561542820952	1.0
INPP1	0	33.165163525044036	0.03235884748930174	0.12057664386772451	1.0
FBXO44	0	33.16004559660075	0.03240089118155244	0.12068406980469758	1.0
HDAC3	0	33.15146004618675	0.032471531883257784	0.12089788042796304	1.0
AHDC1	10	19.640324326260828	0.032844134617130795	0.12223532251762655	1.0
TEX30	0	33.10595168768169	0.032848290324651835	0.12220099207130151	1.0
HCLS1	0	33.10223444916276	0.03287923815623909	0.12226632006552589	1.0
SYT12	10	19.617062756017702	0.03308990384070936	0.12299963035295018	1.0
A2M	0	33.070090410155856	0.03314795009794787	0.12316526779680954	1.0
ZNF451	0	33.054423822759475	0.03327963202949358	0.12360426162072585	1.0
FGF2	0	33.01813923959781	0.03358642346142129	0.12469301035494333	1.0
NT5DC1	0	32.98966226347894	0.03382897999736296	0.1255424926110995	1.0
ITGB1BP1	10	19.543158017484277	0.033882062678621885	0.1256884152899487	1.0
FAM26E	0	32.97712018402378	0.03393630774976342	0.12583852971116088	1.0
MRPL48	0	32.964075075732545	0.03404826491619702	0.1262024364771215	1.0
NT5C3A	0	32.94827494822246	0.03418431115064865	0.12665529969122682	1.0
BAZ1A	0	32.937565516487986	0.034276801866665284	0.12694648477220358	1.0
SAMD4B	0	32.93345636517417	0.034312349727736925	0.12702662750848048	1.0
RRP1	0	32.92188725405019	0.03441261100741041	0.12734618165748754	1.0
PARVG	0	32.891403371017596	0.03467805522713517	0.12827649995521487	1.0
MLIP	0	32.88709165861553	0.03471574841682359	0.12836393938900803	1.0
ULK1	0	32.881692083006804	0.03476300366287602	0.1284866501226413	1.0
HSPB11	0	32.87922479093165	0.03478461579057066	0.12851452104178068	1.0
SUGCT	0	32.87718156062101	0.034802522504828876	0.12852868501277886	1.0
PLA2G4C	0	32.852405322986314	0.03502031945144057	0.12928075082862034	1.0
PRIM2	0	32.8294734562522	0.03522299324149067	0.12997640293920576	1.0
IGLV2-18	10	19.417047918522485	0.03527433753295734	0.13011329753170411	1.0
