Gene	number_of_undetected_samples	chi^2	pvalue	BH-corrected P-value	Bonferroni-corrected P-value
EEF1A2	0	1875.9106280305155	0.0	0.0	0.0
IGF2BP1	0	2234.9717195373196	0.0	0.0	0.0
AFP	0	1247.5864322910336	4.91985662753143e-252	1.497768352641485e-248	4.493305057924455e-248
IL32	1	976.9156027139137	4.48226151578784e-195	1.0234123605922585e-191	4.093649442369034e-191
HMGA2	0	928.3265351732646	7.331837843994242e-184	1.3392335005839883e-180	6.6961675029199415e-180
SEC14L3	0	889.0061364098582	1.7168927083059433e-175	2.6133968508263633e-172	1.568038110495818e-171
SPINK1	1	783.3181962924339	7.537473854013457e-154	9.834249815529272e-151	6.88397487087049e-150
S100P	3	760.4536491761824	1.2059896029503096e-150	1.376787880468147e-147	1.1014303043745177e-146
AKR1B10	0	765.0469001749708	3.686789168288045e-149	3.741271719330524e-146	3.3671445473974715e-145
DVL1;DVL1P1	12	671.2920783283454	1.0818277421056704e-139	9.880332768651088e-137	9.880332768651088e-136
GSTA2	0	666.9233772682562	2.1823519983670416e-128	1.81194734555329e-125	1.993142080108619e-124
CRP	0	664.2009486663999	8.206418982011687e-128	6.245768713559395e-125	7.494922456271274e-124
ALDH1A2	0	663.5000502265135	1.154084914306449e-127	8.107890401815999e-125	1.0540257522360799e-123
VCAN	0	656.7697047777525	3.047799594914462e-126	1.9882538357395558e-123	2.7835553700353784e-122
PAGE2;PAGE2B	0	646.0032704824014	5.721172636143442e-124	3.4834313123932036e-121	5.225146968589805e-120
MAGEB2	0	615.3195836997965	1.7012737660699664e-117	9.711083315948126e-115	1.5537733305517002e-113
THBS2	0	606.6145301203513	1.1629144492860162e-115	6.247586861958344e-113	1.0620897665329186e-111
PLA2G2A	0	590.6929205001702	2.6258963905552855e-112	1.33235065194119e-109	2.3982311734941423e-108
CPA2	10	551.2307802223775	4.887483244600553e-112	2.349336024891413e-109	4.463738447293685e-108
DMBT1	10	525.4496040572625	1.6013952366065038e-106	7.3127713479636e-104	1.46255426959272e-102
MT2A	0	538.7016647938234	2.239875104646116e-101	9.741323490825227e-99	2.0456779330732978e-97
CCL20	1	523.1900862961909	7.555145210932986e-99	3.136415509611407e-96	6.900114121145096e-95
POSTN	0	522.8795674865166	4.6760555309539535e-98	1.8568006593131503e-95	4.270641516420246e-94
SQSTM1	0	518.464871301863	3.940111630780626e-97	1.4993766468299775e-94	3.598503952391946e-93
IGF2BP3	0	516.3734243057423	1.0812450779100656e-96	3.9500045186210516e-94	9.87501129655263e-93
GSTM1	0	476.9183125362478	1.9593061928780753e-88	6.882439792136716e-86	1.7894343459555463e-84
SCGN	0	471.9477369826829	2.141292975488253e-87	7.243121757457116e-85	1.9556428745134213e-83
PYCR1	0	470.4797562407566	4.33831027753566e-87	1.4150638487404707e-84	3.962178776473319e-83
MT1H	1	465.47406927629197	9.58118567967262e-87	3.017412717670691e-84	8.750496881245004e-83
HLA-DRB4	0	458.13748037188583	1.636692517801664e-84	4.982637588360865e-82	1.4947912765082597e-80
NEB	0	446.9212951366035	3.5734652349707145e-82	1.052788967451211e-79	3.2636457990987534e-78
UCHL1	0	436.2093686870632	6.092194288922094e-80	1.7387503262726712e-77	5.564001044072548e-76
EPCAM	0	429.815236307961	1.3055656580842645e-78	3.613251865237451e-76	1.1923731155283587e-74
ENO3	0	426.3800494193216	6.769040666408873e-78	1.8182837766562422e-75	6.1821648406312234e-74
TOP2A	0	414.32116277793375	2.17517925150183e-75	5.67597488684749e-73	1.9865912103966215e-71
SULT1C2	0	414.0481073817297	2.47870209422898e-75	6.288329507387021e-73	2.2637986226593277e-71
ACSL4	0	412.3501624850514	5.584021954624896e-75	1.3783479057186264e-72	5.099887251158917e-71
DNAJB9	0	396.33675466767716	1.175414850270734e-71	2.825016796716477e-69	1.0735063827522613e-67
FLNC	0	378.84840001507666	4.923719602241288e-68	1.1530341314684534e-65	4.496833112726968e-64
NQO1	0	373.05291676990436	7.77757399756598e-67	1.775814582994252e-64	7.103258331977009e-63
LZTS1	0	372.3892222942263	1.0667000865437956e-66	2.3761394854645088e-64	9.742171890404485e-63
PIGR	0	367.816550752046	9.396452402462434e-66	2.0432809474211764e-63	8.58177997916894e-62
HLA-DQA2	0	366.09146972728377	2.1344680110483417e-65	4.5335107778847685e-63	1.9494096344904506e-61
TTC25	0	365.27030885939416	3.154098254412074e-65	6.546904399442152e-63	2.880637935754547e-61
CLEC4M	0	364.31203995446845	4.974524203546674e-65	1.0096073233553726e-62	4.543232955099177e-61
DHRS2	0	363.17400888117874	8.545015843977682e-65	1.6965571674575688e-62	7.804162970304818e-61
MFAP4	0	362.46042210176927	1.1995623166314227e-64	2.3309792846371876e-62	1.0955602637794783e-60
DEFA3	0	357.6695651616234	1.1685226894573539e-63	2.223357858919586e-61	1.0672117722814012e-59
BUB1B	10	320.267603084265	8.005900354249443e-63	1.492201794599187e-60	7.311788793536017e-59
ADAMTS4	10	314.27278714082524	1.487827282394289e-61	2.7176653140214084e-59	1.358832657010704e-57
ADIRF	0	347.1911391257108	1.6883590676074032e-61	3.023486934207532e-59	1.5419783364458415e-57
AGR2	0	346.4463408637596	2.4035448384602648e-61	4.221456732626461e-59	2.1951575009657598e-57
PAGE4	10	308.2586340291188	2.787158100835505e-60	4.802851874515219e-58	2.5455114934930663e-56
CT47A1	10	306.0257987579686	8.269325446967991e-60	1.3985879501325676e-57	7.5523749307158665e-56
GLUL	0	335.5663871712857	4.1634071846402535e-59	6.913526875876261e-57	3.8024397817319435e-55
L1RE1	0	334.3545022511602	7.38844306028205e-59	1.2049759012420709e-56	6.747865046955597e-55
SRD5A2	0	333.30606383298124	1.2134433621973786e-58	1.9442768819208172e-56	1.1082378226948659e-54
MT1M	10	298.9306395477553	2.616296155594887e-58	4.119764273973811e-56	2.3894632789048105e-54
SLCO1B3	0	326.6874368450061	2.7754600345811166e-57	4.296318050140565e-55	2.534827649582934e-53
ANKRD12	0	326.5899833513598	2.9062838915388594e-57	4.423848463570734e-55	2.6543090781424405e-53
TKTL1	10	293.51843568423396	3.642579462780745e-57	5.453717743209269e-55	3.326767823357654e-53
SLC7A9	0	323.6356622425942	1.1737361944554e-56	1.7289891393485755e-54	1.0719732663961168e-52
CCDC177	0	322.65983453774066	1.8609809031005545e-56	2.697831521907518e-54	1.6996338588017366e-52
RLF	12	281.3900371747449	3.7403090372165882e-56	5.337537880765485e-54	3.41602424368991e-52
FTH1	0	311.786758729274	3.145563744923209e-54	4.4197590280590264e-52	2.872843368238367e-50
RAB19	0	308.1160050737321	1.7734316219625937e-53	2.454053182330965e-51	1.6196751003384368e-49
NTS	2	299.4937407338971	6.12034549568448e-53	8.342853046580053e-51	5.589711541208636e-49
MDK	0	304.0116811082212	1.2246158253139867e-52	1.6447671077342117e-50	1.118441633259264e-48
HLA-B	0	301.79714101684567	3.471382500041465e-52	4.594802372880971e-50	3.1704136372878705e-48
CYP3A5	0	299.232390163588	1.1595915620094239e-51	1.5129356765474383e-49	1.0590549735832069e-47
SLC2A5	1	295.637781258653	1.565653194993183e-51	2.0139592436440483e-49	1.429911062987274e-47
CYP3A4	0	297.8761797313684	2.1936718493103672e-51	2.7826118055210536e-49	2.0034804999751584e-47
SLCO1B7	10	263.76673918998733	6.880193516243452e-51	8.607781833404308e-49	6.283680738385145e-47
PPBP	0	293.88328202545625	1.4316745686577292e-50	1.766957275074465e-48	1.3075483835551041e-46
UBD	0	291.147343089785	5.171895794809225e-50	6.297989905865686e-48	4.7234924293992656e-46
STXBP4	0	290.8090920304918	6.061626528549746e-50	7.284320405953267e-48	5.536083508524483e-46
ALDH3A1	0	290.25905104267423	7.846620493855598e-50	9.306907139010802e-48	7.166318497038317e-46
SPP1	0	288.69758662194994	1.6323742016962688e-49	1.911342767191285e-47	1.4908473584092023e-45
CLEC1B	1	281.7322615297373	1.090641636886659e-48	1.2608645657830198e-46	9.960830069685856e-45
S100A12	0	282.5814392216791	2.869751692081622e-48	3.2761802754726818e-46	2.6209442203781453e-44
S100A1	10	250.8595117627976	3.5801385319365705e-48	4.0367166928613216e-46	3.2697405212176697e-44
SAA1	0	280.87661040561215	6.376277580147469e-48	7.101773553595956e-46	5.823454313948683e-44
SCD	0	278.82310526825944	1.6673026044830146e-47	1.8346355044269123e-45	1.5227474686743372e-43
CYP2A6	0	278.7470577424599	1.727705739765412e-47	1.8784686334854176e-45	1.5779136521277508e-43
REG1A	10	244.52218004528	7.690407822700475e-47	8.263117017026286e-45	7.023649464472344e-43
TLR5	0	270.51581830817145	8.102152607217666e-46	8.604297646711506e-44	7.399695976171895e-42
RTN3	0	267.64178057160143	3.099331431884611e-45	3.2535855134945007e-43	2.8306193967402155e-41
STMN2	0	264.1706828343135	1.5645462397508745e-44	1.623750091777811e-42	1.4289000807644737e-40
UGT2B7	0	261.0832785010181	6.595214871647881e-44	6.767876114916865e-42	6.0234097422760096e-40
VNN1	0	260.7716876266399	7.625357935016167e-44	7.738043780055851e-42	6.964239402050266e-40
CYP1A2	0	259.3438254743573	1.4826208146329331e-43	1.4879973516530304e-41	1.3540775900042577e-39
DNAH12	10	228.0326797195422	2.2200303923241113e-43	2.2038627796843596e-41	2.0275537573096107e-39
ANGPTL6	0	250.9198028781739	7.452194165824349e-42	7.318375195319761e-40	6.806088931647378e-38
CRYAB	0	249.85232479082177	1.2233790182156029e-41	1.1886298482301171e-39	1.11731205733631e-37
NAV3	0	248.4598805647127	2.334898036339949e-41	2.244697238515027e-39	2.1324623765892757e-37
FABP5	0	247.97959779460388	2.917840958328055e-41	2.775900153376055e-39	2.6648641472410124e-37
NR1D2	0	247.82659816563148	3.13251633737399e-41	2.949409454560479e-39	2.860927170923665e-37
HSD17B14	0	246.8308118720293	4.971911983935319e-41	4.633517566253191e-39	4.5408472149281275e-37
FBXO2	0	246.68398689940443	5.322311818802476e-41	4.90996705465889e-39	4.860867384112301e-37
NAT2	0	240.2082471294487	1.0695899317166546e-39	9.768564846368207e-38	9.768564846368207e-36
FTL	0	237.66548219409432	3.468525273717388e-39	3.1364397351347433e-37	3.1678041324860906e-35
CTGF	0	237.40385638881182	3.914619749509462e-39	3.5051198208107757e-37	3.575222217226991e-35
FCN2	0	236.7063911996343	5.4043708507415914e-39	4.792050386390579e-37	4.935811897982296e-35
ARID3A	0	236.60214926232715	5.671197182102038e-39	4.98029267924403e-37	5.179504386413792e-35
RPL22L1	0	236.38552571396846	6.268532054612708e-39	5.4524288814074155e-37	5.725050325477786e-35
LYVE1	0	235.59664408715784	9.026530674054987e-39	7.777292891145679e-37	8.24393046461442e-35
TXNDC15	11	199.83751829793977	3.5832742215398586e-38	3.058508735076965e-36	3.2726043465323527e-34
ASNS	0	230.00123129354128	1.1952441079456274e-37	1.0107559664692051e-35	1.0916164437867415e-33
AADAT	0	227.86548668086687	3.1996466573643323e-37	2.6809516441934353e-35	2.9222372921708446e-33
CSTA	0	226.57583652274093	5.796544516436321e-37	4.812712824419357e-35	5.293984106861292e-33
CYP39A1	0	226.37522196178384	6.357733107017206e-37	5.231096978953887e-35	5.806517646638814e-33
MX1	0	226.3313633046715	6.487477344719815e-37	5.290190231189828e-35	5.9250130589326065e-33
COCH	0	226.07602451408604	7.2971186485014766e-37	5.89775085104106e-35	6.664458461676398e-33
CHCHD10	0	224.9935059243346	1.2012509432631212e-36	9.62370602177376e-35	1.0971024864822087e-32
S100A8	0	224.88868254331982	1.2606416441549163e-36	1.001168707484074e-34	1.1513440136066851e-32
INMT	10	195.66708485061773	1.2915431025985586e-36	1.0168675134510893e-34	1.1795663156032636e-32
GSTT2B;GSTT2	0	224.5493018741434	1.4738054369067163e-36	1.1504500047238496e-34	1.3460265055269038e-32
TTC36	0	223.8616234355971	2.0225207745333222e-36	1.5653967994756636e-34	1.8471682233812832e-32
ARHGAP26	0	223.06135615056183	2.9228363035241897e-36	2.2432154588307923e-34	2.6694263960086426e-32
GSTM4	0	221.75233318128988	5.336670785995934e-36	4.061651190708405e-34	4.873981428850086e-32
AKR1C2	0	220.18107668986366	1.098850867681124e-35	8.294053697960087e-34	1.0035804974531706e-31
RAB3B	10	190.64756433542962	1.4335569878290905e-35	1.0731701614625478e-33	1.3092675969843083e-31
STAB2	0	218.84695260857794	2.0282223779205755e-35	1.5059963396380988e-33	1.8523754977548617e-31
PVALB	0	218.75010373862887	2.1204731740684803e-35	1.5617968950618896e-33	1.936628149876743e-31
ZGRF1	10	188.2453737046372	4.5316216370878005e-35	3.310984032921831e-33	4.138730041152289e-31
SLC22A1	0	214.4429690638488	1.5302179593482557e-34	1.1091651287879063e-32	1.3975480622727619e-30
ALOX15B	0	213.6952604828218	2.1557585617962902e-34	1.5502789720382299e-32	1.9688542944885518e-30
MARCO	0	213.39959028941644	2.4685757716657995e-34	1.7613673845799802e-32	2.2545502522623746e-30
OGN	0	213.38903488979287	2.4805451463630428e-34	1.7561875055607495e-32	2.265481882173367e-30
CGREF1	0	213.16243027012223	2.751961744175323e-34	1.933358969965633e-32	2.5133666609553224e-30
VMA21	0	213.10157827267346	2.829772066163632e-34	1.972847960326141e-32	2.5844308280272448e-30
EPB41L4A	12	177.66831065988313	3.1779888067268347e-34	2.1988311948360744e-32	2.9024571771836182e-30
S100A9	0	212.41022376064953	3.884217473706031e-34	2.667260014087006e-32	3.547455818735718e-30
RDH5	0	212.35712232595836	3.979852165556812e-34	2.712536554330624e-32	3.634798982803036e-30
EPPK1	0	212.3398568464528	4.0114509761450385e-34	2.713820871491306e-32	3.663658176513264e-30
HPGD	0	211.1079293294875	7.05176873890555e-34	4.73557381561944e-32	6.440380389242438e-30
SFN	0	209.65557722967628	1.370766677556767e-33	9.138110997172228e-32	1.2519212066125952e-29
HLA-DRB1	0	208.02495296122075	2.8896348808213886e-33	1.912393867140706e-31	2.639103536654174e-29
REG3A	11	176.16519741082908	3.1995309521009355e-33	2.102252962988334e-31	2.9221316185537844e-29
PRODH	0	207.41526422484776	3.818396112022086e-33	2.4909579779355507e-31	3.4873411691097706e-29
ANGPT2	10	178.6220427961669	4.526808790188589e-33	2.9321521050207364e-31	4.1343344680792386e-29
EIF5A2	0	206.78236771333138	5.099074166222208e-33	3.2795665042329173e-31	4.6569844360107427e-29
ASPN	0	205.4553328075426	9.348674898360264e-33	5.970730618652049e-31	8.538144784672429e-29
BGN	0	205.45242010239178	9.361117758218317e-33	5.937158922625548e-31	8.549508848580789e-29
SERPINE1	0	203.6464880322746	2.1346832118401856e-32	1.344555984395615e-30	1.9496061773736416e-28
EPS8L3	0	201.32740775342492	6.146434992320164e-32	3.844889779784935e-30	5.613539078486005e-28
OAT	0	201.32598688246094	6.150416679414484e-32	3.8212078593940466e-30	5.6171755533092485e-28
GBA3	0	200.9451421218879	7.316139173245495e-32	4.514749937111562e-30	6.681829906925111e-28
RBP1	0	200.74948885705209	7.998354297904412e-32	4.9026154230040935e-30	7.3048969802761e-28
UGT1A1	0	200.39223601176988	9.412166316996372e-32	5.730754331541858e-30	8.596131497312786e-28
TMCO3	0	199.7012302556745	1.2893864626887385e-31	7.798653353467714e-30	1.177596656373625e-27
ACMSD	0	197.763519510565	3.114960098877869e-31	1.8716401699376037e-29	2.8448930583051574e-27
PLIN1	0	196.8169060646544	4.7913423928693675e-31	2.860086932946139e-29	4.3759330074075935e-27
TMEM82	0	196.14125629819662	6.514464166583291e-31	3.863415664506831e-29	5.94966012334052e-27
CAMP	0	195.71876862028282	7.893778053954922e-31	4.651217739791632e-29	7.209387496677031e-27
DCN	0	194.9391339344781	1.1249965704234763e-30	6.586277998511289e-29	1.027459367767761e-26
FXYD2	0	191.9098741348912	4.450535439809352e-30	2.5889643421515167e-28	4.064674017177881e-26
DES	0	191.78916789284656	4.701015469466789e-30	2.717365460926594e-28	4.293437428264018e-26
ERICH5	0	191.22733891438693	6.0653154771263625e-30	3.483932468716671e-28	5.539452625259507e-26
LTBP2	0	190.8234406565225	7.284296859230587e-30	4.15796770095956e-28	6.652748321535295e-26
GNMT	0	190.8027358449364	7.352995425833364e-30	4.171112249946342e-28	6.715490722413611e-26
CHI3L1	0	190.01982850738443	1.0485308624709115e-29	5.911254547498047e-28	9.576232366946835e-26
FMOD	0	188.787388997315	1.8325591276089426e-29	1.0267952461627285e-27	1.6736762512452472e-25
ADAMTS5	10	161.18370159024556	1.845769781111621e-29	1.027891183591002e-27	1.6857415410892435e-25
ZBTB18	0	185.76360163712988	7.199143600294335e-29	3.984835060696252e-27	6.574977850148816e-25
CHD3	0	185.51681821478505	8.04884517068381e-29	4.428319454449111e-27	7.351010294385524e-25
COL2A1	0	183.21326239082035	2.2786575783412707e-28	1.2461664468856781e-26	2.0810979662990826e-24
PCSK9	0	183.21235398676936	2.2795922579179897e-28	1.2392569102122024e-26	2.0819516091565e-24
SLPI	0	182.9580177351164	2.5569362353758485e-28	1.381804653117611e-26	2.3352498637687626e-24
CDH19	0	182.06556266511905	3.8249666433673076e-28	2.0549070796396249e-26	3.493342035387362e-24
ALOX5AP	0	181.07608526768556	5.976448828225736e-28	3.1919828741629037e-26	5.458290714818565e-24
THBS1	0	180.43741391493154	7.9704651877123755e-28	4.2322243348475076e-26	7.279425855937712e-24
HIST1H1A	0	179.25098138776423	1.3603135101182939e-27	7.1813545016823e-26	1.2423743287910377e-23
ERAP2	0	179.16176314182644	1.4160874759738613e-27	7.432831562108779e-26	1.2933126918069275e-23
VIL1	0	178.61427112338714	1.812002040625125e-27	9.456579792588152e-26	1.6549014637029266e-23
PRPH	0	177.45011364200707	3.059879454923263e-27	1.5878340376030773e-25	2.794587906181416e-23
TSPY1;TSPY3;TSPY10;TSPY4;TSPY8;TSPY2	1	174.6326609607927	3.512363309738444e-27	1.8123397801040232e-25	3.207841410784121e-23
UGT1A4	0	176.96772813365453	3.801396958251567e-27	1.950458338186043e-25	3.4718158419711565e-23
UGT2B10	0	176.51174313801226	4.666577700129438e-27	2.3809974377252605e-25	4.261985413528216e-23
COL6A6	0	176.29690200825536	5.139830965458806e-27	2.6078931226408484e-25	4.6942076207535275e-23
PCK1	0	176.16950159175835	5.4428033284034434e-27	2.746360375597163e-25	4.9709122798308646e-23
DUSP9	0	176.01726462561652	5.828314134720845e-27	2.9247248896926087e-25	5.322999299240548e-23
MLK4	10	149.00215997127287	5.97941288790337e-27	2.9841517980995345e-25	5.460997790522147e-23
CKB	0	175.83155630371832	6.3356884791268874e-27	3.144774069557927e-25	5.786384287986586e-23
CPA3	0	175.59733829829057	7.038949785421196e-27	3.474958291364961e-25	6.428672839025178e-23
CYP2C19	0	175.3229453086962	7.962593532417128e-27	3.9098046629874e-25	7.272236673156563e-23
UROC1	0	174.71071311379623	1.0483239591671547e-26	5.119969368488569e-25	9.574342719073625e-23
UGT1A3	0	174.69205079521268	1.0571476007207765e-26	5.13560055179939e-25	9.654929037382852e-23
TUBA1C	0	174.34333265831168	1.2363621182393567e-26	5.97444191845505e-25	1.1291695225880044e-22
CLC	0	174.34179233247303	1.2372175276391719e-26	5.947109305225556e-25	1.1299507679928557e-22
GPM6A	0	174.13580268035997	1.3571028904943316e-26	6.489225496798288e-25	1.239442069888473e-22
CLEC4G	0	173.99454217860512	1.4459544870364431e-26	6.878074130262414e-25	1.3205902330103836e-22
ADH1A	0	173.54777275532976	1.7670369452055324e-26	8.36183855987675e-25	1.6138348420562128e-22
MUSTN1	1	170.83803335369475	1.9476360339830125e-26	9.168948401220028e-25	1.7787759898366854e-22
LGALS4	0	171.68243189707542	4.079358277569315e-26	1.9106040589251567e-24	3.7256779149040554e-22
IFI44L	0	170.91864666692055	5.744325424133726e-26	2.676679800949659e-24	5.246292409861332e-22
KRT1	0	169.14449694959913	1.2712414467916333e-25	5.893526971344156e-24	1.1610248133547986e-21
MBL2	0	168.61148077489503	1.613590611460188e-25	7.442890431548432e-24	1.4736923054465895e-21
S100A10	0	168.04412582034988	2.0796437635623896e-25	9.544415322922263e-24	1.8993386492615305e-21
HOGA1	0	167.75403139806528	2.367643739614579e-25	1.0811845136949975e-23	2.162369027389995e-21
DENND1B	0	167.55491552475195	2.588045742558786e-25	1.1759513316810642e-23	2.363662176678939e-21
EPX	0	167.2764980493905	2.9309866738706566e-25	1.3251832323000352e-23	2.676870129246071e-21
CYP2C9	0	166.96653920713752	3.3663994420690637e-25	1.514548083961417e-23	3.074532610441676e-21
CYP7A1	0	166.86457326560208	3.523308616864096e-25	1.577371450873519e-23	3.217837759781979e-21
GPC3	0	166.81339963736048	3.604787473842835e-25	1.6059767804198347e-23	3.292252399860661e-21
GDAP1	0	165.6663563458963	6.016456685652022e-25	2.6673931509737823e-23	5.494829891005992e-21
PRELP	0	165.39246220221685	6.798824223614343e-25	2.999693798756995e-23	6.209366163426979e-21
SACS	0	165.22000216042036	7.342754175040863e-25	3.224104513492702e-23	6.7061373880648205e-21
ZC3HAV1L	1	162.64371983910868	7.758617910251804e-25	3.390404659058838e-23	7.085945737432973e-21
HAO2	0	164.97626902364365	8.186359752535419e-25	3.560286839043142e-23	7.476602361990598e-21
IGHV1-24	10	138.07109433103918	1.0467593808652691e-24	4.530831007318722e-23	9.560053425442503e-21
BBOX1	0	163.8180527009906	1.3722145977841814e-24	5.911526378095722e-23	1.253243592156293e-20
SLC10A1	0	163.41282851897057	1.6438564432370555e-24	7.048516852621609e-23	1.5013340896084027e-20
S100A6	0	163.17456872020185	1.8279927566249008e-24	7.80142890011926e-23	1.669505784625522e-20
CXCL12	0	162.65606154973955	2.3029976250267268e-24	9.782919678776324e-23	2.1033277309369096e-20
CYP4V2	0	162.39948267486963	2.5817919499265372e-24	1.0916437906795863e-22	2.3579505878679066e-20
PVRL1	10	135.90913257355317	2.8993868961094408e-24	1.220281130053803e-22	2.6480100522167522e-20
PKIB	11	132.74858553949943	3.2249356798066674e-24	1.351070530443775e-22	2.9453337563674295e-20
COX17	0	161.8775784794167	3.2571608036335024e-24	1.3583401652778436e-22	2.974764961958478e-20
SULT1A1	0	160.18571050312295	6.913760562401012e-24	2.8701534189276567e-22	6.314337521640844e-20
COL14A1	0	160.12211645056001	7.112016160897045e-24	2.9390969953607563e-22	6.495404359747272e-20
HEPACAM	0	159.74751020349544	8.400546424379604e-24	3.455954526750402e-22	7.672219049385893e-20
GOLM1	0	159.68179509363367	8.649503395490375e-24	3.542417691076843e-22	7.899591451101359e-20
MKI67	0	159.33550183958192	1.0088309777641448e-23	4.113238089249971e-22	9.213653319919935e-20
SORT1	0	159.06513347375267	1.137578286050474e-23	4.617556660666214e-22	1.038950248649898e-19
CALML3	10	132.57829410416386	1.39041605720634e-23	5.618880464807745e-22	1.2698669850465503e-19
KDELR1	0	158.22693130231502	1.6505473295808313e-23	6.640726326458913e-22	1.5074448761061733e-19
OSTC	0	157.16017660565066	2.649699770238459e-23	1.0613907018240284e-21	2.4199708001587845e-19
CYP2C8	0	156.82319222978057	3.076797582091255e-23	1.2270913675650408e-21	2.8100392317239435e-19
AGXT2	0	156.70846648685009	3.2373584750683174e-23	1.2855128240347367e-21	2.9566794952798943e-19
ELANE	0	156.48518674473746	3.5742114784684863e-23	1.4131287200369127e-21	3.2643273432852686e-19
HKDC1	0	156.40756557070915	3.699332175110919e-23	1.4562931360037942e-21	3.3786000755288025e-19
GGT5	0	156.3783718763253	3.747513909815632e-23	1.4689289501436122e-21	3.4226044538346167e-19
MCM4	0	156.04184649661664	4.3502720283984835e-23	1.6979074545027074e-21	3.973103443536335e-19
TRIQK	0	155.62955946975143	5.2221319205225423e-23	2.029520460856697e-21	4.769373083013238e-19
IYD	0	155.1403574130231	6.485516178282256e-23	2.5098397989937222e-21	5.923221925625185e-19
IGF2BP2	0	155.1327642916798	6.507359004488852e-23	2.5076670796623075e-21	5.943170978799668e-19
OLFML1	0	154.79898981884048	7.543681846007538e-23	2.8948086680498677e-21	6.889644629958685e-19
ETNPPL	0	154.2761495842341	9.507805787798167e-23	3.633254822592496e-21	8.683479025996066e-19
CYP2B6	0	153.89579740229058	1.1250239408584538e-22	4.281184854941774e-21	1.027484365186026e-18
CYP2E1	0	153.7514405104215	1.1992028872303887e-22	4.544531107500058e-21	1.095231996907514e-18
UNC5CL	10	127.74422412675932	1.346935387735574e-22	5.083289626524379e-21	1.2301560896188997e-18
STEAP4	0	152.97949065875335	1.6870464439800648e-22	6.340656449740713e-21	1.5407795172869932e-18
GLYAT	0	152.51670705479768	2.0698899595787877e-22	7.747665983947979e-21	1.890430500083307e-18
CTH	0	151.52571446283144	3.2064677039658776e-22	1.1952926342987901e-20	2.928466954032036e-18
RAB3D	0	151.14929220788483	3.786038584684662e-22	1.4056053005660574e-20	3.4577890393925017e-18
KIF23	0	150.80652501261514	4.404242880258786e-22	1.6285000091256475e-20	4.0223950225403495e-18
STMN1	0	149.77371722317284	6.945040290311805e-22	2.557623103686198e-20	6.342905297141772e-18
GCHFR	0	148.91933579072247	1.0119754742904176e-21	3.711795986624251e-20	9.242372006694384e-18
CDCP1	10	122.83214231841208	1.3458496515555005e-21	4.9166579470625546e-20	1.2291644867656386e-17
LGALS3	0	147.77271591870402	1.6764555274275277e-21	6.100027223902633e-20	1.531106833199561e-17
SGCD	0	146.7231993856021	2.6598011099045697e-21	9.639668070142236e-20	2.4291963536758436e-17
MCM3	0	146.68521752685098	2.7045814396337828e-21	9.763218295721477e-20	2.4700942288175337e-17
LUM	0	146.6382234585837	2.7610297239496787e-21	9.927749790878904e-20	2.5216484468832417e-17
CCDC37	10	121.26909146467563	2.796001614880872e-21	1.0014071666159609e-19	2.5535882748707003e-17
HRSP12	0	146.37716523762887	3.096700354844993e-21	1.1047720445624735e-19	2.828216434079932e-17
ACSM3	0	145.8155980856973	3.9631861558692775e-21	1.4083960763250626e-19	3.619577916155411e-17
SMIM24	0	145.76195606258165	4.0576658050638436e-21	1.4363822402189178e-19	3.705866179764808e-17
SLC39A1	0	145.69008377690025	4.187786732880441e-21	1.4767203178145584e-19	3.824705623139706e-17
HSD17B13	0	145.44764142736287	4.6582099542805845e-21	1.6362858274017146e-19	4.254343151244458e-17
GPT	0	145.38401228266477	4.790177344556313e-21	1.6761950071966592e-19	4.3748689687832805e-17
FABP4	0	145.1197972090216	5.379268620648478e-21	1.8751473401672726e-19	4.9128860312382544e-17
FGL1	0	145.0967652811654	5.4339243897986e-21	1.8869973936133313e-19	4.9628031452030614e-17
BANP	0	144.83382139679986	6.098588633642251e-21	2.1097882572369198e-19	5.569840999105468e-17
FGG	0	144.5271895333409	6.976796219645491e-21	2.4044935801517837e-19	6.371907987402227e-17
MYEF2	0	144.4091022515599	7.347714276175989e-21	2.5228073114404253e-19	6.71066744843153e-17
CYP3A7	0	143.80468525591888	9.577607645716973e-21	3.276115753870154e-19	8.747229062833311e-17
TSPYL1	1	141.35021964147234	1.0070962082551848e-20	3.432018533580076e-19	9.197809669994604e-17
LIPC	0	143.52295945241843	1.0836422335829779e-20	3.679146661454772e-19	9.896904519313337e-17
IFI44	0	143.45099353795695	1.1183632986625172e-20	3.782967409883248e-19	1.0214012006684769e-16
ACSM2A	0	142.9982150105347	1.3637556193576634e-20	4.596007406492081e-19	1.245518007159354e-16
F13A1	0	142.61685415533606	1.611653235336313e-20	5.41148124938476e-19	1.4719228998326546e-16
GPT2	0	141.73240276863484	2.3735066241637414e-20	7.940379486625439e-19	2.167723599848745e-16
TSPAN3	10	116.37722506139843	2.7447846639196874e-20	9.14894829765639e-19	2.5068118335578505e-16
BPI	0	141.19074235506085	3.0080019152134884e-20	9.98984781514356e-19	2.747208149164479e-16
HK2	0	140.8383035214968	3.509082162649124e-20	1.161175630125886e-18	3.204844739147445e-16
SNAP25	10	115.78160411305504	3.623187026577537e-20	1.1946053109650774e-18	3.3090567113732643e-16
NAGS	0	140.43673179753128	4.1822373443722316e-20	1.3739702757608486e-18	3.819637366615159e-16
