	T137	T145	N123	T131	N145	N127	T127	N131	N135	N137	T113	T112	T125	N112	N125	T141	N113	T123	T135	N141
T137	1.0	0.2425839109564756	0.03753844248088108	0.0880427982931542	0.11839749111032447	0.015581333174533618	0.14205572349810616	0.10851580294920397	0.1423695188573963	0.17661533377470645	0.14455329249991844	0.10301396369826393	0.05511955794565992	0.005733871659712912	0.05752548452132639	0.3626552228605067	0.040682548365868584	0.13515166545983165	0.25851034899565783	-0.0033635802205112036
T145	0.2425839109564756	1.0	0.06023343803934493	-0.02777389151351332	0.19369581247411102	-0.03746094632394456	0.17781056503349776	0.15453762078836758	0.1616171416964193	0.19339853524515518	0.260757043328506	0.0945824218169767	0.15814801401215764	-0.028936959010742967	0.09352267582130293	0.27885745258351646	0.010007911959532058	0.11632053004391538	0.34854483096320654	0.02875830236929054
N123	0.03753844248088108	0.06023343803934493	1.0	-0.20491855168104928	0.5240201702348908	0.5187611290129607	0.01488378673674479	0.4388379254944061	0.5111088044719176	0.5396171916985932	0.13630184815693233	0.09274955075389346	0.043866657043844515	0.6388263114052686	0.6221834234490284	0.016802597921508282	0.634445506370991	-0.08003127162162701	-0.07212397320529454	0.5257262625846268
T131	0.0880427982931542	-0.02777389151351332	-0.20491855168104928	1.0	-0.1991957400784734	-0.24505392620310576	0.26159375470801577	-0.21842740062938978	-0.23371574185767438	-0.29136239410379866	0.15357367145072004	0.3200945729839642	0.2688704483356395	-0.30644662235471976	-0.26035076658195194	0.1477813057615897	-0.2561239916366859	0.40124456159526184	0.3503280945170799	-0.2418143811231738
N145	0.11839749111032447	0.19369581247411102	0.5240201702348908	-0.1991957400784734	1.0	0.38720104748776824	-0.11082116527816609	0.5966008973480126	0.6613270021860551	0.7735364560234664	-0.07017633579015722	-0.1020912561303923	-0.13426556382470603	0.5350196601105082	0.6509007508846564	0.1567623848033982	0.502035666307643	-0.2873646350233459	-0.10175292458348208	0.5813900735929559
N127	0.015581333174533618	-0.03746094632394456	0.5187611290129607	-0.24505392620310576	0.38720104748776824	1.0	0.1854551298734337	0.674757651431378	0.5892012158571226	0.5274684836633801	0.15253014187001945	0.1565810716016226	-0.1898229146606354	0.7583026915876722	0.4687846784809999	-0.16869469497794604	0.7739679716827523	-0.04462847463143907	-0.26692484290966845	0.5574007875573714
T127	0.14205572349810616	0.17781056503349776	0.01488378673674479	0.26159375470801577	-0.11082116527816609	0.1854551298734337	1.0	0.05992786369788411	-0.04431683266169589	-0.1130075826196564	0.39520853087269103	0.563785946342231	0.16258670583977897	0.025577609544018422	-0.002372926794512886	0.09206167293180362	0.12451191607022301	0.5644773089910153	0.22709212512863577	-0.15537667951720704
N131	0.10851580294920397	0.15453762078836758	0.4388379254944061	-0.21842740062938978	0.5966008973480126	0.674757651431378	0.05992786369788411	1.0	0.8158568374098614	0.7488569293666913	0.07994875869910016	0.08077837603524704	-0.22983208660122442	0.6539526803294937	0.44935807175689557	-0.05279495263664897	0.6710817531841968	-0.11729181318472348	-0.1470379973541669	0.6252678161258266
N135	0.1423695188573963	0.1616171416964193	0.5111088044719176	-0.23371574185767438	0.6613270021860551	0.5892012158571226	-0.04431683266169589	0.8158568374098614	1.0	0.7891066570666967	0.05586846718018702	-0.03136456684549406	-0.18104853734824955	0.6579892936326524	0.569828125622779	0.02657380207654659	0.6457849071441529	-0.1725611849730373	-0.1295223868282749	0.6319157893379673
N137	0.17661533377470645	0.19339853524515518	0.5396171916985932	-0.29136239410379866	0.7735364560234664	0.5274684836633801	-0.1130075826196564	0.7488569293666913	0.7891066570666967	1.0	-0.030798439898747105	-0.08585466248458706	-0.17179640550979744	0.6194121567994239	0.6471780155785103	0.07829806441687324	0.6238167828756578	-0.275684717626064	-0.15735456411185697	0.6496404174673861
