Gene	ConditionA_rep3	ConditionB_rep3	ConditionC_rep3	ConditionD_rep3	A-value	Observed Variance	M-value of ConditionA_rep3	z-score of ConditionA_rep3	M-value of ConditionB_rep3	z-score of ConditionB_rep3	M-value of ConditionC_rep3	z-score of ConditionC_rep3	M-value of ConditionD_rep3	z-score of ConditionD_rep3	Estimated Variance	z-transformed of ConditionA_rep3	z-transformed of ConditionB_rep3	z-transformed of ConditionC_rep3	z-transformed of ConditionD_rep3	Chi^2-statistic of rep3	pvalue of rep3	BH-corrected P-value of rep3
LYZ	17.670900152943524	17.50128078592275	19.848127981443632	19.269341570347432	18.572412622664334	1.3577359264958602	-0.9015124697208101	-0.7736848332310354	-1.0711318367415856	-0.919253459394203	1.2757153587792978	1.0948285883534108	0.696928947683098	0.5981097042718276	0.025358115890321033	-5.6612619069141354	-6.726427052646382	8.011157923261086	4.376531036299431	160.6273824563712	1.341948542161683e-34	5.146641048898487e-32
DGUOK	13.765201154735466	11.849920651306329	14.757789368838909	14.030456451766172	13.600841906661719	1.5386117641620694	0.16435924807374747	0.1325041929876833	-1.7509212553553901	-1.411568929919585	1.1569474621771896	0.9327153269534998	0.42961454510445307	0.34634940997840186	0.028770597537339918	0.968990914047249	-10.32267309284784	6.820860961694707	2.5328212171058846	160.4358507499035	1.4759462201875281e-34	5.442835522753084e-32
CHI3L1	13.202892946818887	13.108182807195961	13.84493159193369	15.710856695296622	13.96671601031129	1.4591210355850197	-0.7638230634924028	-0.6323348362571309	-0.8585332031153285	-0.7107411105538594	-0.12178441837759912	-0.10081985466812893	1.7441406849853323	1.4438958014791206	0.02811213701241821	-4.555602653770708	-5.120474001635535	-0.7263480851340265	10.40242474054028	155.7107915638505	1.544163807903186e-33	5.483497255620647e-31
SIRT1	14.302445956985586	14.80044739513083	12.520953527990562	12.504323012276727	13.532042473095927	1.42696023976416	0.770403483889659	0.644929588041978	1.268404922034902	1.0618226435169513	-1.0110889451053655	-0.8464151454096952	-1.0277194608192008	-0.8603370861492384	0.028909679365357138	4.531026483275903	7.459956261154171	-5.94658627981498	-6.044396464615126	148.07776541521653	6.845584180858891e-32	2.3441236116455374e-29
FAM120C	13.467467575793789	11.066313160811271	13.806072117703009	12.549608724605312	12.722365394728346	1.5006504633942317	0.7451021810654428	0.6082415179616747	-1.656052233917075	-1.3518679050720346	1.0837067229746626	0.884651043786821	-0.17275667012303408	-0.14102465667646394	0.031003197175624005	4.231677803815096	-9.40525965204467	6.154723207090294	-0.9811413588607403	145.2092622796437	2.8451624981327563e-31	9.406695873136851e-29
LXN	14.412134666911397	16.811816292744783	14.611747758962265	15.885774967492962	15.430368421527852	1.2742443704057689	-1.018233754616455	-0.9020303040910039	1.3814478712169311	1.2237934931051841	-0.8186206625655874	-0.7251975706377578	0.45540654596510954	0.403434381623576	0.02646825742620001	-6.258709800224673	8.49125389026383	-5.031761263302024	2.799217173262857	144.42707918630546	4.19564758808065e-31	1.3409289691505757e-28
THBS1	18.094394073532214	18.19928398060949	16.36798787987912	16.14730940515192	17.202243834793187	1.199630250001209	0.8921502387390277	0.8145435176801116	0.9970401458163032	0.9103092196549516	-0.8342559549140667	-0.7616853649243525	-1.0549344296412677	-0.9631673724107139	0.025630373265956158	5.572634130328456	6.227807497688601	-5.211009318738539	-6.58943230927854	140.41507365731172	3.075825168970394e-30	9.513229587125205e-28
TFRC	19.423788672832057	21.149113445947197	18.73416213629898	20.502959708239242	19.95250599082937	1.1662574822920497	-0.5287173179973124	-0.4895829832177224	1.196607455117828	1.1080375612363262	-1.2183438545303886	-1.1281650866768063	0.5504537174098729	0.5097105086582026	0.025227958218409792	-3.3287600014396013	7.53374042883329	-7.67059098106017	3.4656105536664805	138.68631050462747	7.256137046246688e-30	2.174120062481664e-27
PNMT	11.033503366110986	11.89620752468462	11.22564584648708	13.75803116422352	11.978346975376551	1.5444370455977756	-0.9448436092655648	-0.760282203591583	-0.08213945069193151	-0.06609470812043293	-0.7527011288894716	-0.6056719517453121	1.7796841888469679	1.432048863457328	0.03393087933825683	-5.129350454517527	-0.4459172127628362	-4.086250718874156	9.661518386154519	136.55146070939873	2.093926918097108e-29	6.08380948203487e-27
HPGDS	13.712199789088663	13.407408619634662	15.828129868792308	14.909609738935139	14.464337004112693	1.2470022620889119	-0.75213721502403	-0.6735400999566651	-1.0569283844780308	-0.9464810881690325	1.3637928646796151	1.221278729529621	0.44527273482244567	0.3987424585960767	0.027402490438762975	-4.543620603597246	-6.384847722350376	8.238599600206243	2.6898687257413787	136.5206857612762	2.1261601407193228e-29	5.9957715968284906e-27
NCR1	11.644214606532957	11.020090891001026	8.672734487061607	8.845436405238434	10.045619097458506	2.276784508737414	1.5985955090744515	1.0594430703663864	0.97447179354252	0.6458152691382575	-1.3728846103968984	-0.9098568578738012	-1.2001826922200713	-0.7954014816308415	0.050261175422582904	7.130537498503878	4.34663279462876	-6.123753720052549	-5.3534165730800805	135.89721029769805	2.897358745970857e-29	7.937107330391023e-27
C12orf56	11.427069275637024	10.851895663851337	13.393355516247013	12.992432395119227	12.16618821271365	1.4874269156535604	-0.7391189370766256	-0.6060333325835475	-1.314292548862312	-1.077641301584155	1.2271673035333635	1.0062038100923252	0.8262441824055777	0.6774708240753805	0.03307688092838105	-4.063984609732656	-7.226529349103937	6.747478362348715	4.543035596487899	134.9063340229247	4.7380778190248575e-29	1.2619080591336203e-26
CD36	15.094774554901683	17.158950570073458	14.952819172895012	14.912911571165345	15.529863967258875	1.1856123033210884	-0.43508941235719156	-0.399583150198648	1.6290866028145832	1.496142030145876	-0.5770447943638626	-0.529954005289258	-0.616952396093529	-0.56660487465797	0.026396984715797663	-2.677943159240415	10.02690757327828	-3.5516680382315804	-3.797296375806283	134.74406066669516	5.13548942748882e-29	1.330785746777373e-26
BPI	14.304829506342664	14.462738271589954	16.25196562434923	16.255590341832136	15.318780936028496	1.1697840234731378	-1.0139514296858323	-0.9374849600119047	-0.8560426644385419	-0.7914847788008048	0.9331846883207326	0.8628091884885951	0.9368094058036398	0.8661605503241128	0.02655290207188311	-6.222446267223214	-5.253387219513922	5.726794608170112	5.749038878567012	132.16453933807367	1.8474894766725978e-28	4.6615076585097024e-26
CA1	9.998157049734198	12.626043342954466	9.55395927600233	10.125904538522969	10.57601605180349	1.9279111160283569	-0.5778590020692924	-0.41617729156447475	2.0500272911509754	1.4764411432707312	-1.0220567758011612	-0.7360910174538413	-0.4501115132805218	-0.324172834252415	0.043975882002029176	-2.755590024662843	9.775801248320484	-4.873800435662384	-2.146410787995257	131.52057638817095	2.5431493432525894e-28	6.252234846950212e-26
CD9	12.899557663120865	13.156202918465382	11.406691976683035	10.606987555276302	12.017360028386395	1.4791005924308038	0.8821976347344691	0.7253824325513804	1.1388428900789869	0.9364076635140661	-0.6106680517033602	-0.5021186402968804	-1.410372473110094	-1.1596714557685646	0.03374628515127389	4.802339986162457	6.1994166994443045	-3.3242387958222737	-7.677517889784478	131.49008127565435	2.581928360443555e-28	6.188882279983201e-26
PRTN3	17.360602522536233	16.842636524619678	19.232357491088102	18.282397039541177	17.9294983944463	1.1089635055238096	-0.5688958719100654	-0.54022434950653	-1.0868618698266204	-1.0320856164049599	1.3028590966418037	1.2371968979469947	0.35289864509487856	0.3351130679644918	0.02546115331949717	-3.5652808489932823	-6.811383244852335	8.16504182144607	2.2116222723995245	130.66535026219037	3.8876428341067545e-28	9.09139499839404e-26
HLA-DRB3	13.473904870494556	11.498592539002953	11.253168403063448	10.622384230268988	11.712012510707485	1.5158801588164745	1.7618923597870708	1.4310240677485058	-0.21341997170453197	-0.1733415292658967	-0.4588441076440368	-0.3726771148849051	-1.0896282804384967	-0.8850054235976995	0.03530098207717845	9.377476370189568	-1.135904092249791	-2.442146793549112	-5.799425484390635	128.82475809049527	9.690177770578634e-28	2.212129153912094e-25
AZU1	14.980289068644597	15.016911434974977	16.299884878706965	17.124743585071194	15.855457241849434	1.0925607157031543	-0.8751681732048375	-0.8372761589747464	-0.8385458068744569	-0.8022394252903162	0.4444276368575313	0.4251853256587786	1.2692863432217596	1.2143302586062805	0.026188890278046953	-5.407953733577772	-5.181652013756798	2.7462654283319035	7.843340319002644	125.15544233873118	5.983224739688986e-27	1.334119972189256e-24
HPGD	17.338303701138063	16.647218413503715	19.05952887884124	18.020694536527156	17.766436382502544	1.0575606226525476	-0.428132681364481	-0.4163185333340101	-1.1192179689988286	-1.0883336022133405	1.2930924963386943	1.2574101323571627	0.2542581540246118	0.24724200319018444	0.02549351472267871	-2.6814118449594426	-7.009706219110156	8.098689231712566	1.5924288323570106	124.4505476184994	8.487777640325403e-27	1.8495639094418173e-24
VIM	19.585936404368	18.26168408740091	20.668916958386475	19.13518685730013	19.412931076863877	1.003314286725843	0.17300532750412145	0.17271934355249677	-1.1512469894629689	-1.149343937296354	1.255985881522598	1.2539096922470159	-0.27774421956374695	-0.27728509850315497	0.025267688548805282	1.0883703936412485	-7.242454074544407	7.901362738370213	-1.747279057467033	119.12220836360778	1.1925552300837975e-25	2.5409376768985448e-23
EIF1AY	7.550347760519311	7.808146770977465	9.96144085749076	10.916292278949795	9.059056916984334	2.7015331593344034	-1.5087091564650228	-0.9179105782989937	-1.250910146006869	-0.7610636222368972	0.9023839405064269	0.5490175234428506	1.8572353619654614	1.129956677093038	0.06804847206233894	-5.78357453736432	-4.795312627337221	3.459251744363921	7.119635420337606	119.10038877255934	1.2055283794808427e-25	2.5127404570570262e-23
COL6A1	14.282922484385198	12.627585593653313	15.150652911520408	13.739365110367906	13.950131524981707	1.1151838813999826	0.332790959403491	0.31513618843811675	-1.3225459313283938	-1.252384032848211	1.2005213865387017	1.1368329673690072	-0.21076641461380063	-0.19958512295891465	0.02813924316594276	1.9838796085089	-7.884144176217333	7.156714541170247	-1.2564499734618244	118.892737252049	1.336274498657127e-25	2.725999977260539e-23
ACSM1	14.42208485283419	12.087204904157797	14.24904006246071	13.519698617348627	13.56950710920033	1.1294515188136913	0.8525777436338604	0.8022323934004196	-1.482302205042533	-1.3947711567341496	0.6795329532603791	0.6394060266750774	-0.049808491851702996	-0.04686726334134398	0.028833299589733227	5.020960664882303	-8.729504283404184	4.001873441205981	-0.2933298226840778	117.51532445657303	2.645504010219153e-25	5.284394260412758e-23
SEC14L2	11.684925030407221	13.94758756175561	11.507848971836953	12.564488383073384	12.426212486768293	1.2422003269356507	-0.7412874563610714	-0.6651059479660856	1.5213750749873167	1.365024597109252	-0.9183635149313396	-0.8239840441578414	0.13827589630509074	0.12406539501467169	0.03202945153216884	-4.142017222322344	8.500834201543544	-5.1314472713069526	0.7726302920857326	116.34919745859943	4.716287286442935e-25	9.228522959676502e-23
BET3L	13.556625688026397	11.47136772478817	13.726559505603197	12.160777867554751	12.728832696493129	1.1948681553979061	0.8277929915332685	0.7572891799561566	-1.2574649717049589	-1.150365643326142	0.997726809110068	0.9127495941850704	-0.5680548289383776	-0.519673130815085	0.03098257338513239	4.702870300908223	-7.143929376485886	5.6683009242354645	-3.2272418486578007	115.69744132079948	6.5152034643416755e-25	1.2493554163221599e-22
PRDX2	17.03304599134915	17.93040627288515	16.616578677528295	18.844543305561032	17.60614356183091	0.9821532388626731	-0.5730975704817567	-0.5782810232045983	0.3242627110542422	0.3271955457391235	-0.989564884302613	-0.9985151277832388	1.238399743730124	1.2496006052487099	0.025528240533477187	-3.5868905573315515	2.0294883738513687	-6.193467085173975	7.750869268654134	115.41961588477261	7.477281899154699e-25	1.4057289970410833e-22
CENPJ	12.240800263981454	11.03504375529964	13.725491949445217	11.93012916805868	12.232866284196248	1.2514742989382392	0.00793397978520538	0.007092186084260977	-1.1978225288966087	-1.0707337932339984	1.4926256652489691	1.3342583745712797	-0.3027371161375676	-0.270616767421544	0.032794054103373625	0.04381204602184052	-6.614468045390557	8.242393617035834	-1.6717376176671277	114.48486621934579	1.1884645783045464e-24	2.1913458416892293e-22
ANXA1	19.031042385350673	17.580237810860616	19.892686925353534	18.415814764851014	18.729945471603962	0.9543776152775014	0.30109691374671144	0.3082096141332965	-1.1497076607433456	-1.176866777126412	1.1627414537495717	1.190208462576305	-0.3141307067529482	-0.3215512995832005	0.0253378897898029	1.89156418562461	-7.2227436938453655	7.304625157679171	-1.9734456494584824	112.99807796088675	2.4834095243856036e-24	4.4926283999639935e-22
C2orf65	11.962063498696002	14.415310840571504	12.885418573284188	13.622677311249511	13.2213675559503	1.0950861713873041	-1.2593040572542975	-1.203390157794894	1.193943284621204	1.1409314449531138	-0.3359489826661122	-0.3210326345990395	0.4013097552992111	0.38349134744082464	0.02960655502924964	-7.3187458190396395	6.938886103125887	-1.9524476222677063	2.3323073381814905	110.9638899532978	6.805978964974405e-24	1.2084393762254556e-21
BLVRB	16.580898334573558	18.37091650816064	16.61739423112199	18.136850543181954	17.426514904259534	0.9220715853334435	-0.8456165696859763	-0.8806253130034073	0.9444016039011061	0.9835000730238455	-0.8091206731375422	-0.8426184769580354	0.7103356389224196	0.7397437169376045	0.025570914973532383	-5.288108413734877	5.905865904908572	-5.059879374093137	4.442121882919486	108.17816878526047	2.706321415548864e-23	4.717856314960456e-21
IGSF8	10.828185002113889	12.451394186301274	10.75902251485056	12.937877474528191	11.74411979444848	1.244882552733422	-0.9159347923345909	-0.8209191109565595	0.7072743918527937	0.6339043672336426	-0.9850972795979196	-0.882906938071457	1.1937576800797114	1.069921681794369	0.03512513582295762	-4.887148663370943	3.7738004142954296	-5.256178598703842	6.369526847779326	106.32407735087868	6.781165381912179e-23	1.1610323871745353e-20
GPR110	6.316048907368808	5.634633269748926	8.788485078380926	9.8845699698321	7.65593430633269	4.043479644913237	-1.3398853989638821	-0.6663310081917856	-2.021301036583764	-1.00520205579333	1.1325507720482362	0.563222569893553	2.22863566349941	1.1083104940915625	0.11698978725464762	-3.9173617542726005	-5.90958553672413	3.3111869736206145	6.515760317376116	103.68801601746488	2.50246058002724e-22	4.209402112508978e-20
TPSB2	15.240900846645715	15.654569574407702	17.07845689215223	17.0423501568411	16.254069367511686	0.8956372824047408	-1.013168520865971	-1.070571323313059	-0.599499793103984	-0.6334654833933001	0.8243875246405423	0.871094615556018	0.7882807893294128	0.8329421911503412	0.025979403795615214	-6.285894644764928	-3.7194133664842957	5.114660611365869	4.890647399883355	103.42469243530977	2.8510539687887145e-22	4.713087147025206e-20
KRT5	11.062146288339681	13.031502145179319	10.867785032699262	10.592542001051497	11.38849386681744	1.236885335762987	-0.3263475784777583	-0.29343754072593564	1.6430082783618793	1.477321544237294	-0.520708834118178	-0.4681987236755945	-0.795951865765943	-0.7156852798357639	0.037254636632910405	-1.690792172650592	8.512352227683895	-2.6977691241457573	-4.1237909308875444	99.60252850811598	1.8921580907729502e-21	3.074917249886618e-19
LEPR	12.174403766552029	14.35774745077475	12.333187412423172	12.633957822086364	12.874824112959079	1.013679057648516	-0.70042034640705	-0.6956783952461398	1.4829233378156719	1.472883723633463	-0.5416367005359071	-0.5379697385550437	-0.24086629087271483	-0.23923558983227958	0.030535748993618154	-4.008246895254178	8.486222445121994	-3.0995867473231278	-1.3783888025446878	99.58940825656879	1.904488688388575e-21	3.0433729240449425e-19
CD200R1L	12.641071213228859	12.963030783279642	10.949544696750324	10.998663390838095	11.88807752102423	1.1314751245826082	0.7529936922046279	0.7078949805848028	1.074953262255411	1.010571571304841	-0.9385328242739064	-0.8823217010920584	-0.889414130186136	-0.8361448507975887	0.03437326858875382	4.061448235225126	5.798012752476412	-5.06219709714679	-4.797263890554768	98.75189393127444	2.8829982250852713e-21	4.531506062642226e-19
CD74	16.328983916682834	14.874797504256671	16.421387335820235	14.67807309199074	15.57581046218762	0.8598740182712231	0.7531734544952133	0.8122273169383134	-0.7010129579309492	-0.7559770867666238	0.8455768736326146	0.9118757853674073	-0.8977373701968805	-0.9681260155390988	0.026365346810795137	4.638507474356177	-4.317270909610777	5.207584820041661	-5.528821384787072	97.84138525943676	4.524672286683081e-21	6.997186755599578e-19
DEFA3	9.319715233151676	9.503451344530802	10.849608262643697	11.906516877956966	10.394822929570786	1.4808160514273112	-1.07510769641911	-0.8834895443168659	-0.8913715850399839	-0.7325010118586105	0.4547853330729108	0.3737282209185738	1.5116939483861795	1.2422623352568998	0.04592318610145075	-5.016906015375876	-4.159515815780124	2.122220202494731	7.054201628661253	96.73649699452349	7.81796370504721e-21	1.1898196191109945e-18
MYLPF	8.491395133357397	10.482141736946911	8.34814302163401	10.99105839649336	9.578184572107919	1.835821499856407	-1.0867894387505217	-0.8021030791053719	0.9039571648389924	0.6671640332927093	-1.2300415504739082	-0.9078300541795671	1.412873824385441	1.0427690999922323	0.05751531941762866	-4.531621632828563	3.7692598927390772	-5.128944670104684	5.891306410194185	95.75647940992157	1.269799778747362e-20	1.9023187935358917e-18
