,x
TB65,1
TN33-1,2
TB120,2
TB113-1,2
TB76,3
TB93-1,1
TB46,1
TB72,3
TB36,2
TN15,1
TB130,1
TB96-1,2
TN34-1,2
TB117,1
TB52,1
TB151,3
TB153,1
TB86-1,2
TN9,1
TB104-1,2
TB90-1,2
TB81,3
TN31,2
TB147,1
TB125,1
TB121,1
TB161,1
TB37,3
TB23,1
TB91-1,2
TB88-1,1
TB33,1
TB115-1,1
TB143,2
TB89-1,3
TN27,1
TB126,1
TB100-1,1
TB101-1,2
TB3,1
TB144,1
TB49,3
TB103-1,2
TB59,2
TB152,1
TB145,2
TB133,2
TB158,1
TB149,1
TB61,2
TB77,3
TB160,3
TB114-1,1
TB124,3
TN12,1
TN35-1,2
TB140-1,2
TN10,2
TB108-1,1
TB42,2
TB48,1
TN26,2
TB141-1,1
TB84,1
TB17,1
TB51,2
TN24,1
TB75,3
TB137-1,1
TB107-1,2
TB134,1
TB110-1,2
TB62,2
TN28,1
TB45,1
TB82,1
TN21,2
TB60,3
TN17,1
TB80,3
TB53,2
TB162,1
TB156,2
TB78,2
TB109-1,1
TB155,1
TB111-1,2
TB98-1,2
TB71,2
TB2,2
TB12,2
TB28,1
TB69,1
TB8,2
TN32,2
TB1,3
TB92-1,2
TB135,1
TB64,1
TB159,1
TB31,2
TB116,1
TB85-1,2
TB38,2
TB43,1
TB119,1
TB99-1,1
TB94-1,1
TB32,1
TB55,1
TB40,2
TB6,1
TB26,3
TB27,3
TB138-1,2
TB87-1,2
TB106-1,1
TB4,3
TB39,2
TB50,2
TB146,1
TB105-1,1
TB154,2
TB74,2
TB123,2
TB58,3
TB63,2
TB97-1,2
TN7,2
TB41,1
TB95-1,1
TB118,1
TB150,3
TB47,1
TB102-1,1
TB24,3
