,0
0,A1BG
1,A2M
2,AAAS
3,AAK1
4,AAR2
5,ABCB10
6,ABCB6
7,ABCB7
8,ABCC10
9,ABCC9
10,ABHD17C
11,ABHD4
12,ABT1
13,ACAP1
14,ACOT8
15,ACP1
16,ACSL1
17,ACSL5
18,ACTR6
19,ADAM17
20,ADARB1
21,ADD2
22,ADIPOR1
23,GRK2
24,ADSL
25,ADSS2
26,AFM
27,AGL
28,AGO2
29,AGPAT2
30,AGPAT3
31,GPAT4
32,GPAT3
33,AGT
34,AGTRAP
35,AHCTF1
36,AHSG
37,AHSP
38,AIFM2
39,AK1
40,AK2
41,AKAP10
42,AKAP9
43,AKNA
44,AKT1S1
45,AKTIP
46,ALAD
47,ALB
48,ALDH1B1
49,ALDH1L2
50,ALG2
51,ALOX12
52,ALOX15
53,ALOX5
54,ALOX5AP
55,ALPL
56,AMACR
57,AMBP
58,AMOTL2
59,AMPD3
60,ANAPC5
61,ANK1
62,ANK3
63,ANKFY1
64,ANKHD1
65,ANKRD13A
66,ANKRD44
67,ANO10
68,ANXA3
69,ANXA9
70,AOX1
71,AP1G2
72,AP1S2
73,AP2M1
74,AP2S1
75,AP3B1
76,AP3B2
77,AP3M1
78,AP5M1
79,APAF1
80,APBB1
81,APC
82,APEH
83,APEX2
84,APMAP
85,APOA1
86,APOA2
87,APOA4
88,APOB
89,APOBR
90,APOC1
91,APOC2
92,APOC3
93,APOC4
94,APOD
95,APOE
96,APOM
97,AQP1
98,ARAP1
99,ARF6
100,ARFGEF2
101,ARFGEF3
102,ARG1
103,ARHGAP15
104,ARHGAP27
105,ARHGAP30
106,ARHGAP32
107,ARHGAP35
108,ARHGAP4
109,ARHGAP5
110,ARHGAP9
111,ARHGDIA
112,ARHGDIB
113,ARHGEF12
114,ARHGEF3
115,ARHGEF6
116,ARID4A
117,ARL14EP
118,ARL6
119,ARL6IP4
120,ARL8A
121,ARMC9
122,ARPC2
123,ARRB2
124,ARSD
125,ASAP1
126,ASB9
127,ASCC2
128,ASCC3
129,GET3
130,ATF7IP
131,ATG14
132,ATG2B
133,ATG3
134,ATG4A
135,ATG4C
136,ATG7
137,ATIC
138,ATP11C
139,ATP2A3
140,ATP6AP1
141,ATP6AP2
142,ATP6V0A1
143,ATP6V0A2
144,ATP7A
145,ATP8A1
146,ATRN
147,AVEN
148,AZGP1
149,B4GALT1
150,BAX
151,BAZ1A
152,BAZ1B
153,BAZ2A
154,BBS1
155,BBS7
156,BCAS3
157,BCHE
158,BCKDHA
159,BCL2L1
160,BCL2L13
161,BCL3
162,BEND3
163,BIN2
164,BIRC2
165,BIRC6
166,BLMH
167,BLOC1S6
168,BLVRB
169,BMP1
170,BMP2K
171,BNIP3L
172,BOLA1
173,BOP1
174,BPGM
175,BPI
176,BRAT1
177,BRD9
178,BTAF1
179,BTBD2
180,BTK
181,BTN2A1
182,BORCS7
183,ARMH3
184,MYG1
185,C12orf4
186,C17orf75
187,C19orf25
188,C1QA
189,C1R
190,C1RL
191,C1S
192,C1orf174
193,C1orf50
194,C1orf52
195,C2
196,C20orf27
197,C2CD2
198,C2orf49
199,C3
200,C4A
201,C4B
202,C4BPA
203,C4BPB
204,C5
205,C5AR1
206,C6
207,MTRES1
208,C7
209,C7orf26
210,TRAPPC14
211,C8A
212,C8B
213,C8G
214,C9
215,C9orf40
216,CARNMT1
217,CA1
218,CA12
219,CA2
220,CA3
221,CA8
222,CACTIN
223,CAD
224,CADM4
225,CALCOCO1
226,CALCOCO2
227,CALML5
228,CAND2
229,CAPN7
230,CARD6
231,CAT
232,CBL
233,VPS50
234,CCDC168
235,CCDC80
236,CCDC88B
237,CCDC92
238,CCNK
239,CCNY
240,CCS
241,CCZ1
242,CD177
243,CD209
244,CD3D
245,POLR1G
246,CD47
247,CD5
248,CDA
249,CDC16
250,CDC42BPA
251,CDH6
252,CDK5RAP1
253,CDK9
254,CDKAL1
255,CEACAM1
256,CEACAM5
257,ADA2
258,CEL
259,CEP250
260,CEP85
261,CFAP36
262,CFB
263,CFHR5
264,CFI
265,CHAC2
266,CHD1
267,CHD2
268,CHI3L1
269,CHML
270,CHMP2A
271,CHP1
272,UTP4
273,CLCN3
274,CLDND1
275,CLNS1A
276,CLSTN1
277,CLU
278,CMIP
279,CMPK1
280,CNDP1
281,CNNM4
282,CNOT1
283,CNOT10
284,CNOT8
285,CNST
286,COMMD2
287,COPS2
288,COPS4
289,COPS7A
290,COPS7B
291,CORO7
292,CP
293,CPB2
294,CPN1
295,CPN2
296,CPPED1
297,CRADD
298,CREB1
299,CRISP3
300,CRP
301,CRTC1
302,CSF1
303,CSF2RA
304,CSNK1G1
305,CSNK2A1
306,CSNK2A2
307,CTDSP1
308,CTPS2
309,CTSG
310,CTSL
311,CUL1
312,CUTA
313,CXCL6
314,CYB5R4
315,CYHR1
316,CYP2U1
317,CYP4F3
318,CYP4V2
319,CYTH1
320,CYTH3
321,DAAM1
322,DAAM2
323,DAB2
324,DAGLB
325,DAP3
326,DAPK2
327,DCAF11
328,DCAF16
329,DCAKD
330,DCD
331,DDB1
332,DDI2
333,DDX28
334,DDX59
335,DEF6
336,DENND3
337,DENND4C
338,DENND6A
339,DERA
340,ESS2
341,DGKQ
342,DGUOK
343,DHRS11
344,DHX30
345,DHX40
346,DHX57
347,DHX8
348,DIAPH2
349,DICER1
350,DIP2A
351,DIP2C
352,DIS3
353,DIS3L
354,DLG5
355,DMTN
356,DMXL1
357,DMXL2
358,DNAH17
359,DNAJA4
360,DNAJC13
361,DNAJC16
362,DNAJC2
363,DNAJC25
364,DNASE1L1
365,DNTTIP2
366,DOCK10
367,DOCK2
368,DOCK4
369,DOCK5
370,DOCK8
371,DOCK9
372,DOHH
373,DOK3
374,DOP1B
375,DPCD
376,DPH2
377,DPP3
378,DPP7
379,DPY19L3
380,VPS26C
381,DSG2
382,DSTYK
383,DUS2
384,DUSP12
385,DYNC1LI1
386,DYNC2H1
387,DYNC2LI1
388,DYSF
389,EARS2
390,ECHDC2
391,ECI2
392,EDARADD
393,EDEM3
394,EFL1
395,EGFL7
396,EHD1
397,EIF1AD
398,EIF2B4
399,EIF4G2
400,ELANE
401,ELMO1
402,ELMO3
403,ELOVL1
404,EMC1
405,EMC7
406,EML3
407,ENDOD1
408,ENDOU
409,ENPP2
410,ENTPD4
411,EPB41
412,EPB42
413,EPG5
414,EPM2AIP1
415,EPS15
416,ERAL1
417,ERBB2
418,ERCC6
419,ERCC6L
420,ERGIC2
421,ESF1
422,ESRRA
423,ESYT1
424,EVI2B
425,EVI5
426,EVI5L
427,EXOC2
428,EXOC3
429,EXOC4
430,EXOC5
431,EXOG
432,EXOSC10
433,EXPH5
434,EXT1
435,F10
436,F11
437,F12
438,F13A1
439,F13B
440,F2
441,F5
442,F7
443,F9
444,FAAH
445,FADS3
446,FAF1
447,FAH
448,RFLNB
449,FAM102A
450,OTULINL
451,FAM118A
452,FAM120B
453,FAM120C
454,FHIP1B
455,FAM169A
456,ABRAXAS1
457,MINDY3
458,ABITRAM
459,SLX9
460,CYRIA
461,TLCD3A
462,MINDY1
463,RIPOR2
464,MIGA1
465,FAM83D
466,LRATD2
467,FAM89A
468,FAM98C
469,FAT2
470,FBXL8
471,FBH1
472,FBXO3
473,FBXO30
474,FBXO38
475,FBXO7
476,FCN1
477,FCN3
478,FEM1B
479,FERMT3
480,FES
481,FETUB
482,FGA
483,FGB
484,FGD2
485,FGD3
486,FGD4
487,FGD6
488,CEP43
489,FGG
490,FGR
491,FHOD1
492,FITM2
493,FKBP8
494,FLAD1
495,FLCN
496,FLOT1
497,FLOT2
498,FMNL1
499,FN3K
500,FNBP1L
501,FOLH1
502,FOLR2
503,FPGT
504,FPR3
505,FRAS1
506,FRYL
507,FSIP2
508,FTH1
509,FCSK
510,FUT3
511,FYN
512,FZD6
513,GAK
514,GALM
515,GATAD1
516,GATM
517,GC
518,GCA
519,GCC1
520,GDAP2
521,GDPD3
522,GDPGP1
523,GET4
524,GFM2
525,GFOD2
526,GID8
527,GIMAP8
528,GINS1
529,GIT2
530,GLMN
531,GLT8D1
532,GLTP
533,GMFG
534,GMIP
535,GMPR
536,GNG2
537,GNG4
538,GNG7
539,GNL2
540,GOLGA4
541,GOLGA7
542,GORAB
543,GORASP1
544,GP1BA
545,GP1BB
546,GPCPD1
547,GPLD1
548,GPN1
549,GPN3
550,GPX1
551,GRAMD2B
552,GRAMD4
553,GRB2
554,GRB7
555,GRK6
556,GSDMA
557,GSE1
558,GSPT2
559,GTF2H4
560,GTF3C1
561,GTF3C3
562,GTF3C6
563,GTPBP4
564,GUCY1A1
565,GYG1
566,GYPA
567,GYPC
568,GZMM
569,HABP2
570,HAPLN1
571,HARS2
572,HAUS1
573,HAUS4
574,HAUS7
575,HBA1
576,HBB
577,HBD
578,HBE1
579,HBQ1
580,HBS1L
581,HBZ
582,HCK
583,HDAC8
584,HDDC2
585,HEATR1
586,HEATR5B
587,HEBP1
588,HECTD1
589,HECTD3
590,HELZ
591,HERC2
592,HERC4
593,HGFAC
594,HGH1
595,HK3
596,HLA-H
597,HM13
598,HMBS
599,HMCN1
600,ARHGAP45
601,HOOK2
602,HPR
603,HPRT1
604,HPX
605,HRG
606,HSBP1
607,HSD17B11
608,HSF1
609,HSPA8
610,HTRA2
611,HTT
612,HVCN1
613,HYI
614,IARS1
615,ICA1
616,ICAM2
617,ICAM3
618,IDE
619,IDNK
620,IFT122
621,IFT172
622,IFT22
623,IFT46
624,IFT52
625,IFT80
626,IFT81
627,IGF2BP1
628,IGFALS
629,IGFBP6
630,IGHA1
631,IGHA2
632,IGHD
633,IGHG1
634,IGHG2
635,IGHG4
636,IGHM
637,IGHV1-24
638,IGHV1-46
639,IGHV1-69
640,IGHV3-7
641,IGHV4-34
642,IGHV6-1
643,IGKC
644,IGKV1-16
645,IGKV1-13
646,IGKV2-24
647,IGKV2-30
648,IGKV2-28
649,IGKV2D-29
650,IGKV3-20
651,IGKV4-1
652,IGLC3
653,IGLC7
654,IGLV1-47
655,IGLV2-11
656,IGLV2-18
657,IGLV2-23
658,IGLV3-27
659,IGLV6-57
660,ELP1
661,IL16
662,BPNT2
663,IMPDH1
664,PATJ
665,INO80
666,INPP4A
667,INPP5D
668,INTS1
669,INTS2
670,INTS3
671,INTU
672,IPO4
673,IPO8
674,IRF3
675,IRF8
676,IRGQ
677,IRX5
678,ITCH
679,ITGA2B
680,ITGAM
681,ITGB3
682,ITIH1
683,ITIH2
684,ITIH3
685,ITIH4
686,ITM2C
687,JAK1
688,JMJD6
689,JMJD7
690,KANSL1
691,KATNAL1
692,KATNB1
693,KCNAB2
694,KCNMA1
695,KCTD1
696,KCTD10
697,KCTD18
698,KCTD21
699,KDM2A
700,KDM4A
701,KDM5B
702,KDM5C
703,KDM6A
704,KHDRBS3
705,TMEM94
706,MARF1
707,KIFBP
708,VIRMA
709,JCAD
710,KIDINS220
711,KIF13A
712,KIF1B
713,KIF21A
714,KIF3B
715,KIRREL1
716,KIT
717,KLF5
718,KLHDC7B
719,KLHL11
720,KLHL42
721,KLK6
722,KLKB1
723,KNG1
724,KPNA3
725,KPNA6
726,KRT1
727,KRT10
728,KRT23
729,KRT75
730,KRT9
731,KTI12
732,L1RE1
733,LAGE3
734,LATS1
735,LBP
736,LCK
737,LCLAT1
738,LCMT1
739,LCN2
740,LCP1
741,LDHB
742,LDLRAP1
743,LEMD3
744,LENG1
745,LENG9
746,LGALSL
747,LIAT1
748,LIG4
749,LILRB2
750,LILRB5
751,LIMK2
752,LLGL1
753,LMBR1
754,LMBRD1
755,LMF1
756,LMTK2
757,LPCAT3
758,LPGAT1
759,LPIN2
760,LPIN3
761,LRCH4
762,LRG1
763,LRIG1
764,LRRC20
765,LRRC40
766,LRRC46
767,LRRC8D
768,LRRC8E
769,LSM1
770,LTF
771,LYN
772,LYRM4
773,LYSMD1
774,LYSMD2
775,LYSMD3
776,LYST
777,MALT1
778,MAN1A1
779,MAN1A2
780,MAN2A2
781,MAN2B1
782,MANBA
783,MAP3K5
784,MAP3K6
785,MAP3K7
786,MAP4K4
787,MAPK8IP3
788,MAPKAP1
789,MAPT
790,MASP1
791,MASP2
792,MAU2
793,MBL2
794,MBLAC2
795,MCAT
796,MCEE
797,MCEMP1
798,MCL1
799,MCMBP
800,MDN1
801,MED14
802,MED16
803,MED20
804,MED23
805,MED30
806,MEMO1
807,METRNL
808,METTL13
809,METTL9
810,MFN2
811,MGA
812,MGAM
813,MGST2
814,MIB1
815,MICAL1
816,MICAL2
817,MID1
818,MIOS
819,MITD1
820,MKLN1
821,AFDN
822,MLPH
823,MMP15
824,MMP8
825,MMP9
826,MMRN1
827,MMS22L
828,MNDA
829,MOCS2
830,MPI
831,MPO
832,MPP1
833,PALS1
834,PALS2
835,MRGBP
836,MRM1
837,MRPL12
838,MRPL32
839,MRPL4
840,MRPL52
841,MRPS10
842,MRPS31
843,MST1
844,MT-ND1
845,MT-ND4
846,MT-ND5
847,MTFP1
848,MTG1
849,MTMR14
850,MTOR
851,MTRF1L
852,MTURN
853,MUL1
854,MMUT
855,MVB12A
856,MYCBP2
857,MYH14
858,MYO10
859,MYO18A
860,MYO1F
861,MYO1G
862,MYO5A
863,MYO9B
864,NAA20
865,NAA35
866,NAA38
867,NAE1
868,NAGLU
869,NBAS
870,NCF1
871,NCF2
872,NCF4
873,NCKIPSD
874,NCOA7
875,NCS1
876,NCSTN
877,NECAP1
878,NEDD4L
879,NIFK
880,NIPBL
881,NIPSNAP1
882,NIPSNAP3A
883,NISCH
884,NKTR
885,NLRC4
886,NLRP2
887,NLRX1
888,NMT1
889,NOA1
890,NOB1
891,NOMO2
892,NPL
893,NRBF2
894,NRBP1
895,NRCAM
896,NRDC
897,NRF1
898,NSUN5
899,NSUN6
900,NT5DC2
901,NT5DC3
902,NUDT8
903,NUP107
904,NUP133
905,NUP155
906,NUP188
907,NVL
908,NXT2
909,OAF
910,OGDHL
911,OLFM4
912,ORC1
913,ORC2
914,ORM1
915,ORM2
916,OS9
917,OSCP1
918,OTUD6B
919,OTUD7B
920,OXSR1
921,P2RX4
922,PADI2
923,PADI4
924,PAM16
925,PANK3
926,TENT4B
927,PAPOLA
928,PAPOLG
929,PAQR4
930,PARS2
931,PARVB
932,PATZ1
933,PCBD2
934,PCBP1
935,PCDH1
936,PCF11
937,PCMT1
938,PCMTD1
939,PCNT
940,PCTP
941,PDCD2
942,PDCD7
943,PDCL3
944,PDE12
945,PDHX
946,PDLIM3
947,PDSS2
948,PDZD2
949,PDZD8
950,PECAM1
951,PERP
952,PEX5
953,PEX6
954,PF4
955,PFKFB2
956,PFKFB4
957,PFKL
958,PGLYRP2
959,PHACTR4
960,PHIP
961,PHKA1
962,PHKA2
963,PHKB
964,PHYKPL
965,PI4K2A
966,PIAS4
967,PIBF1
968,PIEZO1
969,PIGX
970,PIH1D1
971,PIK3C2A
972,PIK3CA
973,PIK3R1
974,PIK3R4
975,PITHD1
976,PITX1
977,PKLR
978,PKN1
979,PKN2
980,PLA2G15
981,PLA2G4C
982,PLA2G4F
983,PLBD1
984,PLCB1
985,PLCB2
986,PLCG2
987,PLEK
988,PLEKHA7
989,PLG
990,PLXNB1
991,PLXND1
992,PMS1
993,PNKD
994,PNP
995,PNPLA4
996,PNPLA6
997,POF1B
998,POLG
999,POLR1A
1000,POLR1E
1001,POLR2C
1002,PON1
1003,PPBP
1004,PPCDC
1005,PPFIBP2
1006,PPIL4
1007,PPIP5K2
1008,PPM1B
1009,PPP1CB
1010,PPP1R21
1011,PPP1R3G
1012,PPP2R1B
1013,PPP2R2A
1014,PPP2R3A
1015,PPP2R5E
1016,PPP3CB
1017,PPP3CC
1018,PPP6C
1019,PPP6R1
1020,PPP6R2
1021,PPP6R3
1022,PPT1
1023,PRAM1
1024,PRCC
1025,PRDX2
1026,PRDX6
1027,PREX1
1028,PRF1
1029,PRG4
1030,PRKAR1A
1031,PRKCB
1032,PRKCD
1033,PRKCZ
1034,PRKD3
1035,PRMT5
1036,PROC
1037,PROS1
1038,PRPF39
1039,PRPSAP2
1040,PRTN3
1041,PRUNE1
1042,PSD4
1043,PSMA6
1044,PSMB6
1045,PSMC1
1046,PSMC3
1047,PSMD1
1048,PSMG3
1049,PSMG4
1050,PSTPIP2
1051,PTCD3
1052,PTGS1
1053,PTGS2
1054,PTK2B
1055,PTPN2
1056,PTPN6
1057,PTPN9
1058,PTPRA
1059,PTPRE
1060,PTPRJ
1061,PTPRS
