,0
405,GM2A
406,GMPS
407,GNA15
408,GOLGA1
409,GPATCH8
410,GPC1
411,GPD2
412,GPKOW
413,GPR108
414,GPRC5A
415,GRHL1
416,GRHL2
417,GRIPAP1
418,GSDMC
419,HASPIN
420,GSTP1
421,GTF2A2
422,GTPBP2
423,GYS1
424,HAGH
425,HAT1
426,HAUS3
427,HCCS
428,HEBP2
429,HELZ2
430,HERC5
431,HERC6
432,HK2
433,HLA-C
434,HLA-E
435,HLA-F
436,HLA-G
437,HMCES
438,JPT2
439,HOMER3
440,HOOK1
441,HPGD
442,HPSE
443,HSD17B4
444,HSPA14
445,HSPA1A
446,HSPA2
447,HSPA4L
448,HSPB1
449,HSPB8
450,HSPBAP1
451,HSPH1
452,HTATIP2
453,HUS1
454,HYPK
455,ICMT
456,IFI16
457,IFI35
458,IFI44
459,IFI44L
460,IFIH1
461,IFIT1
462,IFIT3
463,IFITM3
464,IFNGR1
465,IGBP1
466,IGF1R
467,IGSF3
468,IKBKB
469,IKBKG
470,IKZF2
471,IL1RAP
472,IL1RN
473,IL32
474,IL36A
475,IL36G
476,ILVBL
477,IMPA2
478,IMUP
479,INCENP
480,ING2
481,INIP
482,INTS7
483,IPO9
484,IQGAP1
485,IQGAP3
486,IRF5
487,IRF6
488,IRF7
489,ISG15
490,ISG20
491,ITGA2
492,ITGA6
493,ITGB4
494,ITM2B
495,ITPKC
496,ITPRIP
497,ITSN2
498,IVL
499,JAG1
500,JPH1
501,JUN
502,JUNB
503,JUP
504,KCMF1
505,KCTD9
506,KDF1
507,KDM3A
508,KEAP1
509,KHNYN
510,PCLAF
511,PRORP
512,KIAA1217
513,RELCH
514,KIAA1522
515,CIP2A
516,KIF11
517,KIF20B
518,KIF2C
519,KIF4A
520,KLC3
521,KLK10
522,KMT2C
523,KMT2D
524,KNTC1
525,KPNA1
526,KPNA4
527,KRI1
528,KRR1
529,KRT14
530,KRT16
531,KRT17
532,KRT19
533,KRT4
534,KRT5
535,KRT6A
536,KRT6B
537,KRT78
538,KRT80
539,L2HGDH
540,LAD1
541,LARP1B
542,LARP4
543,LARP4B
544,LDHA
545,P3H2
546,LETM1
547,LGALS7
548,LGALS8
549,LIN7C
550,LLPH
551,LRRC1
552,LRRC8A
553,LRRC8C
554,LRRFIP1
555,LRRK2
556,LTN1
557,LUZP1
558,LY6D
559,LYPD3
560,LYPLA1
561,LYPLA2
562,LYPLAL1
563,MACC1
564,MAD2L1
565,MAL2
566,MANBAL
567,MAOA
568,MAP2K1
569,MAP3K4
570,MAP4K2
571,MAP7
572,MAP7D1
573,MAPK13
574,MAPKBP1
575,MARCKS
576,MARK1
577,MARK2
578,MARK3
579,MARVELD3
580,MAST4
581,MASTL
582,CGAS
583,MBD2
584,MBOAT2
585,MCM2
586,MCM3
587,MCM3AP
588,MCM4
589,MCM5
590,MCM6
591,MCM7
592,MED13
593,METAP1
594,MFF
595,OGA
596,MICALL1
597,MICALL2
598,MINK1
599,MRTFB
600,MKNK1
601,MLF2
602,MLKL
603,MMAB
604,MMP12
605,MON1A
606,MON2
607,MORC3
608,MOV10
609,MPP7
610,MPZL2
611,MROH1
612,MRPL34
613,MSMO1
614,MTA2
615,MTA3
616,MTMR1
617,MTSS1
618,MVD
619,MVK
620,MX1
621,MX2
622,MYO19
623,MYO1E
624,N4BP1
625,NAA10
626,NAA15
627,NAA30
628,NAA50
629,NAB1
630,NACA
631,NAMPT
632,NAPRT
633,NASP
634,NBEAL2
635,NCAPD2
636,NCAPG
637,NCCRP1
638,NCK1
639,NCK2
640,NCKAP1
641,NCOA4
642,NDC80
643,NDE1
644,NDRG1
645,NDRG4
646,NDUFA4L2
647,NDUFAF6
648,NEBL
649,NECAP2
650,NEDD4
651,NFAT5
652,NFATC2IP
653,NFKBIE
654,NHSL1
655,NKRF
656,NMD3
657,NMI
658,NMRK1
659,NOL8
660,NOP10
661,NOTCH1
662,NOTCH3
663,NPLOC4
664,NR3C1
665,NRAS
666,NSDHL
667,NSFL1C
668,NT5C3A
669,NT5DC1
670,NUDT1
671,NUF2
672,NUFIP2
673,NUP153
674,NUP35
675,OAS1
676,OAS2
677,OAS3
678,OASL
679,OLFML2A
680,OPA1
681,OPLAH
682,OSBPL11
683,OSBPL2
684,OSBPL3
685,OSMR
686,OSTF1
687,OTUD4
688,OTULIN
689,OVCA2
690,PA2G4
691,PABPC1
692,PACSIN3
693,PADI1
694,PADI3
695,PAICS
696,PAK2
697,PAK6
698,PANX1
699,PARD3
700,PARL
701,PARP10
702,PARP12
703,PARP14
704,PARP9
705,PATL1
706,PBDC1
707,PC
708,PCK2
709,PCNA
710,PCP4L1
711,PCYT1A
712,PDCD10
713,PDLIM1
714,PEX13
715,PEX14
716,PEX19
717,PFKFB3
718,PGAM1
719,PGD
720,PGM2
721,PHF6
722,PHLDA1
723,PHLDA2
724,PHLDA3
725,PIK3IP1
726,PIP4K2A
727,PIP4K2C
728,PIR
729,PITPNB
730,PKM
731,PKMYT1
732,PKP1
733,PKP3
734,PLA2G4E
735,PLAT
736,PLAU
737,PLCB3
738,PLCH2
739,PLD1
740,PLD2
741,PLEK2
742,PLEKHA1
743,PLEKHF2
744,PLEKHG3
745,PLP2
746,PLSCR4
747,PLXNA1
748,PLXNA2
749,PML
750,PMVK
751,POLA2
752,POLD1
753,POLD2
754,POLD3
755,POLE
756,POLE2
757,POLR1B
758,POLR2E
759,POM121
760,POMK
761,POP4
762,PPAT
763,PPIA
764,PPIH
765,PPL
766,PPP1R13L
767,PPP2R5A
768,PPP2R5C
769,PPP4C
770,PPP4R1
771,PRC1
772,PRDM2
773,PRDX1
774,PRIM1
775,PRIM2
776,PRKCH
777,PRKCI
778,PRKD2
779,PRMT3
780,PRNP
781,PROM2
782,PRPS1
783,PRPS2
784,PRRC2C
785,PRSS22
786,PSEN1
787,PSMA4
788,PSMB3
789,PSMB8
790,PSMB9
791,PSMD10
792,PSMD9
793,PSME2
794,PSME4
795,PSMG1
796,PSMG2
797,PTGFRN
798,PTK6
799,PTPN13
800,PTPRF
801,NECTIN1
802,NECTIN4
803,QTRT2
804,RAB10
805,RAB11FIP1
806,RAB14
807,RAB18
808,RAB21
809,RAB22A
810,RAB25
811,RAB27B
812,RAB38
813,RAB3GAP1
814,RAB3GAP2
815,RAB4A
816,RAB7A
817,RAB7B
818,RABGGTA
819,RABGGTB
820,RAN
821,RANGAP1
822,RAP2B
823,RAP2C
824,RAPGEFL1
825,RAVER2
826,RBBP6
827,RBBP7
828,RBM15
829,RDH13
830,RECQL
831,REEP4
832,REL
833,RELL1
834,RFC2
835,RFC4
836,RFC5
837,RGS12
838,RIF1
839,RIN1
840,RIOK1
841,RIOK3
842,RIPK1
843,RNASEL
844,RNF113A
845,RNF126
846,RNF13
847,RNF149
848,RNF168
849,RNF169
850,RNF213
851,RPA1
852,RPAP2
853,RPP40
854,RPS26
855,RPS28
856,RPS6KA1
857,RPS6KA4
858,RPS6KA5
859,CNOT9
860,RRAGC
861,RREB1
862,RRM1
863,RRM2
864,RSAD2
865,RXRA
866,S100A10
867,S100A11
868,S100A14
869,S100A16
870,S100A2
871,S100A7
872,S100A7A
873,S100A8
874,S100A9
875,SAMD8
876,SAMD9
877,SAMD9L
878,SAP30BP
879,SARG
880,SASS6
881,SBDS
882,SCAF11
883,SCARB1
884,SCD
885,SCEL
886,SDC1
887,SDC4
888,SDCBP2
889,SDR16C5
890,SEMA4B
891,SEMA7A
892,SEPTIN10
893,SEPTIN9
894,SERBP1
895,SERPINB12
896,SERPINB13
897,SERPINB2
898,SERPINB3
899,SERPINB4
900,SERPINB5
901,SERPINB8
902,SETDB1
903,SFN
904,SH3BP1
905,SH3PXD2A
906,SHARPIN
907,SHC1
908,SHCBP1
909,SHMT2
910,SHROOM2
911,SLAIN2
912,SLBP
913,SLC12A6
914,SLC15A3
915,SLC16A1
916,SLC1A5
917,SLC20A2
918,SLC25A3
919,SLC25A5
920,SLC25A6
921,SLC27A4
922,SLC2A1
923,SLC38A2
924,SLC38A7
925,SLC3A2
926,SLC7A1
927,SLC7A5
928,SLK
929,SMAD3
930,SMARCAD1
931,SMC2
932,SMC4
933,SMG7
934,SMG8
935,SNRNP48
936,SNX33
937,SOWAHC
938,SOX15
939,SPINT1
940,SPRR1A
941,SPRR1B
942,SPRR2D
943,SPRR3
944,SPTBN2
945,SQLE
946,SQOR
947,SRA1
948,SRC
949,SRP68
950,SRP72
951,SSH3
952,ZNRD2
953,SSU72
954,ST14
955,STAP2
956,STARD5
957,STAT1
958,STAT2
959,STAU1
960,STIM2
961,STK24
962,STOM
963,STON2
964,CENPX
965,STRADA
966,STRAP
967,STX17
968,STX19
969,STX6
970,STXBP2
971,SULT2B1
972,SYPL1
973,SYTL1
974,TACC2
975,TACSTD2
976,TAF1
977,TAF10
978,TAGLN2
979,TAOK3
980,TAP1
981,TAP2
982,TAPBP
983,TARBP2
984,TAX1BP3
985,TBC1D10A
986,TBC1D15
987,TBC1D2
988,TBC1D22B
989,TBC1D7
990,TBL1XR1
991,TCAF2
992,ELOA
993,TDRD7
994,TECPR1
995,TECR
996,TEX30
997,TFAP2C
998,TFG
999,TFRC
1000,TGM1
1001,THBD
1002,THEM6
1003,TIMM23
1004,TIMMDC1
1005,TIPIN
1006,TIPRL
1007,TJP2
1008,TK1
1009,TLCD1
1010,MEAK7
1011,TMBIM1
1012,TMCC3
1013,TMEM134
1014,LDAF1
1015,TMEM165
1016,PEDS1
1017,TMEM199
1018,TMEM238
1019,TMEM40
1020,TMEM41A
1021,TMEM51
1022,TMEM63B
1023,TMEM79
1024,TMPRSS11A
1025,TMPRSS11D
1026,TMPRSS11E
1027,TMTC3
1028,TMX1
1029,TMX2
1030,TNFAIP2
1031,TNFSF10
1032,TNIP1
1033,TNK1
1034,TNKS1BP1
1035,TNPO3
1036,TNS4
1037,TOE1
1038,TOM1L2
1039,TOMM70
1040,TONSL
1041,TOPBP1
1042,TOR1B
1043,TP63
1044,TPRG1L
1045,TPST2
1046,TPX2
1047,TRADD
1048,TRAF2
1049,TRAPPC9
1050,TREX1
1051,TRIM16
1052,TRIM22
1053,TRIM25
1054,TRIM26
1055,TRIM29
1056,TRIM5
1057,TRIP13
1058,TSC22D2
1059,TSPO
1060,TSR3
1061,TSTD1
1062,TTC22
1063,TTC39B
1064,TTC4
1065,TTC7A
1066,TTC9
1067,TTLL12
1068,TUBA1C
1069,TUBA4A
1070,TUFT1
1071,TWF1
1072,TXLNA
1073,TXN
1074,TXNDC17
1075,TXNDC9
1076,TXNIP
1077,TYMP
1078,UBA7
1079,UBAP2
1080,UBAP2L
1081,UBC
1082,UBE2A
1083,UBE2C
1084,UBE2E1
1085,UBE2G1
1086,UBE2K
1087,UBE2L6
1088,UBE2Q1
1089,UBQLN1
1090,UCK2
1091,UFD1
1092,UGCG
1093,UHRF1
1094,ULBP2
1095,UMPS
1096,UNC45A
1097,UPP1
1098,USP16
1099,USP18
1100,USP40
1101,VAMP7
1102,VAMP8
1103,VAV3
1104,VDAC2
1105,VMA21
1106,VPS13D
1107,VPS37B
1108,VPS4B
1109,VSNL1
1110,WAC
1111,WBP2
1112,WDFY2
1113,WDHD1
1114,WDR74
1115,PYM1
1116,WIPF2
1117,WNK1
1118,XAF1
1119,XIAP
1120,XRN1
1121,YARS1
1122,YBX3
1123,YTHDF2
1124,YWHAG
1125,YWHAZ
1126,ZBP1
1127,ZBTB21
1128,ZBTB7A
1129,ZBTB7B
1130,ZC3H14
1131,ZC3H15
1132,ZC3HAV1
1133,TUT7
1134,ZDHHC3
1135,ZDHHC5
1136,ZFP36L1
1137,ZFYVE1
1138,ZFYVE19
1139,ZNF185
1140,ZNF384
1141,ZNF532
1142,ZNF593
1143,ZNRF2
1144,ZWILCH
