Gene	Chi^2-statistic of rep3	pvalue of rep3	BH-corrected P-value of rep3	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2	Chi^2-statistic of rep1	pvalue of rep1	BH-corrected P-value of rep1	Average Chi^2-statistic	Number of detected	combined_pvalue	BH-corrected combined pvalue
HBB	494.1944047067542	8.645968293840784e-107	2.763251466711515e-103	504.99166728979645	3.9526865431966713e-109	7.141516411920584e-106	457.33639729602754	8.388177406326825e-99	2.1230477015413202e-95	485.5074897641928	3	4.727316536464785e-308	1.3975129510924023e-304
INS	376.8248824401241	2.3156571588282164e-81	3.1717886912635625e-78	202.3961775904785	1.2805594790705094e-43	6.610430968030406e-41	332.572218177946	8.852042214023273e-72	9.95756393053018e-69	303.93109273618285	3	1.7796436923822654e-190	2.6305358328025366e-187
HBD	177.47518252099957	3.0952046771382473e-38	1.4838411222200758e-35	110.45958664789684	8.738299919243648e-24	1.6618866714835225e-21	186.93565267093533	2.8023978233012622e-40	1.773217222693874e-37	158.29014061327726	3	1.3752566745678422e-96	1.016400636047796e-93
CA1	131.52057638817095	2.543149343252589e-28	6.252234846950212e-26	82.55069275933936	8.705901982503227e-18	1.084785407371566e-15	124.80110741038403	7.132998640606687e-27	1.9003810062500555e-24	112.95745885263143	3	1.4443960005089334e-67	4.744439640560594e-65
CD36	134.74406066669516	5.13548942748882e-29	1.330785746777373e-26	57.55520396013072	1.9560809855946097e-12	1.2851452075356586e-10	103.19370521007768	3.196592662499915e-22	5.993019280583174e-20	98.49765661230118	3	2.357884694251907e-58	5.932337555218894e-56
AKR1C2	185.04008574292152	7.1937804748018675e-40	3.831887066244461e-37				14.68924553428464	0.002102420591561	0.0246353079501893	99.86466563860309	2	2.1667937424883117e-40	2.815641319222449e-38
LEPR	99.5894082565688	1.904488688388575e-21	3.0433729240449425e-19	23.92826266227821	2.5856398095965407e-05	0.0005679762584788	67.17715277405568	1.7161050101429936e-14	1.3899077698150134e-12	63.56494123096757	3	2.9454243592333123e-36	3.137805679994046e-34
CD70	63.52636283923313	1.0363931205319177e-13	6.900650860875019e-12	59.9950772441376	5.892483036300974e-13	4.055711895556871e-11	51.78613592823751	3.3264895376517524e-11	1.8402939933981606e-09	58.43585867053608	3	4.830412990043735e-33	4.681937180923538e-31
ITIH4	67.04588754150859	1.8307757156016688e-14	1.3002575971250962e-12	17.17641138844711	0.000650085595576	0.009953747032263	51.70091554362661	3.4685421700540726e-11	1.908452224436273e-09	45.30773815786077	3	7.153782537748979e-25	4.6736728457945673e-23
KRT5	99.60252850811598	1.8921580907729506e-21	3.0749172498866183e-19				18.96329939428492	0.0002782177312891	0.0043601800488718	59.28291395120045	2	3.260134889192333e-23	2.0183819405601745e-21
SETMAR	2.8967646505573748	0.4078174288496305	0.8700831125523494	0.5600185462973413	0.905521025692732	1.0	110.9124450648012	6.981725817190473e-24	1.413659843464727e-21	38.12307608721864	3	1.89143985179849e-20	1.0120486989826762e-18
DNAJA4	28.62071562194992	2.690416287301626e-06	6.432845726346132e-05	25.08714213465865	1.4806080165656996e-05	0.0003508312831383	49.73377949158932	9.103237199963172e-11	4.702100684307508e-09	34.48054574939929	3	3.1617189792806734e-18	1.538573124691109e-16
TST	42.36013187019754	3.364687830732186e-09	1.3330837570686038e-07	24.734075010061662	1.7548962735832033e-05	0.0004000831346746	34.860067622566454	1.3040622358595984e-07	4.328631500276253e-06	33.984758167608554	3	6.328866899489054e-18	2.981627533325022e-16
PF4							75.70281502652635	2.5613322636480223e-16	2.5674185977398592e-14	75.70281502652635	1	2.5613322636480223e-16	1.0855825812773428e-14
ENG	37.38817600634569	3.8084651194703464e-08	1.2635143102242796e-06	30.161417408589426	1.2762632180817943e-06	3.811386064907904e-05	25.56657003912436	1.1753108642231644e-05	0.000264418826431	31.03872115135316	3	3.851057537826349e-16	1.6148494817303754e-14
SLC26A2	32.58251771338615	3.9445003667085593e-07	1.1123491034118138e-05	17.151046058294153	0.0006579452351565	0.0100527911511127	42.25547193088001	3.5412613220778036e-09	1.5000723692349658e-07	30.663011900853444	3	6.489834356740928e-16	2.7021933545232915e-14
APOC3	59.56847229709294	7.268323730334521e-13	4.382936347575307e-11				21.86064982113655	6.973420793391659e-05	0.001265213478715	40.71456105911474	2	1.810029559055091e-15	7.304982776732577e-14
FTH1	28.72496546416653	2.5581228521983967e-06	6.147188447839155e-05	31.509966092690583	6.638062824984678e-07	2.16095856018758e-05	27.581303035076296	4.446423233422294e-06	0.00011142472479	29.27207819731113	3	4.4606892562062705e-15	1.729431162447185e-13
PIR	33.9635514807614	2.0166012412585445e-07	6.042241469120914e-06	21.37756779866892	8.78799770130426e-05	0.0016936229169953	27.19374161150576	5.36165453645741e-06	0.0001307985313905	27.51162029697869	3	5.061118990674396e-14	1.813567638324992e-12
TUBA3C							64.62879000157366	6.022267316185218e-14	4.5841679931623416e-12	64.62879000157366	1	6.022267316185218e-14	2.125770478026573e-12
LNX2	66.27824725401292	2.6723749847637447e-14	1.8840243642584397e-12				1.966224704746465	0.5794464044036078	0.9735007298675946	34.122235979379695	2	9.362405375452253e-13	3.024875507232866e-11
