Gene	Chi^2-statistic of rep3	pvalue of rep3	BH-corrected P-value of rep3	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2	Chi^2-statistic of rep1	pvalue of rep1	BH-corrected P-value of rep1	Average Chi^2-statistic	Number of detected	combined_pvalue	BH-corrected combined pvalue
S100A6	65.83693997730083	3.3213711893938035e-14	2.307630939413608e-12	69.02763777932272	6.893673865799253e-15	5.861244826838966e-13	62.63841014342662	1.60463758386216e-13	1.1603822070728936e-11	65.83432930001672	3	1.105446195721545e-37	1.2569135831160837e-35
APOE	78.8358980175384	5.453960517280392e-17	4.980245089493751e-15	46.45867851563878	4.5306752306974044e-10	2.197529522969809e-08	67.4940360405899	1.4680010120233148e-14	1.2082961175385399e-12	64.26287085792235	3	1.0737675073682815e-36	1.1866636237971895e-34
TGM2	60.48700288035308	4.625888269339847e-13	2.843142097848106e-11	31.80674516525136	5.747969060670481e-07	1.8968297900212587e-05	98.45575141758763	3.3381940282718786e-21	5.450947797132986e-19	63.58316648773069	3	2.868839819448024e-36	3.084002805906625e-34
ANK1	55.91489364134956	4.380337834683477e-12	2.4560631087102444e-10	65.80260474559437	3.3780279106212266e-14	2.6827481000065498e-12	67.34306341921382	1.581383485693054e-14	1.2911230975126193e-12	63.02018726871925	3	6.472624473277598e-36	6.833820035402466e-34
HBQ1	56.493663737225226	3.296019516687077e-12	1.8589550074115115e-10	54.41925680385216	9.132638175522866e-12	5.739267486478584e-10	66.75737391410243	2.1104518369045124e-14	1.6823790863638804e-12	59.22343148505994	3	1.5525353840055658e-33	1.5298942429888184e-31
SLC2A1	80.28418627980525	2.6673337832212682e-17	2.636535702425311e-15	31.161987097316	7.858389222558538e-07	2.501875722970509e-05	62.46136692039226	1.7507557275446996e-13	1.2570674457916692e-11	57.969180099171176	3	9.461329236526878e-33	8.950417457754426e-31
FAM210B	68.37142459657575	9.526411249362248e-15	7.026094696837325e-13				91.36328312838452	1.116140468502588e-19	1.6617361916353238e-17	79.86735386248014	2	6.739564096198286e-32	5.9474138386227416e-30
SELENBP1	47.80633105533433	2.3414509740696875e-10	1.0690396161609602e-08	27.29043941601042	5.117063104408638e-06	0.0001339891849839	93.41592518092902	4.043120646028522e-20	6.2973159108296565e-18	56.170898550757926	3	1.2592059431761844e-31	1.1029711317080285e-29
SLC25A21	22.832038365189085	4.377267516355494e-05	0.0008024711462106	59.33995176870925	8.132966473277385e-13	5.442310065034782e-11	83.39449706666866	5.7377408802597576e-18	7.261111083968723e-16	55.18882906685567	3	5.168610343489259e-31	4.428899805200036e-29
RHAG				52.804639364107445	2.017888059330912e-11	1.195350574162664e-09	97.67696649192348	4.908312988306972e-21	7.887581062479331e-19	75.24080292801546	2	6.120037882607145e-30	5.025656108460381e-28
HIST3H3	74.15003700576369	5.511408948206926e-16	4.6764061057883176e-14	30.32484697858392	1.179110696884061e-06	3.580434036294583e-05	54.46810956418295	8.916123305645795e-12	5.128797292406706e-10	52.9809978495102	3	1.2313102345490518e-29	9.771975519156065e-28
REXO2	59.33987843682767	8.133259817481409e-13	4.873855945625733e-11	38.02766963936877	2.7886054891398945e-08	1.1196251038896677e-06	42.30359792403088	3.458946036439682e-09	1.4713600702905606e-07	46.557048666742446	3	1.206189599520356e-25	8.341047961595445e-24
APOC1	32.99587293756325	3.227134957401274e-07	9.347966758780488e-06	21.50202049147285	8.279843053883873e-05	0.0016216375542118	84.54437267539818	3.250527547231724e-18	4.273810504957658e-16	46.34742203481142	3	1.6263578597910228e-25	1.1116579012733436e-23
ADD2	42.6152366000476	2.9702695358657992e-09	1.1915876280285057e-07	32.310046467480255	4.502337432175989e-07	1.5204856365577508e-05	61.16391910846279	3.3154728027184613e-13	2.3309615732445622e-11	45.36306739199688	3	6.611792382004604e-25	4.3435802731780243e-23
UROS	49.04968824655256	1.2730684378357487e-10	6.012896641364118e-09	5.593306020360823	0.1331631810105784	0.5235964685328892	79.47540084823925	3.977015976828545e-17	4.473701083268022e-15	44.70613170505087	3	1.6843651328112022e-24	1.088394409589752e-22
TFR2	23.79032045348964	2.762869056502812e-05	0.0005245621487871	48.99931600395675	1.304894549203183e-10	6.784512882799571e-09	50.07929966600003	7.684464159665804e-11	3.989616161664441e-09	40.956312041148806	3	3.452913915721132e-22	2.0313784603682772e-20
ALAD	30.08654382159707	1.323402097819926e-06	3.39272174168381e-05	34.87551568856796	1.2942999242975202e-07	4.63064631331593e-06	54.55341618738162	8.550272607412454e-12	4.946454850139637e-10	39.83849189918222	3	1.6789140892997239e-21	9.590898118825718e-20
ZNF319	27.98981711610923	3.649955142483029e-06	8.392270960701987e-05	39.08642197741324	1.6640156318932107e-08	6.911402857294387e-07	50.99474824153921	4.9047052252250575e-11	2.6412359414988554e-09	39.3569957783539	3	3.315359356363791e-21	1.8668630661429444e-19
PCSK9	50.0258445498091	7.888566043384876e-11	3.8787472422550864e-09	1.910636368264684	0.5911599900411484	0.95770303699336	64.00833052483019	8.174451422646492e-14	6.085157809034784e-12	38.64827048096799	3	9.017499674792177e-21	4.9596248211357e-19
MYLPF	95.75647940992155	1.269799778747362e-20	1.902318793535892e-18							95.75647940992155	1	1.2697997787473707e-20	6.9195310523906275e-19
HDHD3	26.887229274706225	6.216704295524548e-06	0.0001379762981145	37.40620285486061	3.7751566832730895e-08	1.482774855979055e-06	50.38604831421004	6.611197124281703e-11	3.486029150324373e-09	38.22649348125896	3	1.6348060601249654e-20	8.787082573171689e-19
IGSF8	106.32407735087868	6.781165381912179e-23	1.1610323871745351e-20	1.9329122283274875	0.5864471027750662	0.957364628813057	5.310585764220923	0.1504169698705228	0.566525819556984	37.85585844780903	3	2.7565744611915804e-20	1.4617261436587637e-18
MPP1	29.898930643092783	1.4492916676833563e-06	3.666440240039056e-05	43.87340873334653	1.6055791748062587e-09	7.297811758694864e-08	38.04335355601805	2.767365520342763e-08	1.0187930373800047e-06	37.27189764415245	3	6.274595940251628e-20	3.254258640064715e-18
FAM184B	58.19950665969836	1.42500415744869e-12	8.331060891230512e-11	29.071325933389467	2.163461000592225e-06	6.254133060512005e-05	17.818089217856006	0.0004795265407522	0.0070358357950369	35.02964060364794	3	1.4647447639005928e-18	7.339240183527334e-17
UBAC1	25.44383099158254	1.2469064035773668e-05	0.000255455952938	29.0209925965797	2.216797862369613e-06	6.35745958386714e-05	50.152943528926194	7.411892080023295e-11	3.867937908152363e-09	34.87258903902948	3	1.825473584945161e-18	9.108111874251699e-17
TCHH	92.3565339417564	6.828662040532218e-20	9.221579104876469e-18				2.5916559726924024	0.4589542407957906	0.9123213692944402	47.4740949572244	2	2.8342407443553243e-18	1.3906596183403196e-16
MINPP1	28.5703836255154	2.756709549062798e-06	6.542408702082702e-05	30.51823255738764	1.0736406381509885e-06	3.27392442696928e-05	43.26090560538304	2.166274817178641e-09	9.535376630050682e-08	34.11650726276202	3	5.2633473305816346e-18	2.489563287365113e-16
FN3K	33.96776713876564	2.0124731781198282e-07	6.0487751823864905e-06	24.793585385603244	1.705347950159617e-05	0.000392501580758	42.96424041853876	2.504403288695081e-09	1.0881793517059658e-07	33.90853098096921	3	7.041079247505911e-18	3.303998496101484e-16
TPST2	18.95229433144881	0.0002796791132104	0.0042030773314445	44.06959594456467	1.4586723074547535e-09	6.672040991123736e-08	36.27212254669891	6.559164222679808e-08	2.258672741170421e-06	33.09800427423746	3	2.185887985258195e-17	9.979971206825542e-16
SUMF1	42.15598387169412	3.7176830149057926e-09	1.448989623858404e-07	33.06520948751417	3.120264010004373e-07	1.0636862264293208e-05	21.931968765118818	6.739214727168028e-05	0.0012293299080693	32.384387374775706	3	5.916580183060726e-17	2.600875861141007e-15
AK1	32.2046119581418	4.738746501678926e-07	1.3169594625535516e-05	23.893608540034016	2.6290682794940275e-05	0.0005740264790303	37.90310459098053	2.9631827060437903e-08	1.0752423554117325e-06	31.333775029718783	3	2.555252846053814e-16	1.0869016152728904e-14
ZNF215	73.28817858037752	8.432188778089981e-16	7.030245739506676e-14							73.28817858037752	1	8.432188778089981e-16	3.4863857447872045e-14
APLP2	23.93603655908865	2.575996198588326e-05	0.0004920050109973	43.12108775228599	2.319541527982817e-09	1.0412004113498024e-07	22.667042341179947	4.7378312343797554e-05	0.0008999212648566	29.90805555085153	3	1.8493156382681788e-15	7.438148783170482e-14
HIST3H2BB	34.03643270148648	1.946409949970785e-07	5.924501142958692e-06	8.316100882039034	0.0399112094115977	0.2469506082342611	45.889322569520445	5.987264928579023e-10	2.8324799129408442e-08	29.41395205101532	3	3.665695537849803e-15	1.4353261501680108e-13
RNH1	26.555184693756235	7.297040107820331e-06	0.0001572225180983	22.78666792292913	4.473597156486812e-05	0.0009344129089575	38.50513995371955	2.2094471053308492e-08	8.31540613173588e-07	29.28233085680164	3	4.397873639227321e-15	1.7106860455218117e-13
HEBP1	36.01020235204515	7.451276048124385e-08	2.381427824980553e-06	18.80999489667093	0.0002992775116514	0.0050534546184689	31.97852265261389	5.288296029192386e-07	1.551846637667934e-05	28.932906633776657	3	7.129456083032254e-15	2.7283436304807895e-13
HIST1H1E	38.82206215812698	1.893037197182e-08	6.50553428192868e-07	33.96743461555055	2.012798485309595e-07	7.061405171520603e-06	13.254103907572174	0.0041181066201188	0.0424991961489122	28.68120022708324	3	1.0094025717240712e-14	3.82570045212729e-13
SVOP	32.784134884826585	3.5766433601579133e-07	1.0267322316525171e-05	15.915494842500088	0.0011801294735662	0.0162763276821811	34.95629920045833	1.244425338471759e-07	4.144263857463187e-06	27.885309642595	3	3.0255664318955674e-14	1.107657060593346e-12
KEL	39.572454894201066	1.3127232461887032e-08	4.696414359872121e-07	8.315476907815784	0.0399224367762749	0.2468087686759102	31.997610891027144	5.239537453106446e-07	1.546503707733226e-05	26.628514231014663	3	1.7029851441794491e-13	5.720965718727837e-12
ACSS1	15.40611134925104	0.0015005205288826	0.0173546330891758	22.82122480000208	4.400037373002643e-05	0.0009217121766576	38.9530215937684	1.7758977356628816e-08	6.836193412871108e-07	25.726785914340507	3	5.856681968287786e-13	1.9291159965181916e-11
GCLM	21.75637945803156	7.330504292881648e-05	0.0012709742343607	18.465888093484168	0.0003525007460493	0.0058295718345503	32.1963492731822	4.757788705237446e-07	1.4335670491614255e-05	24.139538941565974	3	5.099657207045327e-12	1.5542125379719328e-10
PBK	39.46494566603549	1.3834249714828465e-08	4.894567758884697e-07	10.008156169524462	0.0184969321112479	0.1448291748298901	22.503152975064268	5.125258954671406e-05	0.0009680619712144	23.992084936874743	3	6.230937190281297e-12	1.874830337788202e-10
HSPB1	20.324367802181488	0.0001453934153274	0.0023708028336053	24.60050109849385	1.8713981460507208e-05	0.0004239684765363	26.558478939734314	7.285452027154331e-06	0.0001695584283285	23.82778261346989	3	7.788328216196089e-12	2.3139945014200696e-10
LHFPL2	43.92652889208748	1.564401994186686e-09	6.493284121325519e-08				19.651885243110293	0.0002004038434084	0.0032514238952999	31.789207067598888	2	8.413145058341192e-12	2.493369431450742e-10
ILVBL	4.077424672914548	0.2532241208527097	0.7147226584444454	1.325507603167975	0.7230851394612868	0.9949992960561158	64.67589943969118	5.884152083363204e-14	4.5129663403006876e-12	23.359610571924566	3	1.469448546254195e-11	4.258879671435258e-10
PPOX	24.794126042826377	1.704904252895916e-05	0.0003405546245159	10.28704227818402	0.0162773333354664	0.1315842147823442	34.47822375676286	1.5701831138749134e-07	5.144509334909263e-06	23.18646402592442	3	1.857708535604392e-11	5.306136095053605e-10
MFI2				56.14386970807503	3.914203545925725e-12	2.5033583209208155e-10	4.470950107221486	0.2148961541785371	0.676284944017255	30.307409907648257	2	3.3757187956501706e-11	9.526939083189324e-10
EML5	40.23977849133169	9.478232954729554e-09	3.468599143891105e-07				18.554985366959475	0.0003378781502745	0.0052303950969105	29.39738192914558	2	7.906629193685479e-11	2.164256717947472e-09
TXNIP	18.869818114081585	0.0002908771126944	0.0043509044563405	18.76396074471158	0.0003059055774874	0.0051533324207493	28.6567209482596	2.643971134747943e-06	6.828460144945963e-05	22.09683326901759	3	8.088865135522291e-11	2.2090261022529118e-09
ASAP3	5.678292780598498	0.1283552208219658	0.4954387509021773	29.99861048763441	1.3809861297192023e-06	4.0903224424101134e-05	30.540926103415767	1.061898123942575e-06	2.953477089778744e-05	22.07260979054956	3	8.357050243006133e-11	2.271772853414885e-09
IRF6	6.065490531563005	0.1084670793277342	0.448655028729213	10.849025105631853	0.0125709042492073	0.1093260228748757	49.12660833443056	1.2259590064402132e-10	6.205804490600359e-09	22.013707990541803	3	9.046706151419248e-11	2.44799314051562e-09
CAMKK1	49.14724643428486	1.2136183741944918e-10	5.789140781978501e-09							49.14724643428486	1	1.2136183741944918e-10	3.239511800191843e-09
H2AFX	10.404619370645465	0.0154220761844396	0.1155209894190684	43.0502185159431	2.401317386168464e-09	1.071254367274043e-07	11.698124443884645	0.0084921527530965	0.0767629950645979	21.71765411015773	3	1.3471804943101244e-10	3.5718406603626054e-09
TAL1	30.38125207906313	1.147322779360349e-06	2.9571319377707056e-05	20.14716162389319	0.0001582295990467	0.0029171564089563	14.531397719994638	0.0022642227275694	0.0261677978241019	21.686603807650325	3	1.4045854381538622e-10	3.699158754158e-09
TMEM14C	4.74665346981959	0.191316580478684	0.6235021664274721				52.659016530205896	2.1674073628102838e-11	1.2190462300606284e-09	28.702835000012744	2	1.5120805556148119e-10	3.9646014567949345e-09
SLC9C2	1.3001011166478218	0.7291090652595895	1.0	26.150965853007776	8.867860300647456e-06	0.0002217578767916	37.40253381361835	3.7819123543473226e-08	1.329447245674038e-06	21.617866927757984	3	1.5404789733728178e-10	4.030124747817162e-09
CTSL1	37.75759792572829	3.180977446007309e-08	1.0626903049588182e-06	3.780748634831573	0.2861333425161039	0.7664513218546639	19.82835900430913	0.000184227576117	0.0030228848956386	20.455568521623	3	7.304712001908693e-10	1.8108641388379517e-08
TSC22D3	13.05435396084762	0.0045205241775122	0.0440475465589305				39.51859263715636	1.3476818721516193e-08	5.207607356359921e-07	26.28647329900199	2	1.4301362767364031e-09	3.4095486839532184e-08
NMNAT3	38.974884508935645	1.7570596490468832e-08	6.08183679244098e-07	6.954996567405456	0.0733461021485473	0.3691311143645903	13.291027593663038	0.0040477027182606	0.0419866212291709	19.74030289000138	3	1.8937961648109644e-09	4.469888153470989e-08
CTNNA1	17.199681633895594	0.0006429572364845	0.0084101964303058	11.433022541876882	0.0096006501163653	0.0871657014961963	29.90642053716288	1.444044106619438e-06	3.919437677055011e-05	19.51304157097845	3	2.560979099534136e-09	5.9263361745579575e-08
DNAJC6	23.996493616493545	2.502211885758917e-05	0.0004827204740574	12.78496175500038	0.0051254860729442	0.0532976803585156	20.956380726991004	0.0001074950121815	0.0018445415310613	19.24594536616165	3	3.649294752802523e-09	8.29863662536343e-08
SARS	17.917180435368987	0.0004574916720115	0.006275293492485	17.14023951950362	0.0006613223436043	0.0100830729477389	22.634188234390443	4.813084536047249e-05	0.0009125031431262	19.230536063087683	3	3.724551059151475e-09	8.453515599705605e-08
ECI2	13.119654049790396	0.0043848636898798	0.0430758945272213	20.943868333026817	0.0001081400462899	0.0020458851165907	23.36573389524548	3.388000182861304e-05	0.0006621643600634	19.1430854260209	3	4.181838229179442e-09	9.455112248574935e-08
ARFGEF2	5.481056999907007	0.1397760188004212	0.5218740141193298	7.954511316209358	0.0469612341842931	0.2752545332115867	43.88056373382581	1.599970350361707e-09	7.135726796062521e-08	19.105377349980724	3	4.395864403124578e-09	9.882337750370368e-08
KIF7	8.398138242534653	0.0384616122802683	0.2281992193955526				41.095607513970826	6.240891830681873e-09	2.568406052594442e-07	24.746872878252734	2	5.938042404438988e-09	1.312473858551234e-07
TSPAN31							40.87473196672828	6.951719501761395e-09	2.83787129983195e-07	40.87473196672828	1	6.951719501761395e-09	1.5222978353394168e-07
SEMA3C	39.60356595493159	1.2929451885315343e-08	4.642980699490769e-07							39.60356595493159	1	1.2929451885315343e-08	2.7547886224117826e-07
H3F3C	39.56033982981208	1.3205065799680013e-08	4.706697802503046e-07							39.56033982981208	1	1.3205065799680013e-08	2.803409391045173e-07
SYT3	17.818946046606403	0.0004793315572156	0.0065281689923066	16.612337318452287	0.0008490675389976	0.0123713933555165	19.95611895752468	0.000173334060462	0.0028720687857907	18.12913410752779	3	1.5932482675851157e-08	3.316929712005985e-07
KIAA1984				45.65127091304924	6.727252615852552e-10	3.1570035490108065e-08	1.1090057030296794	0.7749005279686813	1.0	23.38013830803946	2	2.08885032241157e-08	4.303250010891431e-07
KIAA2018	2.9574178331678853	0.3982372121797183	0.866023676656643				43.66261056633213	1.779938216321569e-09	7.86903690045396e-08	23.310014199750007	2	2.2277381591577886e-08	4.557613102429212e-07
KRT1	15.929824690460071	0.0011721752347188	0.0140837295118854	11.305396001301483	0.0101840736206196	0.0916566625855769	25.782228421322536	1.0593009057967552e-05	0.0002409969071974	17.672483037694697	3	2.9007194701437078e-08	5.863420125546895e-07
L1CAM	41.57623725974676	4.935032370722367e-09	1.892683614819442e-07	3.756165226267549	0.2890261864746337	0.7685034031097049				22.666201243007155	2	4.01971901512429e-08	8.00221840973817e-07
PPT2	34.20841626911559	1.7902921318803214e-07	5.484128102386108e-06	11.986401385200224	0.0074298890805437	0.0711202760067414	5.029672180664387	0.1696372508982884	0.6051471205406173	17.0748299449934	3	6.333755289610974e-08	1.2318528996652922e-06
BLVRA	21.738754441498845	7.392637253720118e-05	0.001279433321095	12.561263324735194	0.0056881802904057	0.0580628233880823	16.270950872247255	0.000997774862713	0.0132914114606664	16.85698954616043	3	8.411294267416654e-08	1.6146680959773038e-06
MICALL2	20.37972769361939	0.0001415999964215	0.0023168272452051	9.5925948057598	0.022366438308662	0.1664698760625136	20.53801517726781	0.0001312887306208	0.0022115925271297	16.836779225548998	3	8.635376314166743e-08	1.6496498370762805e-06
CWF19L2	40.571226847548	8.062195478526018e-09	2.9730896249272097e-07				2.789495217251029	0.4252321120656667	0.8898408231816474	21.680361032399517	2	9.895829991645867e-08	1.872291034419398e-06
SLC40A1	18.32033602955348	0.0003777545984693	0.0053341842269873	6.37548245585555	0.0947046600199726	0.4320900113411252	25.493101986243268	1.2176577642504211e-05	0.0002721317263856	16.729640157217432	3	9.92611289242853e-08	1.8750205264052292e-06
MLL2	0.3190895269306314	0.9563991711998951	1.0	1.7313865835660474	0.6299785316308206	0.9734562429112552	47.73318932379187	2.426879592959493e-10	1.1812369711116302e-08	16.59455514476285	3	1.1829762383565077e-07	2.2134009523047e-06
DOCK1	42.54712965631215	3.0708106918255604e-09	1.2216984611296046e-07	4.027855563270981	0.2584718998446208	0.7305343841130523	1.64357125472697	0.649551174205226	0.9921629583062324	16.07285215810337	3	2.3247384372511537e-07	4.242288892051681e-06
YK041	40.004786697800256	1.0630225829415028e-08	3.860704744410276e-07				0.756638711845047	0.8598078267351723	1.0	20.380712704822653	2	3.226504634919988e-07	5.745996582519406e-06
T	32.57704639541793	3.954992564064729e-07	1.1120372054033027e-05							32.57704639541793	1	3.954992564064729e-07	6.938840811582407e-06
ECE1	18.44045911937585	0.0003567884155644	0.0051364674601081	7.225051788622983	0.0650602425621642	0.3387538710351304	20.90557742024585	0.0001101380476796	0.0018866964377472	15.523696109414894	3	4.716655608856475e-07	8.214205092007043e-06
GALNT5	16.922842908209347	0.0007330399144684	0.0093962389036406				22.905363264319323	4.225936081679614e-05	0.0008102912289947	19.914103086264333	2	4.923287278781166e-07	8.511384805787614e-06
TMEM168	36.08360647523482	7.189697771297972e-08	2.30551244920418e-06				2.8787919077356365	0.4106930623649835	0.8781112066278971	19.481199191485228	2	7.28010331683106e-07	1.226313699736856e-05
METTL7A	21.875886086084645	6.922714405221179e-05	0.0012090161332834	9.971575983853654	0.018809301688084	0.146639507335257	13.617634344974372	0.0034746382049826	0.0370676893437766	15.155032138304223	3	7.567379523805189e-07	1.2674824768979654e-05
HIST1H3A	26.17251278794879	8.776199995674966e-06	0.0001857532131534				12.668567841875792	0.0054110272586391	0.0531340833816317	19.42054031491229	2	7.689731903831162e-07	1.2843372847853602e-05
ERMAP	26.508449712364136	7.463432650021572e-06	0.0001600881258353	4.544057358859114	0.2083939765149414	0.6556653322914592	14.344722441251534	0.0024715714814305	0.0282099094453244	15.132409837491592	3	7.789649274429178e-07	1.299190446687236e-05
PPFIA3	43.36441367594246	2.059366038081456e-09	8.4381203303953e-08	1.085173578948316	0.7806543925460427	1.0	0.8309971469938202	0.842039454459834	1.0	15.093528133961533	3	8.186896621863473e-07	1.35969174934741e-05
ABCB10	12.497681140725224	0.0058589798801947	0.0544868080420054	9.703970767593535	0.0212575892324032	0.1605314497205621	23.00288954869222	4.032705390129767e-05	0.0007747079576788	15.068180485670323	3	8.456618198134511e-07	1.398594548153015e-05
CTNNB1	6.886653650286279	0.0755996097130619	0.359013896943456	9.594310409027369	0.022348934899571	0.1665110850713404	28.18594067787761	3.3198477203129595e-06	8.508895777328708e-05	14.88896824573042	3	1.063199734392732e-06	1.7269693487903923e-05
AGPAT5	16.457350741595533	0.0009136334918405	0.0113617612448337	9.644506733955474	0.0218427175239478	0.1639224502030854	18.33615821818926	0.0003749244462092	0.0057078723209357	14.812671897913424	3	1.1718722131670426e-06	1.8905032633970365e-05
SLC38A5	6.79427717574046	0.0787520914243145	0.3688691023821825	8.211267439063139	0.0418413880755054	0.2549643436945009	29.386758876742583	1.857167906916264e-06	4.947886286742172e-05	14.79743449718206	3	1.194859593652442e-06	1.919730257464691e-05
TMEM27				30.81913651896408	9.27944611812325e-07	2.8782213345784005e-05	6.891066587111562	0.0754521020604725	0.3770370588648685	18.85510155303782	2	1.2798171207303538e-06	2.0478805754582454e-05
ART4	31.25344009841609	7.517506122072673e-07	2.0133477290065023e-05				6.035585203471908	0.1098917045291256	0.4770770225784168	18.644512650944	2	1.5465625575647132e-06	2.4449334549736275e-05
BRAP	33.883979568193546	2.096124969520288e-07	6.260948974380223e-06	7.563230862391959	0.0559558462336443	0.3096423435915373	2.297153098548636	0.51306651711026	0.9430438306507392	14.58145450971138	3	1.5730503722507493e-06	2.4735798739182325e-05
GLRX5	12.129019891069468	0.0069540107851424	0.0621389146392782	18.12177869391149	0.0004151302425553	0.0067419017144885	13.357618797343044	0.0039237299133984	0.0410794639537185	14.536139127441336	3	1.6663332460586252e-06	2.59609889784496e-05
CCDC57				35.67408735268545	8.775782706351842e-08	3.187064402955013e-06	1.1456858115644803	0.7660583404058658	1.0	18.409886582124965	2	1.9092160466097822e-06	2.9473211163395137e-05
GATA1	17.098066495005472	0.0006746672701114	0.0087414997105791	7.47380410347228	0.0582353706602791	0.3181156642190756	17.99241547373683	0.0004414367459152	0.0065625633122554	14.188095357404862	3	2.591029675097864e-06	3.898082176594432e-05
SC5DL	0.2228843531109764	0.9738130771470976	1.0				35.200439927369665	1.1050606162527128e-07	3.692288342885301e-06	17.71166214024032	2	3.567436337609153e-06	5.2797164821311936e-05
