Gene	Chi^2-statistic of rep3	pvalue of rep3	BH-corrected P-value of rep3	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2	Chi^2-statistic of rep1	pvalue of rep1	BH-corrected P-value of rep1	Average Chi^2-statistic	Number of detected	combined_pvalue	BH-corrected combined pvalue
HBA1	492.3063058157955	2.218100607190829e-106	5.316787155436417e-103	583.8297011717046	3.227129021975777e-126	7.774153813939647e-123	508.4633475979464	6.9905035011736e-110	3.5385928722940764e-106	528.1997848618156	3	0.0	0.0
GSTM3	255.5420882691957	4.140964470366412e-55	3.308630611822764e-52	355.37178194416543	1.024463614152643e-76	9.25474817435144e-74	270.9330332598301	1.9391194533647663e-58	1.7846950314422628e-55	293.9489678243972	3	5.040320338020355e-184	6.622420888565633e-181
AHSP	247.23185166074128	2.5973106819575503e-53	1.9156165245083841e-50	159.316092421738	2.5746651532234463e-34	8.457775028339021e-32	270.78964053787445	2.082705097727678e-58	1.7571088674495838e-55	225.77919487345125	3	5.141375640922604e-140	4.676674381069984e-137
TFRC	138.68631050462747	7.256137046246689e-30	2.174120062481664e-27	165.34654533635282	1.2858628586199177e-35	4.646465439623072e-33	123.48874249890122	1.367694636324825e-26	3.5503949995262895e-24	142.50719944662717	3	1.8243331361465898e-86	9.379451884753665e-84
BLVRB	108.17816878526048	2.706321415548864e-23	4.717856314960456e-21	110.45888968023849	8.741318514676867e-24	1.619833561681275e-21	103.55052661554492	2.6787980213158965e-22	5.11700965430229e-20	107.3958616936813	3	5.087046149883464e-64	1.5424184800608197e-61
LXN	144.42707918630546	4.19564758808065e-31	1.3409289691505755e-28	47.7017766068194	2.4645186586622017e-10	1.2283500928380508e-08	113.31789001947946	2.119362168982149e-24	4.378861754852098e-22	101.81558193753476	3	1.824350272770612e-60	4.79398710566944e-58
TF	95.31691161013018	1.5783647198264765e-20	2.2929334748024632e-18	95.90282558777425	1.1810858897906467e-20	1.855588635981957e-18	101.36373535047238	7.911316214987924e-22	1.4051607957989078e-19	97.52782418279226	3	9.758306148854334e-58	2.3549381675551527e-55
FKBP5	90.73481276395978	1.5230791532942881e-19	1.947104389571418e-17	89.96711984106827	2.226482861904375e-19	3.155057184898612e-17	91.2557330337367	1.177125364320415e-19	1.7271329258521565e-17	90.65255521292158	3	2.2797546339302237e-53	4.729490973021912e-51
CA2	71.3708830680776	2.171062246201993e-15	1.7203425468251834e-13	91.91903474370362	8.478674498529792e-20	1.2765704291848917e-17	100.83574681618056	1.0275140025033117e-21	1.7935434071281944e-19	88.04188820932059	3	1.0339586937714905e-51	2.0722985684487918e-49
SEC14L2	116.34919745859943	4.716287286442935e-25	9.228522959676502e-23	72.04553176306692	1.5565476937734032e-15	1.4998893577200513e-13	75.66200447528496	2.613447039089325e-16	2.5939742964451302e-14	88.01891123231711	3	1.069246021395073e-51	2.1073057004994563e-49
MUC16	7.018371105017156	0.0713145223182184	0.3448127281830957	63.15488650777052	1.2443842125520973e-13	9.084004751630308e-12	186.4232569177268	3.615808093332808e-40	2.033691174272297e-37	85.5321715101715	3	4.03477618197925e-50	7.69535941159752e-48
CDH1	31.880778705871045	5.545159260393629e-07	1.5190567711044031e-05	87.14793122635145	8.975034541569436e-19	1.201158789480043e-16	128.9270536183151	9.21060800121068e-28	2.742593982478145e-25	82.65192118351253	3	2.694539030596731e-48	4.901988313354823e-46
SPTB	89.0435356825822	3.5154495144549645e-19	4.213266243074275e-17	71.06510371816702	2.524435164522073e-15	2.3389862735898744e-13	73.69535113782716	6.897560656595734e-16	6.406504962144517e-14	77.93466351285879	3	2.599717440536128e-45	4.154278207343204e-43
SPTA1	67.7912979479667	1.2679554342464416e-14	9.140719325981114e-13	86.39335928297342	1.3032960386916212e-18	1.7125309948407903e-16	76.75277425483422	1.5254066816968716e-16	1.5920842521133123e-14	76.97914382859143	3	1.0442474564478836e-44	1.62476660164424e-42
ACCSL				138.3977311339507	8.373822889014012e-30	2.0868144144449744e-27	77.69098898118429	9.599030547530466e-17	1.0338360134382812e-14	108.0443600575675	2	7.098123792113151e-44	1.0760937672017695e-41
FECH	64.36364557326876	6.86229191776698e-14	4.633496824475339e-12	75.09628893437586	3.4551682472923096e-16	3.516971961011482e-14	82.99863607844931	6.977371060833656e-18	8.720852422207398e-16	74.1528568620313	3	6.3623093913498986e-43	9.064374524423199e-41
GSTM2	79.42444951180434	4.078358518449902e-17	3.759932834124775e-15	65.78786833256359	3.4026398562845345e-14	2.672921547974819e-12	65.05479616347012	4.882458055936981e-14	3.773282851779082e-12	70.08903800261268	3	2.323201277803706e-40	2.9860712076118286e-38
PKLR	68.86010588153749	7.487155269408172e-15	5.564871683960121e-13	49.92617814813256	8.283686743587679e-11	4.467627171336429e-09	83.97669688622237	4.3032212049772395e-18	5.585360446049946e-16	67.58766030529746	3	8.727542050797665e-39	1.0750331744862747e-36
