"","coefficients.ConditionD...ConditionC","coefficients.ConditionD...ConditionB","coefficients.ConditionD...ConditionA","coefficients.ConditionC...ConditionB","coefficients.ConditionC...ConditionA","coefficients.ConditionB...ConditionA","df.residual","sigma","stdev.unscaled.ConditionD...ConditionC","stdev.unscaled.ConditionD...ConditionB","stdev.unscaled.ConditionD...ConditionA","stdev.unscaled.ConditionC...ConditionB","stdev.unscaled.ConditionC...ConditionA","stdev.unscaled.ConditionB...ConditionA","Amean","s2.post","t.ConditionD...ConditionC","t.ConditionD...ConditionB","t.ConditionD...ConditionA","t.ConditionC...ConditionB","t.ConditionC...ConditionA","t.ConditionB...ConditionA","df.total","p.value.ConditionD...ConditionC","p.value.ConditionD...ConditionB","p.value.ConditionD...ConditionA","p.value.ConditionC...ConditionB","p.value.ConditionC...ConditionA","p.value.ConditionB...ConditionA","lods.ConditionD...ConditionC","lods.ConditionD...ConditionB","lods.ConditionD...ConditionA","lods.ConditionC...ConditionB","lods.ConditionC...ConditionA","lods.ConditionB...ConditionA","F","F.p.value"
"241",-0.556794450407771,0.144820952715684,-0.266952875151695,0.701615403123455,0.289841575256076,-0.411773827867379,8,0.0999424283490993,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.00700536751700045,0.00994824520574842,-6.83702687266917,1.77829492502583,-3.27798522383219,8.615321797695,3.55904164883698,-5.05628014885802,11.6319450597957,2.11738662434881e-05,0.101478349578933,0.00686320347206315,2.17562637800083e-06,0.00411776852541403,0.000309992209280639,2.65696064811242,-5.77500442721876,-3.38611048525442,4.96295975440396,-2.8803585981409,-0.294657918484254,28.8514954175609,1.12251820717402e-05
"242",-0.570551300369075,0.332547351145962,-0.429188812692918,0.903098651515036,0.141362487676157,-0.761736163838879,8,0.114138808978438,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00908109228718964,0.0120384742878689,-6.36875590902532,3.71204641242871,-4.79080283430678,10.080802321454,1.57795307471854,-8.50284924673549,11.6319450597957,4.1115309036419e-05,0.00312541551538211,0.000480355198792658,4.27773866586892e-07,0.141368943645467,2.48614633224126e-06,1.96078719216885,-2.38480128358091,-0.656231459190017,6.67310852711006,-6.29191747380249,4.78360745444741,42.2838481428215,1.54382448419572e-06
"243",-0.71841907094667,0.227641018160186,-0.609574337228152,0.946060089106857,0.108844733718518,-0.837215355388338,8,0.054309183812637,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.010100786891906,0.0051070933593564,-12.31222613656,3.90129912594291,-10.4468511353783,16.2135252625029,1.86537500118163,-14.3481502613212,11.6319450597957,5.03222925406123e-08,0.00222866625658825,2.93533953903503e-07,2.41550096459427e-09,0.0875391588611054,9.4000865694814e-09,8.96678267701324,-2.04004120107412,7.10419151978107,12.0391492819128,-5.86567238230019,10.6258906317446,124.695864534489,4.08996636391018e-09
"244",-0.808614130988503,0.167588705498502,-0.728134080805224,0.976202836487005,0.0804800501832789,-0.895722786303726,8,0.219579908353099,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.00321179401617759,0.0362391858671974,-5.2023281135752,1.0782045486476,-4.68454885199021,6.2805326622228,0.517779261584989,-5.76275340063781,11.6319450597957,0.000244640047934242,0.302794380658696,0.000573943591628862,4.67436647614882e-05,0.614317532001519,0.000101411674540386,0.0951530704895172,-6.68726652862761,-0.84120414605378,1.73295564824482,-7.36958620890359,0.875586858604698,20.5157089063733,6.0836429903702e-05
"245",-0.499131330521761,0.184193591647316,-0.462317349007872,0.683324922169077,0.0368139815138889,-0.646510940655188,8,0.0389826466616464,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.00132455837917016,0.00412370446039051,-9.51955603732626,3.51298568168436,-8.81743068764681,13.0325417190106,0.702125349679446,-12.3304163693312,11.6319450597957,7.7905099271803e-07,0.00447575416983422,1.71742926151405e-06,2.70737035216448e-08,0.496410909420893,4.9521599651976e-08,6.11955181932485,-2.74921263775878,5.2529329940008,9.55458207224064,-7.2516985973329,8.89868199371395,83.8482318307425,3.75512547848756e-08
"246",-0.332305300291877,0.320735583899907,-0.409761715293443,0.653040884191784,-0.0774564150015661,-0.73049729919335,8,0.10147627571572,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0263932352548346,0.0101607259540531,-4.03757431363726,3.89699999935682,-4.97868488684227,7.93457431299408,-0.941110573205009,-8.87568488619909,11.6319450597957,0.00175093315401829,0.00224576474365419,0.00035197208027337,4.98019662266675e-06,0.365782727999261,1.6054901912734e-06,-1.94388017657847,-2.04784863597711,-0.332571146208203,4.09067752313883,-7.05099886491283,5.24484178136271,33.1494765623548,5.51263500581478e-06
"247",-0.513199864771853,0.405380153917116,-0.257387426254031,0.918580018688969,0.255812438517822,-0.662767580171147,8,0.0402068336173684,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0187771957466819,0.0041903779037671,-9.70969453454453,7.6697554599935,-4.86974657927915,17.379449994538,4.83994795526539,-12.5395020392726,11.6319450597957,6.33900081500859e-07,6.96917513038604e-06,0.000421267941288689,1.10944374888144e-09,0.000442620915064467,4.12442163630529e-08,6.33500741834902,3.94539289165589,-0.519696597334844,12.8278959931176,-0.582206572151416,9.08955275580349,109.921206371986,8.30424596237453e-09
"248",-0.356215236046901,-0.133614250058161,0.171956920425349,0.22260098598874,0.52817215647225,0.30557117048351,8,0.103635370641955,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.0126433868509374,0.0104653047756937,-4.26463807897104,-1.59964078183385,2.05868238238967,2.66499729713719,6.32332046136072,3.65832316422352,11.6319450597957,0.00117679822074643,0.136469774255073,0.0626435625222879,0.0210804678577826,4.39179547795467e-05,0.00344238651494202,-1.53480072794258,-6.03653968040645,-5.54573955878303,-4.55493946067806,1.83514611649388,-2.78455302792741,14.2423470586306,0.000333378346777992
"249",-0.266095518670417,0.181700437087953,-0.166718084062161,0.447795955758369,0.0993774346082552,-0.348418521150114,8,0.0810150098457701,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.0108272647337598,0.0075926239256288,-3.74013471815372,2.55391040199397,-2.34332429745757,6.2940451201477,1.39681042069616,-4.89723469945154,11.6319450597957,0.00297178905464517,0.0258108404013871,0.0377789901127422,4.58309641082904e-05,0.188549811215329,0.000402528807891252,-2.48572100889134,-4.49067347053385,-5.06781358569953,1.75368587963593,-6.53678393234006,-0.567253340245557,15.2585376402899,0.000244163053046008
"250",-0.0165363286947706,-0.186148795835098,0.177543479242776,-0.169612467140327,0.194079807937547,0.363692275077874,8,0.136170320137173,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,0.816496580927726,-0.00850480243316542,0.0158312627461325,-0.160963329716667,-1.81195781442352,1.72819433599168,-1.65099448470685,1.88915766570835,3.5401521504152,11.6319450597957,0.874883988814647,0.0958675016970311,0.110377385190442,0.125457178702943,0.0840479484254002,0.00426091267375989,-7.43383120842648,-5.72391869074202,-6.06252307757175,-6.22898874636464,-5.82860322952927,-3.00194257378348,4.18718878337401,0.0313543462224377
