,x
TN31,1
TB145,1
TB32,2
TB28,2
TB36,1
TB2,1
TB49,3
TB53,1
TB85_1,1
TB159,2
TB64,2
TB153,2
TB156,1
TB87_1,1
TN21,1
TN24,2
TB27,3
TB138_1,1
TB86_1,1
TN35_1,1
TB55,2
TB52,2
TB150,3
TN17,2
TB58,3
TB1,3
TB65,2
TB12,1
TB158,2
TB4,3
TB137_1,2
TB113_1,1
TB31,1
TB103_1,1
TN28,2
TN9,2
TB62,1
TB149,2
TB125,2
TB133,1
TB135,2
TB37,3
TB110_1,1
TB60,3
TB48,2
TB59,1
TB63,1
TB123,1
TB141_1,2
TB155,2
TB144,2
TN34_1,1
TB109_1,2
TB17,2
TB39,1
TB107_1,1
TB115_1,2
TB151,3
TB117,2
TB154,1
TB93_1,2
TB74,1
TN12,2
TB41,2
TB99_1,2
TN26,1
TB69,2
TB130,2
TB101_1,1
TB45,2
TN10,1
TB124,3
TB26,3
TB126,2
TB100_1,2
TB105_1,2
TB106_1,2
TB94_1,2
TB50,1
TB3,2
TB120,1
TB24,3
TB161,2
TB82,2
TB121,2
TB152,2
TB114_1,2
TB134,2
TB47,2
TB78,1
TB8,1
TB91_1,1
TN33_1,1
TN27,2
TB6,2
TB98_1,1
TN7,1
TB108_1,2
TB84,2
TB61,1
TB96_1,1
TB88_1,2
TB97_1,1
TB111_1,1
TB162,2
TB75,3
TB23,2
TB77,3
TB90_1,1
TB116,2
TB80,3
TB76,3
TB119,2
TB40,1
TB104_1,1
TN15,2
TB102_1,2
TB160,3
TB71,1
TB89_1,3
TB143,1
TB146,2
TB33,2
TB42,1
TB72,3
TB140_1,1
TB81,3
TB51,1
TB95_1,2
TB92_1,1
TB46,2
TB38,1
TB147,2
TB43,2
TN32,1
TB118,2
