Gene	N145	Set2_MIX	M value	A value	estimated variance	adjust mvalue	pvalue	z statistic
43160	17.627001189730777	17.585775671240874	0.04122551848990241	17.585775671240874	0.08415222150769228	0.07747489044496325	0.7894138110449893	0.2670718889760257
43161	19.136346077234418	18.553955454541573	0.582390622692845	18.553955454541573	0.0919893288439533	0.6319143849231356	0.037207413892173594	2.083480867219179
43164	16.62628735919007	16.595860519384026	0.03042683980604366	16.595860519384026	0.08431883459375719	0.04556509180811208	0.8753102744547652	0.15691698390812317
43165	13.719701740883062	13.90149475130612	-0.18179301042305696	13.90149475130612	0.1318718552682865	-0.27007891408786266	0.4570405402162967	-0.7437288365272006
43344	16.051165579459607	15.015800101651536	1.035365477808071	15.015800101651536	0.11110205673427967	0.9918605643474749	0.00292317868052834	2.9757029396234445
43345	17.91512665033669	17.591973110590747	0.32315353974594174	17.591973110590747	0.08418643069010642	0.35950258948332203	0.21533528348926712	1.2390275825899546
43346	13.754197721788694	12.646167135974688	1.1080305858140065	12.646167135974688	0.14907861271917405	0.9734398594027811	0.011696663449289508	2.521166071361733
43347	17.32493121165363	16.63016547421574	0.6947657374378906	16.63016547421574	0.08407700068606391	0.7108531464159509	0.01422412416134247	2.451552989378892
43348	15.455428111791662	15.538378143747842	-0.08295003195618023	15.538378143747842	0.10012059059674427	-0.10490625240053342	0.7402344768441408	-0.33154285385550164
43349	16.421510515153578	16.30800630691715	0.11350420823642793	16.30800630691715	0.0871574007304374	0.11993047987181504	0.6845698721936853	0.4062350918902844
43350	18.363331398386126	18.076506060392592	0.28682533799353394	18.076506060392592	0.08767321767365391	0.3302188973983452	0.2647474656850113	1.11524028841523
43351	17.069343286088127	16.496507018914727	0.5728362671734004	16.496507018914727	0.08513708841272177	0.5851169547388709	0.04492904508232912	2.0053181556717767
43352	18.70547140932875	18.858094155841133	-0.15262274651238172	18.858094155841133	0.09480659880000844	-0.09925655841747971	0.7471806681905917	-0.3223590960958419
43353	15.610049728213804	15.852101674411305	-0.2420519461975008	15.852101674411305	0.09411904002230409	-0.2517379940957718	0.41189728387312363	-0.8205593960807308
43354	18.36807932244016	18.06589562607611	0.3021836963640503	18.06589562607611	0.08758342739241948	0.3454353760657707	0.24311814736964654	1.1672283934304812
43358	14.77972340041099	14.52944639157017	0.25027700884082016	14.52944639157017	0.12104040454902637	0.18665534373436843	0.5916083258655895	0.5365068169199867
A1BG	17.636808670509154	17.599793629163766	0.0370150413453878	17.599793629163766	0.08423005455579086	0.07348945421578634	0.8001011512990888	0.25321619647489074
A1CF	18.590941810595343	18.8540593893632	-0.2631175787678579	18.8540593893632	0.09476922431813745	-0.20980236508366468	0.4955443906539334	-0.6815170363583659
A2M	20.13118028345577	19.295892958675577	0.8352873247801931	19.295892958675577	0.09886197685203585	0.8941845730010145	0.004456667493082082	2.843888255315121
AAAS	17.235976960380246	16.672985611607192	0.5629913487730533	16.672985611607192	0.08380359105813043	0.58023729177186	0.04503220461543053	2.004353519256888
AACS	16.32201251985222	16.376687232869973	-0.05467471301775362	16.376687232869973	0.08635392957279492	-0.046052779429433754	0.8754682627553033	-0.15671652523937424
AADAC	17.27843428027123	16.607512525173625	0.6709217550976057	16.607512525173625	0.08423439256663665	0.6863845178801501	0.018032295418897774	2.364954310131617
AADAT	17.53141577679947	16.60448193260009	0.9269338441993789	16.60448193260009	0.08425612646238226	0.9423124152151788	0.0011689862905516994	3.2463412369969573
AAGAB	13.423213360432644	13.462654706500823	-0.03944134606817862	13.462654706500823	0.13833597948108578	-0.14421761226058794	0.698201764152067	-0.38774903546424866
AAK1	15.922017182406636	15.98405693948715	-0.062039757080514235	15.98405693948715	0.09184895778039098	-0.06681814800442432	0.8255020443645331	-0.22047396768639174
AAMDC	16.692879265466846	16.71093606160608	-0.018056796139234166	16.71093606160608	0.08358713664865855	0.00019209204278225478	0.9994698732972788	0.0006644153399730477
AAMP	16.93621584569606	17.135305545454575	-0.1990896997585132	17.135305545454575	0.0826684231849093	-0.17100973048692525	0.5519954465025971	-0.5947726579598983
AAR2	14.949925601361135	14.647712790512172	0.3022128108489639	14.647712790512172	0.11873137306292716	0.24341782457537986	0.47992026682979494	0.7064308093137763
AARS	19.409829971167383	19.28898803891988	0.1208419322475045	19.28898803891988	0.09879801582736664	0.17965194513080074	0.5676236817292885	0.5715547158436244
AARS2	17.688630910535057	17.694518841935462	-0.005887931400405222	17.694518841935462	0.08479716406070087	0.032069243305022366	0.9123078028252255	0.11012807514904707
AARSD1	17.549392642926854	17.319151938474192	0.23024070445266176	17.319151938474192	0.08301433434087849	0.26189409203354597	0.3633663962152104	0.9089691768588333
AASDHPPT	16.705760779526898	16.626933255202832	0.07882752432406548	16.626933255202832	0.08409891387716273	0.09482630764185296	0.7436759182192065	0.3269893792155392
AASS	19.534972932922248	19.205299361207693	0.32967357171455447	19.205299361207693	0.0980227984795807	0.38742627903810967	0.2159223211706328	1.2374439221241118
AATF	15.415235229795913	15.89983281730107	-0.48459758750515647	15.89983281730107	0.09327741549415627	-0.49248845954900655	0.10684665479389381	-1.6125300107506844
ABAT	19.525899846008603	19.22516607550851	0.3007337705000914	19.22516607550851	0.09820682602058764	0.3587374698103557	0.2523179197807103	1.1447374820919747
ABCA1	17.617546370586396	17.256257184053897	0.361289186532499	17.256257184053897	0.08285181471580041	0.39176080989970996	0.1735019529859233	1.3610371393879699
ABCA10	15.152567230858132	15.33899315885707	-0.18642592799893798	15.33899315885707	0.10423600014457066	-0.21650055900309662	0.5024885631856191	-0.6705793154324434
ABCA2	14.317229823471147	14.461171554591255	-0.14394173112010833	14.461171554591255	0.122330742266889	-0.2103210982661693	0.5476182162376557	-0.6013329968484007
ABCA6	18.72652384298624	18.483638220674592	0.2428856223116469	18.483638220674592	0.09133797266430635	0.29152101103282013	0.3347486271559875	0.9645931591309713
ABCA8	18.301658853274297	17.67358476270527	0.6280740905690259	17.67358476270527	0.08466587179671856	0.6657090729597442	0.022145418098535263	2.2878644163773507
ABCB1	18.306561718598267	18.513127428229154	-0.20656570963088683	18.513127428229154	0.09161113438397994	-0.15755776029659918	0.602677601078413	-0.5205538564030441
ABCB10	18.645313517720123	18.536736237584893	0.10857728013522916	18.536736237584893	0.09182982535955109	0.157883498316308	0.6023608058893737	0.5210085634537274
ABCB11	18.762272058179317	18.705902721479607	0.056369336699710004	18.705902721479607	0.0933968329472459	0.10781276948177498	0.7242532742067017	0.3527801393429465
ABCB4	18.608280856224127	18.70602054286059	-0.09773968663646215	18.70602054286059	0.09339792433954616	-0.04629476532327692	0.8795948914677998	-0.1514827827683321
ABCB5	12.813678845496975	12.729149111721062	0.08452973377591277	12.729149111721062	0.1480210852991189	-0.04705399942308697	0.902659582359653	-0.12230233558156411
ABCB6	16.541807937960275	16.79807385045054	-0.25626591249026376	16.79807385045054	0.0831792639813661	-0.2357963113703454	0.41359789949067727	-0.8175785154660751
ABCB7	17.314612230306395	17.28588127831454	0.028730951991853715	17.28588127831454	0.0829228688534622	0.059764262599703355	0.8355871893281366	0.20754123939723987
ABCB8	17.457087058370952	17.658869780586738	-0.20178272221578553	17.658869780586738	0.08457556050598936	-0.1643760370095384	0.5719254247059917	-0.5652181033132
