Gene	T112	N112	T113	N113	T123	N123	T125	N125	T127	N127	T131	N131	T135	N135	T137	N137	T141	N141	T145	N145
GTPBP3	0.5727845100014126	-0.4897475669335561	-1.7719708598683126	-1.118756272716598	1.0441205938786249	-0.5440071424249323	-0.9768310008642136	-0.3510191134662527	-0.0931749200044566	0.3843023949622683	-0.0543276441845794	-1.1571632003751506	0.1268211595146611	-0.9375837301125978	0.8708596455240531	-1.2923898029355891	-0.8721193419018572	-0.8838741639829221	0.004741434768319	-0.8446249281523429
GTPBP4	0.169247976029275	-1.2476566152097928	1.132673554960372	-1.09220848375206	1.7480071707924336	-1.3332401827464504	-0.0808674901201837	-1.1631532915220657	0.3837700018783013	-0.704380727668883	0.305629957330304	-0.5498739300350347	0.6051846764599403	-1.1945978423600403	-0.5870840864077312	-1.015958439983965	-0.0589775798022936	-1.353220998346404	0.8812895111917658	-0.9609308450803568
GTPBP6	1.075440117910768	0.3708952361826508	1.237209783732964	0.965699383847664	-0.3352842531260329	0.453542225114924	-0.25642406548909	0.5810022487473943	1.598684839653054	0.6602373739320421	-0.3993193226421638	0.3928766946527261	1.9370817856781355	0.4028222823854121	0.1671162474691511	-0.7715014854537816	-0.0235882924819431	-0.355002891781303	1.9797723620434795	0.2599100944981012
GTPBP8	-1.9130031903846496	-0.8335197028091446	-0.9194703596788726	-2.2678495047952034	-1.574643971819059	-1.382456776945158	-1.3335008729608513	-2.4629763009015955	0.8554051619932419	-2.0281567443657176										
GUCD1	1.1382127710140373	1.3337890859530377	0.2204853757717786	0.9263564350213628	0.8600106683528984	0.6307185032035743	-0.4272644373683691	0.63832177063072	0.993497144347768	0.5857361429462294										
GUCY1A2	-0.4194320152878537	1.0519817850585862	-0.2847087478960735	0.1393862441611625	-0.2155606168854394	1.9773720098371448	-0.1496704923030462	1.0345515468752338	0.9704205845710264	1.2773291450419773	-0.4820507012722956	0.1202975372718104	-0.806202751553603	0.4665305947615552	0.3383322884000971	0.4901597824482164	-0.0083239321790269	0.4833202782424972	0.0385875148176552	-0.1012898782576839
GUCY1A3	-1.301523964508345	0.6806677246361151	-0.3467610897803619	0.9048663180285328	-1.3668923308272856	1.3342646467196853	-1.8761905698957744	2.557804051426711	-0.6342803988320768	0.4858064492258823	-1.1591460375961316	1.4203297530050896	-0.3286616290292214	1.5956301486792437	0.4499718494015068	2.367684743379164	0.6049833622556517	1.536437749207114	1.699338161612017	2.91012027064524
GUCY1B3	-1.902245453533869	1.2684432297968018	-0.8445711446855036	1.0727304397030886	-1.398092622547655	2.7009629334517062	-1.889306591389144	3.6093778681443545	-1.087386620596396	0.7296989930920368	-1.671758642798717	0.7565415104185553	-0.9417466787502832	1.2993037307422413	0.4558044748190996	2.186480239173941	0.1117009503367033	1.5354699247543675	1.1347059605251786	2.9265691603623245
GUF1	0.8213079671863736	-0.1513983295136575	0.145541745680162	0.0692516842890591	1.155270774162376	-1.454021934402561	0.1999731020768194	-0.4560887216531253	1.3327562930445167	0.8618283454940279	-0.5898763592467683	1.2631895244790718	0.4660295638765283	0.920542925410786	1.6611869137509616	0.3634507020666184	-1.8228628507175455	0.0259458230767737	4.0056955555524425	0.605303997088125
GUK1	0.9960972033020152	-0.164047031171321	0.3615333878617988	0.8646031475261715	-0.0569023415695683	-0.6989732129955064	-0.1425497901373072	0.7549901169051992	-0.4684821771230106	0.7373337232100943	0.0938734045638195	0.4269006666627378	1.0876042849202148	0.0613308660945627	1.0050150743195156	-0.1746958108674494	0.3042037869938975	-0.5472024714696222	-0.1489340716099919	-0.4627584894620284
GUSB	-1.6636582617448554	1.1403038988773633	-2.7009486898824995	1.4153916823414718	-1.1296603775230971	-0.0875781887160642	1.437228513658613	0.6707869016228816	0.8537061781275315	1.4275888776977927	-0.7629710464952418	1.6599919694984169	-0.0979593445241784	2.10806535909657	3.914519061078464	0.6625858299739007	1.03913361287828	0.9131822750410682	-0.7684728922399789	0.6254603263304301
GXYLT1	0.641655064575755	0.9345673911473992	0.7395930879664321	1.18154395662968	0.7488292578565657	0.8398024472754492	0.984157369554216	0.2764084196997756	0.1611599567901556	1.273071791260698	0.7125349359931061	1.2640509225985102	0.3212589468208381	0.8788064102022373	0.4009128260675088	1.239540059128358	0.2704221252799772	0.5590050747888071	0.0864078153245765	0.9146906456145872
GYG1	-1.3891826459360868	0.5570471454119019	0.3276607332084806	0.5023483490834771	-0.7955366346891274	0.3513885248893291	1.284354855018054	1.2166246607990507	-1.1284726927641957	0.0531978757525699	0.3263583387036183	0.1509539257626899	0.1890483108804798	0.4681664481462491	-0.767071129292578	0.2206976745136766	-1.210684414693736	0.2289517531404351	-0.0580577893009897	0.8439312399568873
GYG2	-1.761066231701801	2.922438908543104	-2.076580926869003	2.684043479073802	-1.88069063443586	2.0796299076741733	-3.4749360000847997	0.376400914237698	-2.198821912262533	1.3004108730775663	-1.910931543061204	2.403560499642424	-3.274999216258157	2.618880632704798	-3.059523869818124	1.4746717327865169	-3.7347887134394	2.141220168049958	-1.9110624418228823	0.7380447352834804
GYPA	-1.73522841814375	2.183777986208145	1.778982852618856	0.4092818514436194	-1.028544322254653	-0.2350043523486177	-0.0955203976159079	0.471207392255754	-1.3697559308693288	-0.8121353914020822	-0.6112280461389238	0.3415946193385309	-3.67705902524494	-1.369542887374895	-2.692964059945785	-0.3321486792171115	-3.959862612475776	-0.8591978168322335	-4.662309213543103	-1.6356117331519442
GYS1	-0.1443727285184977	1.8162125385177148	-0.3235185913040499	1.1651806980648698	-1.4265875602953664	-0.0635749013798428	1.9768616483699493	1.4621428254465028	-0.2108447363431908	1.5340822475741458	-0.1211944112485562	0.8760785398568813	-2.114478943491526	0.9006546915608767	-1.26715780204273	0.7648970631401478	-0.4339925801278731	1.7154346359013306	-0.0320451067780611	1.529910512246343
GYS2	-0.2977438410640224	4.144605107689453	1.0092522197207014	3.612857659241762	-2.6474386356581423	0.0856843725263644	-2.438469100092516	1.9298217884663775	-1.7992422256883254	3.0685677784410648	-2.871122151602719	1.996515663503527	-3.748248629088637	1.5955059347956118	-3.10289368352353	-0.093097407926304	0.1398025307501873	4.329876676102963	-0.679429361280265	2.7188241279717498
GZMA	-1.5453415738238896	1.6315719389335122	1.0188965842672195	2.8299307202457253	-1.2299591990775929	0.5719763830996997	-1.7937156937274692	3.586700342774591	-1.736233634105116	0.1852606882176997	-1.0864674708672	-1.5777885875816489	-0.7808136664473362	-0.7560998532278247	-0.3781250890449943	0.4082802389805373	-0.7579156101748857	-1.1566541914394033	-2.1946777877354555	1.9719861208942
GZMH	-0.6277821996018047	0.2227402399013732	1.0714344003951954	2.5233230734809697	-1.5472312352533464	0.5154897845082653	-1.0168662714796086	2.479228144088852	-1.2509054322426842	-0.9484118601097908	-1.5729239190534907	-1.060862898053732	-1.258450466926842	0.5718861406906663	-1.2818472828483818	-0.1040248354368774	-0.4894549404258	1.8069063770401717	-2.2081187397792044	2.4408719108855736
GZMK	-3.295862317866355	1.0089464215689392	-2.367472394231217	2.597564617738785	-2.8474176097102557	0.8167986777158416	-3.665434969475012	5.8063620282497626	-4.452694027310472	-1.245112837071748	-1.406853436827607	-1.9678812863523496	-1.6082169161424464	0.2046775538396539	-1.2966741410713296	2.1374311400274166	2.013293649486372	2.1506288453385127	-1.5403883090383137	2.1852192334520075
