	T137	T135	N141	T141	N113	T123	T125	N127	N112	N125	T145	N137	N135	T131	N123	T112	N145	T127	N131	T113
T145	0.2425839109564756	0.34854483096320654	0.02875830236929054	0.27885745258351646	0.010007911959532058	0.11632053004391538	0.15814801401215764	-0.03746094632394456	-0.028936959010742967	0.09352267582130293	1.0	0.19339853524515518	0.1616171416964193	-0.02777389151351332	0.06023343803934493	0.0945824218169767	0.19369581247411102	0.17781056503349776	0.15453762078836758	0.260757043328506
N137	0.17661533377470645	-0.15735456411185697	0.6496404174673861	0.07829806441687324	0.6238167828756578	-0.275684717626064	-0.17179640550979744	0.5274684836633801	0.6194121567994239	0.6471780155785103	0.19339853524515518	1.0	0.7891066570666967	-0.29136239410379866	0.5396171916985932	-0.08585466248458706	0.7735364560234664	-0.1130075826196564	0.7488569293666913	-0.030798439898747105
N135	0.1423695188573963	-0.1295223868282749	0.6319157893379673	0.02657380207654659	0.6457849071441529	-0.1725611849730373	-0.18104853734824955	0.5892012158571226	0.6579892936326524	0.569828125622779	0.1616171416964193	0.7891066570666967	1.0	-0.23371574185767438	0.5111088044719176	-0.03136456684549406	0.6613270021860551	-0.04431683266169589	0.8158568374098614	0.05586846718018702
T131	0.0880427982931542	0.3503280945170799	-0.2418143811231738	0.1477813057615897	-0.2561239916366859	0.40124456159526184	0.2688704483356395	-0.24505392620310576	-0.30644662235471976	-0.26035076658195194	-0.02777389151351332	-0.29136239410379866	-0.23371574185767438	1.0	-0.20491855168104928	0.3200945729839642	-0.1991957400784734	0.26159375470801577	-0.21842740062938978	0.15357367145072004
N123	0.03753844248088108	-0.07212397320529454	0.5257262625846268	0.016802597921508282	0.634445506370991	-0.08003127162162701	0.043866657043844515	0.5187611290129607	0.6388263114052686	0.6221834234490284	0.06023343803934493	0.5396171916985932	0.5111088044719176	-0.20491855168104928	1.0	0.09274955075389346	0.5240201702348908	0.01488378673674479	0.4388379254944061	0.13630184815693233
T112	0.10301396369826393	0.31219930235619464	-0.05561285983841168	0.12461245896060018	0.2007300474980528	0.518438612417117	0.23701995772509651	0.1565810716016226	0.10078003721984542	-0.04520275367848295	0.0945824218169767	-0.08585466248458706	-0.03136456684549406	0.3200945729839642	0.09274955075389346	1.0	-0.1020912561303923	0.563785946342231	0.08077837603524704	0.441160762312666
N145	0.11839749111032447	-0.10175292458348208	0.5813900735929559	0.1567623848033982	0.502035666307643	-0.2873646350233459	-0.13426556382470603	0.38720104748776824	0.5350196601105082	0.6509007508846564	0.19369581247411102	0.7735364560234664	0.6613270021860551	-0.1991957400784734	0.5240201702348908	-0.1020912561303923	1.0	-0.11082116527816609	0.5966008973480126	-0.07017633579015722
T127	0.14205572349810616	0.22709212512863577	-0.15537667951720704	0.09206167293180362	0.12451191607022301	0.5644773089910153	0.16258670583977897	0.1854551298734337	0.025577609544018422	-0.002372926794512886	0.17781056503349776	-0.1130075826196564	-0.04431683266169589	0.26159375470801577	0.01488378673674479	0.563785946342231	-0.11082116527816609	1.0	0.05992786369788411	0.39520853087269103
N131	0.10851580294920397	-0.1470379973541669	0.6252678161258266	-0.05279495263664897	0.6710817531841968	-0.11729181318472348	-0.22983208660122442	0.674757651431378	0.6539526803294937	0.44935807175689557	0.15453762078836758	0.7488569293666913	0.8158568374098614	-0.21842740062938978	0.4388379254944061	0.08077837603524704	0.5966008973480126	0.05992786369788411	1.0	0.07994875869910016
T113	0.14455329249991844	0.24099206541303728	0.0003695770484434263	0.1622502945972222	0.2663915390670845	0.40916906461547675	0.24944669490149743	0.15253014187001945	0.17561708121983194	0.11546079637627266	0.260757043328506	-0.030798439898747105	0.05586846718018702	0.15357367145072004	0.13630184815693233	0.441160762312666	-0.07017633579015722	0.39520853087269103	0.07994875869910016	1.0
