Gene	Chi^2-statistic of rep3	pvalue of rep3	BH-corrected P-value of rep3	Chi^2-statistic of rep2	pvalue of rep2	BH-corrected P-value of rep2	Chi^2-statistic of rep1	pvalue of rep1	BH-corrected P-value of rep1	Average Chi^2-statistic	Number of detected	combined_pvalue	BH-corrected combined pvalue
HK3	1.1616962239473911	0.7622050228918931	1.0	4.064003840284681	0.2546352957131473	0.725364320898272	1.8907486979429708	0.5953888098868025	0.9777317617670704	2.372149587391681	3	0.624996729181443	1.0
ZBTB24	1.7538888492449605	0.6250202658390533	0.9923322253460578							1.7538888492449605	1	0.6250202658390533	1.0
ZC3H4	1.6592370208015348	0.6460340322792486	0.9944091028244398	3.616256394133579	0.3059941123791145	0.7864222795746305	1.838836732772479	0.6065203135645767	0.9785516580920756	2.3714433825691974	3	0.6252172151068303	1.0
C12orf71				1.752769080178423	0.6252664384238154	0.9727264127626548				1.752769080178423	1	0.6252664384238154	1.0
ZNF354B	3.0147680303564584	0.3893538361845775	0.860563527279329				1.3648334252526066	0.7137982728690958	1.0	2.1898007278045326	2	0.6254498686354202	1.0
FAM76A	1.751722808434125	0.6254965066901192	0.9925952509342708							1.751722808434125	1	0.6254965066901192	1.0
SLC35D1	1.751675636236951	0.625506880762803	0.9924474553621968							1.751675636236951	1	0.625506880762803	1.0
FGF20							1.750916069142465	0.6256739386189962	0.9842018263795398	1.750916069142465	1	0.6256739386189962	1.0
MTO1	1.7173639232148734	0.6330803231312083	0.9926368173641906	3.766195078116041	0.2878427718284559	0.7670500412995027	1.62594128226894	0.653522216856643	0.9932831291782996	2.369833427866618	3	0.6257198769036008	1.0
INTS5	4.665673251517328	0.1979801638873357	0.634012629042009	1.7148059615713445	0.6336471238061043	0.97454091588566	0.7283507242124866	0.8665161722907002	1.0	2.369609979100386	3	0.6257896438147807	1.0
LILRA1	1.7502587981132882	0.6258185196199395	0.9926133938984252							1.7502587981132882	1	0.6258185196199395	1.0
TTC24	1.749522005737647	0.6259806172777149	0.9923780023906632							1.749522005737647	1	0.6259806172777149	1.0
SMAP2	1.326891904767106	0.7227574483727319	1.0	1.0838943592767425	0.7809634030220847	1.0	4.693577894443125	0.1956599599333083	0.6452317375781151	2.3681213861623243	3	0.6262544329080502	1.0
CTNS	1.7476426894828343	0.6263941911945123	0.9923773141396208							1.7476426894828343	1	0.6263941911945123	1.0
YIPF2							1.7476332349766386	0.6263962722319341	0.9841148137920702	1.7476332349766386	1	0.6263962722319341	1.0
IMP4	2.0840779456566976	0.555140613384091	0.9630338702961218	3.5592034139498825	0.3131644233898939	0.7941190483644783	1.45968355969579	0.6916061055286138	0.9998315311111932	2.36765497310079	3	0.6264000660176239	1.0
MAGEB10	1.747019418121941	0.626531388858528	0.9919390614887							1.747019418121941	1	0.626531388858528	1.0
UGT2B10							1.74698396202633	0.6265391941844312	0.9840339438292244	1.74698396202633	1	0.6265391941844312	1.0
