	PC1	PC2	PC3	PC4	PC5
ConditionB_rep3	107.88016780474923	-32.198884669527125	-29.505878153878385	-21.812122138394077	-31.239160043238552
ConditionA_rep2	-39.11303753619103	-59.535359512753324	31.896547076724026	-18.803629268880204	-1.3319749745514766
ConditionD_rep1	34.962982488951766	77.30800663787834	28.805611094255102	-6.814245309843622	14.358289818763325
ConditionA_rep3	-41.0101802096084	-67.14950454405711	38.748820515285644	7.297136007642321	22.519472000907612
ConditionC_rep1	-100.63984321363526	22.8073324315503	-37.889637743397714	17.672464256020675	-26.343689102964085
ConditionD_rep3	33.43239450420806	76.1144705929787	30.159106714724583	-2.6650314069962837	-18.925088169199384
ConditionC_rep2	-87.88862822609595	16.48745544358593	-35.051758321772446	-40.01109793577375	-2.3820870026878396
ConditionB_rep1	107.06734688298039	-31.207874930867145	-31.097806103610587	-21.75441831547036	31.930345924488872
ConditionA_rep1	-41.390486158296895	-68.90746413856148	40.181832752753145	10.896199369293317	-19.94494664028813
ConditionD_rep2	31.958677332845497	69.49073866575196	34.06248258021014	9.198491023930407	4.957682424269998
ConditionC_rep3	-100.30238209934896	23.233918620605518	-39.40204907613183	17.18001753774803	27.644776211530345
ConditionB_rep2	95.0429884294415	-26.442834596584554	-30.907271335161717	49.61623618072356	-1.243620447030682
