Gene	T141	Set2_MIX	M value	A value	estimated variance	adjust mvalue	pvalue	z statistic
43160	17.9778077986234	17.815822460773973	0.16198533784942626	17.815822460773973	0.10691783497240409	0.14734354642343217	0.6522667573226919	0.45061541128115606
43161	18.623874010343393	18.784002508285678	-0.160128497942285	18.784002508285678	0.11971214922112558	-0.13714711332026897	0.6918207974772939	-0.39638531533838095
43164	16.548267555984	16.82590677597156	-0.27763921998755947	16.82590677597156	0.10266939150526833	-0.3173720805690072	0.3219367585597144	-0.9904857342885307
43165	13.936111154386808	14.131535133378884	-0.19542397899207664	14.131535133378884	0.14547461954671753	-0.24336360298514886	0.5234341530739155	-0.6380607226689414
43344	16.03766365294636	15.245844222318683	0.7918194306276778	15.245844222318683	0.12530282007639837	0.7521760945293039	0.03359470992456492	2.124902972174319
43345	17.952133303914753	17.822019902440605	0.13011340147414785	17.822019902440605	0.10698256055293301	0.11568643498738101	0.7235692870484589	0.3536925758375819
43346	13.40830241257171	12.87619787972194	0.53210453284977	12.87619787972194	0.16347704710280522	0.4540426293311613	0.26145014419952695	1.1229702158476287
43347	16.679632941237667	16.86021175602642	-0.1805788147887526	16.86021175602642	0.10256106730255987	-0.21982916267423724	0.4924441999918632	-0.6864264975045058
43348	15.967854165426825	15.768423239648598	0.19943092577822696	15.768423239648598	0.11525786978032834	0.15759309320032316	0.6425069502381515	0.4641965255950141
43349	16.788742601491343	16.538052326468442	0.250690275022901	16.538052326468442	0.1044587121841763	0.20822790114625755	0.5194016365576937	0.6442680399751657
43350	18.347609846886176	18.306553005763774	0.041056841122401266	18.306553005763774	0.11291882696973154	0.044751846084282065	0.894053752072039	0.1331765549935385
43351	16.945840928877946	16.72655319897454	0.21928772990340661	16.72655319897454	0.10311084100528783	0.17835079531094455	0.5786062162202181	0.555421754189508
43352	19.18544160398095	19.088141262095988	0.09730034188496361	19.088141262095988	0.12411037930693128	0.13267456042917508	0.7064687670992176	0.3766028531928295
43353	15.842997979546798	16.082147206940636	-0.23914922739383826	16.082147206940636	0.11002562519283687	-0.2821555516337711	0.3949738503715775	-0.850631923269324
43354	18.338452553131212	18.295942568608016	0.04250998452319621	18.295942568608016	0.11277437503487378	0.0457862546739769	0.8915508619384538	0.13634207682222885
43358	14.209205444812449	14.759489225611285	-0.5502837807988357	14.759489225611285	0.13475708982822732	-0.590529505964545	0.107689469048297	-1.6086656573641709
A1BG	17.952689083333322	17.829840423922967	0.12284865941035505	17.829840423922967	0.10706472924353386	0.10869352423833872	0.7397493147983596	0.3321853374014868
A1CF	19.155941542784063	19.08410649499141	0.07183504779265348	19.08410649499141	0.12405203148428046	0.10704486045956274	0.7611863880118285	0.3039232187342231
A2M	18.64128615658537	19.525940123495616	-0.8846539669102462	19.525940123495616	0.130441503175941	-0.831440625555544	0.021329784850718157	-2.3020955407234247
AAAS	16.945059074232745	16.903031924071914	0.04202715016083047	16.903031924071914	0.10245667438538472	0.0034257570987057395	0.9914607798683087	0.010702529627863435
AACS	16.596151793823548	16.606733313345217	-0.010581519521668525	16.606733313345217	0.10389376087631591	-0.052595651925707476	0.870380209490129	-0.16317555884156182
AADAC	16.256148530828952	16.83755879039579	-0.5814102595668373	16.83755879039579	0.10263010581358539	-0.6209830044696729	0.05257502548328547	-1.9383952009257153
AADAT	16.335956176467338	16.834528195583164	-0.4985720191158265	16.834528195583164	0.10264007586414259	-0.5381867841397148	0.0929834606674038	-1.6798656384687631
AAGAB	13.861265464271119	13.69269261847698	0.168572845794138	13.69269261847698	0.15211310384204782	0.11158959502708549	0.774790164096604	0.28611484220307215
AAK1	16.172448947442064	16.2141026291274	-0.0416536816853359	16.2141026291274	0.10812551623327057	-0.08486154309076177	0.7963486164316922	-0.25807552979782883
AAMDC	14.898365513620977	16.940982400488558	-2.042616886867581	16.940982400488558	0.1023921653223826	-2.0806007061975818	7.919274918409825e-11	-6.502125952156023
AAMP	17.127725590574688	17.365352136911326	-0.2376265463366387	17.365352136911326	0.10329687332499018	-0.2662420462504521	0.40745160443391903	-0.8283865795566173
AAR2	14.924076720719613	14.877755978413159	0.04632074230645422	14.877755978413159	0.1325313895714289	0.006630262180938706	0.9854692718011157	0.018212573872314543
AARS	19.70506776261195	19.519035202947414	0.18603255966453602	19.519035202947414	0.1303416493134696	0.238964544130227	0.5080358187443876	0.661899209026717
AARS2	17.626490599841304	17.92456567070943	-0.29807507086812635	17.92456567070943	0.10810178659145739	-0.3088743797948421	0.3475088776623587	-0.9394322185875157
AARSD1	17.527820756880846	17.549198618296625	-0.02137786141577891	17.549198618296625	0.10449392291676105	-0.044715546595482714	0.8899804600973535	-0.13832893298307164
AASDHPPT	17.187972933504113	16.856979534662496	0.33099339884161694	16.856979534662496	0.10257032857607934	0.29169615734753096	0.36240428514156753	0.9107933155832364
AASS	19.03411365821315	19.43534651532218	-0.40123285710902934	19.43534651532218	0.12913140530758904	-0.3517109609464978	0.3277055369609665	-0.9787459195506464
AATF	15.662782270964504	16.129878408326505	-0.4670961373620006	16.129878408326505	0.10931465724481795	-0.5102017288060167	0.12279905378188428	-1.543130755804299
ABAT	19.88011290394533	19.45521323202855	0.4248996719167799	19.45521323202855	0.12941870309529102	0.4752310832023824	0.18649781525820897	1.3210106437590368
ABCA1	17.452170464035508	17.48630383490433	-0.03413337086882251	17.48630383490433	0.10403661708503817	-0.05934899390713089	0.8540126482152046	-0.18400102831811557
ABCA10	14.982940461026756	15.569037923643199	-0.5860974626164435	15.569037923643199	0.11896508696751101	-0.626985615246731	0.06909360926179217	-1.817807177355963
