,0
0,AAMDC
1,AAMP
2,AARSD1
3,ABCA6
4,ABCA8
5,ABCB11
6,ABCC3
7,ABCC4
8,ABHD14B
9,ABI2
10,ABI3BP
11,ABLIM3
12,ACAD8
13,ACADSB
14,ACADVL
15,ACAN
16,ACAT1
17,ACE
18,ACLY
19,ACO1
20,ACSF2
21,ACSL4
22,ACSM3
23,ACSS1
24,ACSS3
25,ACTB
26,ACTN1
27,ADD1
28,ADD3
29,ADH1B
30,ADIPOQ
31,ADIRF
32,ADPRH
33,ADRA2A
34,AEBP1
35,AGA
36,AGAP1
37,AGAP3
38,AGO1
39,AGO3
40,AGPAT1
41,AGR2
42,AGR3
43,AGRN
44,AHCY
45,AIDA
46,AIF1L
47,AKAP12
48,AKAP2
49,AKR1A1
50,AKR1B1
51,AKT3
52,ALCAM
53,ALDH18A1
54,ALDH1A1
55,ALDH1A2
56,ALDH2
57,ALDH6A1
58,ALG5
59,ALG6
60,AMPD2
61,AMPH
62,ANG
63,ANGPTL2
64,ANK2
65,ANKRD35
66,ANP32A
67,ANPEP
68,ANTXR1
69,ANTXR2
70,ANXA4
71,ANXA5
72,ANXA6
73,AOC1
74,AOC3
75,AP1M2
76,AP2A2
77,AP2B1
78,APCS
79,APIP
80,APOOL
81,APPL1
82,APPL2
83,AQP5
84,ARCN1
85,ARF4
86,ARFGAP3
87,ARHGAP10
88,ARHGAP12
89,ARHGAP18
90,ARHGAP26
91,ARHGAP6
92,ARHGEF17
93,ARHGEF2
94,ARHGEF7
95,ARID1B
96,ARL15
97,ARL2
98,ARL3
99,ARL6IP1
100,ARL6IP5
101,ARL6IP6
102,ARMCX1
103,ARMCX2
104,ARMCX3
105,ARPIN
106,ARRB1
107,ARSL
108,ASAH1
109,ASH2L
110,ASMTL
111,ASPA
112,ASPH
113,ASPN
114,ASPSCR1
115,ASRGL1
116,ATE1
117,ATL1
118,ATM
119,ATOX1
120,ATP2B1
121,ATP2B3
122,ATPAF2
123,ATXN1L
124,AUH
125,AVL9
126,B3GAT3
127,B4GAT1
128,BAG2
129,BCAP29
130,BCL2
131,BCL2L15
132,BCL7C
133,BCS1L
134,BET1
135,BET1L
136,BGN
137,BIN1
138,BOK
139,BPIFB1
140,BRD3
141,BRF1
142,BST1
143,BTN3A1
144,C11orf54
145,C11orf68
146,C11orf96
147,CCDC9B
148,RUSF1
149,VPS35L
150,C17orf80
151,TIMM29
152,C1GALT1
153,C1GALT1C1
154,C1QTNF5
155,C1QTNF7
156,CZIB
157,C1orf198
158,CFAP410
159,C2CD2L
160,LDAH
161,FMC1
162,C9orf64
163,CARD19
164,CA4
165,CA5B
166,CACNA2D1
167,CADM1
168,CADPS2
169,CALD1
170,CALHM2
171,CALM3
172,CALR
173,CALU
174,CAMK1
175,CAMK1D
176,CANT1
177,CANX
178,CAP2
179,CAPN13
180,CAPN5
181,CAPS
182,CARD8
183,NAXD
184,GOLM2
185,CAV1
186,CAV2
187,CBX5
188,CCAR2
189,KYAT1
190,KYAT3
191,CCDC102A
192,CCDC124
193,CCDC47
194,CCDC51
195,CCDC8
196,CCDC93
197,CCL14
198,CCL21
199,CCT6B
200,CD248
201,CD302
202,CD34
203,CD55
204,CD81
205,CD93
206,ADGRE5
207,CD99L2
208,CDC5L
209,CDH11
210,CDH13
211,CDH2
212,CDH5
213,CDIPT
214,CDR2
215,CDYL2
216,CENPF
217,CENPV
218,CEP135
219,CEP170
220,CEP68
221,CEP89
222,CERS5
223,CETN2
224,CFD
225,CFL2
226,CGNL1
227,CHAMP1
228,CHD3
229,CHDH
230,CHID1
231,CHKB
232,CHMP6
233,CHPF
234,CHST14
235,CILP
236,CKAP4
237,CKB
238,CKMT2
239,CLDN3
240,CLDN5
241,CLEC11A
242,CLGN
243,CLIC4
244,CLIC5
245,CLIC6
246,CLIP2
247,CLMN
248,CLMP
249,CLN5
250,CLPB
251,CMA1
252,CMBL
253,CNDP2
254,CNN1
255,CNPY4
256,CNRIP1
257,CNTN4
258,COG2
259,COG5
260,COG6
261,COG8
262,COL11A1
263,COL12A1
264,COL14A1
265,COL15A1
266,COL16A1
267,COL18A1
268,COL1A1
269,COL1A2
270,COL21A1
271,COL22A1
272,COL28A1
273,COL3A1
274,COL4A1
275,COL4A2
276,COL5A1
277,COL5A2
278,COL5A3
279,COL6A1
280,COL6A2
281,COL6A3
282,COLEC12
283,COMMD10
284,COMMD5
285,COPA
286,COPB1
287,COPB2
288,COPE
289,COPG1
290,COPZ1
291,CPA3
292,CPD
293,CPNE2
294,CPQ
295,CPSF7
296,CPT1A
297,CPVL
298,CPXM1
