Gene	T137	Set2_MIX	M value	A value	estimated variance	adjust mvalue	pvalue	z statistic
43160	17.334183616154988	17.81905710243491	-0.4848734862799233	17.81905710243491	0.10447732907475027	-0.5068960130013179	0.11682907707198242	-1.568223092040167
43161	18.651282685656398	18.78723715336947	-0.1359544677130735	18.78723715336947	0.11480867785413368	-0.13736077656323314	0.6851892494975773	-0.40539219186405484
43164	16.886052772783213	16.829141410728184	0.056911362055029	16.829141410728184	0.09901418209279045	0.025708990945810917	0.9348831431578113	0.08170268502691876
43165	13.993530442395741	14.134769692030927	-0.14123924963518597	14.134769692030927	0.13130486641778039	-0.159016494511316	0.6607807271715688	-0.43883551133076515
43344	15.339685577675317	15.249078829404406	0.0906067482709112	15.249078829404406	0.11037879263457956	0.07740914746307415	0.8157640954395368	0.23299653624094063
43345	17.922687376986826	17.82525454413156	0.09743283285526516	17.82525454413156	0.10453352835336605	0.07551909835823917	0.8153138381781723	0.23357641657824546
43346	13.718241157755326	12.879432313508403	0.8388088442469233	12.879432313508403	0.1618586520446501	0.7883415145660665	0.05005364230208341	1.9595052786622031
43347	17.157924405506407	16.86344639110981	0.2944780143965957	16.86344639110981	0.09905614137735397	0.2632499509700913	0.4029152134179145	0.8364261376498533
43348	15.491551236178015	15.771657859368503	-0.2801066231904876	15.771657859368503	0.10392874711529115	-0.3000301440067517	0.3520228180731062	-0.9306728497435512
43349	16.688056199962837	16.54128695815426	0.14676924180857753	16.54128695815426	0.0991792142290141	0.11694316437297864	0.7103889082986272	0.37133382374474416
43350	18.39673776897474	18.309787649443596	0.08695011953114573	18.309787649443596	0.1094334229998658	0.0747228033719472	0.8212945974081709	0.22588020073042955
43351	16.815605671602636	16.729787832739742	0.08581783886289429	16.729787832739742	0.09896631333933392	0.05486153679708722	0.8615581222803884	0.17439108223856106
43352	18.992797479407237	19.09137590786006	-0.0985784284528215	19.09137590786006	0.11827438555547587	-0.0929945462862426	0.7868499335054193	-0.27040338852414003
43353	16.07870522101209	16.085381832317072	-0.006676611304982316	16.085381832317072	0.10127032780429035	-0.03121619729794317	0.9218582894773041	-0.0980931970062842
43354	18.2925541027214	18.299177212251056	-0.006623109529655835	18.299177212251056	0.10931776061425463	-0.01908205371669025	0.9539765926697262	-0.05771381072036187
43358	14.521601447815645	14.762723816028718	-0.2411223682130732	14.762723816028718	0.11843872518295434	-0.2522826524286768	0.46352080198291146	-0.7330616942842437
A1BG	17.808266807346175	17.83307506565161	-0.024808258305434094	17.83307506565161	0.1046047299235186	-0.04658404588045306	0.885474532325224	-0.14403284646858983
A1CF	19.259292403524412	19.087341140747366	0.1719512627770463	19.087341140747366	0.11822840876610219	0.17744241163552404	0.6058155654368761	0.5160556165999329
A2M	18.85831631144661	19.5291747700184	-0.6708584585717894	19.5291747700184	0.12326317066036113	-0.6552124004141121	0.0620090286907465	-1.8662311787225248
AAAS	16.777546928027533	16.906266559552428	-0.12871963152489485	16.906266559552428	0.09912628245239186	-0.15993831300711842	0.6114579459509628	-0.5079934368346126
AACS	16.288014900463363	16.6099679458203	-0.32195304535693836	16.6099679458203	0.09905607462063898	-0.35228333363331604	0.26300663978202665	-1.1193129811155762
AADAC	17.106319077506015	16.840793425264273	0.26552565224174174	16.840793425264273	0.0990269972218824	0.23431120240656617	0.45652060173454134	0.7445883683762365
AADAT	16.214020344925373	16.83776283042264	-0.6237424854972673	16.83776283042264	0.09902352124038794	-0.6549541270852473	0.03740337954957848	-2.0813336239318887
AAGAB	14.100941371891745	13.695927145128728	0.4050142267630168	13.695927145128728	0.1414982962640401	0.3777726065429485	0.3152436225548705	1.0042801004609991
AAK1	16.105825629343585	16.217337256539214	-0.1115116271956289	16.217337256539214	0.10044293527240761	-0.13784673208135956	0.663600580391472	-0.4349474378861134
AAMDC	16.96503265988109	16.944217036311315	0.02081562356977429	16.944217036311315	0.09920459539845494	-0.01035706637478967	0.9737679237996044	-0.032882956987907254
AAMP	17.16138317408526	17.368586776006183	-0.20720360192092357	17.368586776006183	0.10101786755947179	-0.23567456831977696	0.45838777918381635	-0.7415042114764475
AAR2	15.1145457422624	14.880990573414861	0.23355516884753946	14.880990573414861	0.1163090652004749	0.22246110231079597	0.5142077339535072	0.6522998854215238
AARS	19.134158951952468	19.52226984945993	-0.3881108975074632	19.52226984945993	0.12318448803276666	-0.3726235389990299	0.28838249319168263	-1.0616766720040998
